case_id,true_beta,true_gamma,true_R0,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.26104133230789256,0.33796092457181953,0.7724009296004251,0.18047962254145358,0.15815576408506318,0.07626254025031515,0.12068539057871855,0.21784848288631992,0.10184628854780141,0.3355447976532521,0.09716309230760137,0.2336985091054507,0.27889113813610866,0.2808433212548534,0.1263878355492244,0.17145669574369246,0.3839256419535794,0.07948691838720584,0.47832980698961786,0.21246894620988696,0.398842888602412,0.7576905556305957,0.7077557682877074,0.34072112870354093,0.5010886308510062,0.9403777993729194,0.3059177000352914,1.410755677267403,0.43928916852191324,1.1048379772321115,0.0,1.0,-0.08056170976643898,-0.10288556822282938,0.10288556822282938,0.010585440148534478,1.0,1.0,-0.05906978643571087,-0.05711760331696614,0.05711760331696614,0.003262420608674301,1.0,1.0,-0.014710373969829327,-0.06464516131271769,0.06464516131271769,0.004178996881147292
1,0.7080753005646607,0.30972987702328963,2.2861059041824956,0.6963477695293671,0.6965261535595072,0.02633819730600108,0.6791573513423667,0.7141921542649121,0.6521808798792633,0.7388920080885846,0.03503480292254546,0.08671112820932125,0.32540607554796774,0.3245913672643541,0.013509842699874992,0.31630227744955497,0.33398007560496124,0.3042024860014936,0.3483024575803921,0.017677798155406266,0.0440999715788985,2.1411842947928834,2.1385371690314416,0.06400397360792862,2.096397587728588,2.1816116237237626,2.042083157525195,2.249779764696428,0.08521403599517452,0.20769660717123317,1.0,1.0,-0.01172753103529367,-0.011549147005153526,0.011549147005153526,0.00013338279654664665,0.0,1.0,0.01567619852467811,0.014861490241064479,0.014861490241064479,0.00022086389218525475,0.0,0.0,-0.14492160938961218,-0.14756873515105395,0.14756873515105395,0.021776531594081907
2,0.4043375584624097,0.35086675478454055,1.152396324099456,0.3931048665894064,0.39468073000496084,0.10866198455290296,0.3165237155626796,0.4730310854088924,0.21335795496569668,0.5716227456985873,0.15650736984621277,0.35826479073289064,0.37313500572848834,0.3833351278697578,0.0743727364250164,0.3299938011160689,0.428703306825046,0.2278079272505837,0.4733187831046665,0.09870950570897707,0.2455108558540828,1.0571322519496353,1.0819015630252176,0.20803946544493435,0.9373657881853682,1.1957841886554377,0.686067302625881,1.360134669012808,0.2584184004700695,0.674067366386927,1.0,1.0,-0.011232691873003298,-0.009656828457448863,0.009656828457448863,9.325433585659418e-05,1.0,1.0,0.022268250943947798,0.03246837308521727,0.03246837308521727,0.0010541952508008614,1.0,1.0,-0.09526407214982058,-0.07049476107423835,0.07049476107423835,0.004969511338913951
3,0.8032293038752459,0.21437827551655725,3.7467849852780883,0.797539692261103,0.798794832047488,0.031260524646102954,0.7767598561056847,0.8197946989243972,0.7441015561323578,0.8461209887198536,0.043034842818712504,0.1020194325874958,0.21263070568091091,0.21222069751442563,0.008701412610169823,0.20661948266732608,0.21810114382024914,0.19912195570835073,0.22718514624777675,0.011481661152923067,0.02806319053942602,3.7556431706037143,3.7475036760806426,0.18623036457221295,3.6328928837553645,3.87511302136596,3.4555047860286434,4.078861931918102,0.24222013761059547,0.6233571458894582,1.0,1.0,-0.005689611614142942,-0.004434471827757913,0.004434471827757913,1.9664540391178606e-05,1.0,1.0,-0.0017475698356463343,-0.0021575780021316215,0.0021575780021316215,4.65514283528228e-06,1.0,1.0,0.008858185325625989,0.0007186908025542671,0.0007186908025542671,5.165164696760965e-07
4,0.5436425459709586,0.3368120528417254,1.6140828137953454,0.5011849907469935,0.5012911756004115,0.02515351665618642,0.4843053459704457,0.5186179683794423,0.458823445350191,0.5415062021350222,0.034312622408996574,0.08268275678483122,0.31754848748348785,0.31687803505475565,0.020293334814763815,0.3037262841366623,0.33025865089237466,0.2850952281726738,0.35207338715105657,0.026532366755712355,0.06697815897838277,1.5808540648644316,1.580511454795864,0.06518679931491304,1.5381197901957329,1.6230143627410727,1.475917909148643,1.6907317896437437,0.08489457254533983,0.21481388049510075,0.0,0.0,-0.042457555223965104,-0.04235137037054715,0.04235137037054715,0.0017936385722632589,0.0,1.0,-0.019263565358237533,-0.019934017786969738,0.019934017786969738,0.0003973650651312259,1.0,1.0,-0.033228748930913765,-0.03357135899948127,0.03357135899948127,0.0011270361450720521
5,0.10920871194100312,0.09880219535572132,1.1053267748536844,0.31118206509101076,0.304236957240993,0.09911655804889376,0.23538721622845163,0.38419025187415706,0.1562635712280296,0.4847704940054946,0.14880303564570543,0.32850692277746496,0.33371279857828334,0.3438778950959649,0.0870067849002554,0.274941782451908,0.40226414559875423,0.17432862308778485,0.4590058862881472,0.12732236314684625,0.28467726320036235,0.9531691395764015,0.9646497896500947,0.23227224131858829,0.8123909408465548,1.0972448152560594,0.5601485460808583,1.328166838758299,0.2848538744095046,0.7680182926774407,0.0,0.0,0.20197335315000764,0.19502824529998986,0.19502824529998986,0.038036016464793015,0.0,0.0,0.23491060322256202,0.24507569974024357,0.24507569974024357,0.06006209860317002,0.0,1.0,-0.15215763527728288,-0.14067698520358962,0.14067698520358962,0.019790014165970975
6,0.37896737965408156,0.4467969863817401,0.8481869645608903,0.19756241858210866,0.18035941548602807,0.08057880801926764,0.13414434812099646,0.23933518741416424,0.10445842287905632,0.35882263207105375,0.10519083929316778,0.2543642091919974,0.30042188061502934,0.310378577505218,0.1086154763131382,0.21693879658783194,0.3872769451657791,0.10975845718820912,0.46246948307418595,0.17033814857794716,0.3527110258859768,0.710938028701384,0.6841440459296577,0.26357621458759645,0.5269750207477485,0.8503790668550417,0.3381801350653819,1.177919040817435,0.32340404610729323,0.839738905752053,0.0,0.0,-0.1814049610719729,-0.19860796416805349,0.19860796416805349,0.03944512343097882,0.0,1.0,-0.14637510576671076,-0.13641840887652207,0.13641840887652207,0.018609982280401956,1.0,1.0,-0.13724893585950626,-0.16404291863123255,0.16404291863123255,0.02691007915305318
7,0.5262446692595236,0.07182730966195344,7.326526243795439,0.512176989166521,0.5122310828352096,0.02113828667397844,0.49768147345182145,0.5265062301035608,0.4764300144911663,0.5461006112374807,0.028824756651739336,0.06967059674631437,0.07126219140763501,0.07084137349411712,0.004282848476631329,0.0683342460904295,0.07376905835918315,0.06488989784621162,0.07881586343245268,0.005434812268753655,0.013925965586241068,7.212978590824578,7.2051726423623865,0.5268654555588685,6.852416098112842,7.543072224124453,6.382379972612721,8.125022023844378,0.6906561260116106,1.7426420512316572,1.0,1.0,-0.014067680093002632,-0.01401358642431405,0.01401358642431405,0.00019638060447171906,1.0,1.0,-0.0005651182543184308,-0.000985936167836321,0.000985936167836321,9.7207012704777e-07,1.0,1.0,-0.113547652970861,-0.12135360143305274,0.12135360143305274,0.01472669658077222
8,0.21249960279154578,0.11555093383464594,1.8390124228302123,0.21816757405793308,0.21724096615135344,0.019104962473468694,0.2054099286586591,0.23069326230227488,0.1880504207241073,0.251120878902102,0.02528333364361579,0.0630704581779947,0.11584550013728746,0.11354579489378804,0.023519188155633163,0.10000755548715236,0.12855557922162358,0.08185942706708538,0.15854410479942507,0.028548023734471226,0.0766846777323397,1.9428940733025848,1.945998372323948,0.3278962910998624,1.7270720114246911,2.156152427298869,1.3924598428862696,2.4978907482455592,0.42908041587417767,1.1054309053592897,1.0,1.0,0.005667971266387295,0.004741363359807654,0.004741363359807654,2.248052650972653e-05,1.0,1.0,0.00029456630264151906,-0.002005138940857909,0.002005138940857909,4.020582172144777e-06,1.0,1.0,0.10388165047237252,0.10698594949373574,0.10698594949373574,0.011445993389076176
9,0.11169695047783852,0.27346826495133936,0.4084457496291709,0.24334492444888356,0.2255306100600438,0.10139544160837799,0.16199903768763907,0.3065184021339199,0.11298208899663621,0.4410514808050261,0.14451936444628083,0.3280693918083899,0.32867832413771353,0.34288502935786175,0.10634505853948999,0.25200803855784987,0.4152554948599485,0.13151263259228338,0.4763551118798435,0.16324745630209864,0.34484247928756007,0.7712378971205475,0.7647877645577474,0.25026527362396667,0.5927329948003337,0.9322412530321353,0.379091949469409,1.1870031201056965,0.33950825823180164,0.8079111706362876,0.0,0.0,0.13164797397104505,0.11383365958220527,0.11383365958220527,0.012958102053877395,1.0,1.0,0.05521005918637417,0.06941676440652239,0.06941676440652239,0.004818687180670634,0.0,1.0,0.36279214749137656,0.35634201492857653,0.35634201492857653,0.12697963160335787
