case_id,true_beta,true_gamma,true_R0,beta_ref,gamma_ref,R0_ref,beta_seir,gamma_seir,sigma_seir,sigma,severity,reference_mode,reference_window_days,projection_loss,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.10189534092389715,0.15814871086061533,0.6443007999837749,0.10189534092389715,0.15814871086061533,0.6443007999837749,0.26104133230789256,0.33796092457181953,0.4270878808004396,0.4270878808004396,pooled,full_curve,50,2.6615740281136814e-06,0.20210034310347852,0.17940026422998367,0.08449315639101705,0.13701883051426786,0.2483473025213166,0.1056565823780667,0.3728542271745646,0.11132847200704873,0.26719764479649794,0.2760734623716982,0.2777601717415014,0.12987507212000265,0.16511766445294457,0.39110016185983876,0.07024070067019285,0.4757855910524882,0.2259824974068942,0.40554489038229535,0.8984602852606673,0.804515104022545,0.46856273681253063,0.5596283331465105,1.1180617895650797,0.2971647942380062,1.9264655146426295,0.5584334564185692,1.6293007204046233,0.0,0.0,0.10020500217958137,0.07750492330608652,0.07750492330608652,0.006007013136682353,0.0,1.0,0.11792475151108289,0.11961146088088609,0.11961146088088609,0.014306901574059743,1.0,1.0,0.25415948527689247,0.16021430403877013,0.16021430403877013,0.025668623218627475
1,0.14839511664737998,0.09080828673174741,1.6341583129494246,0.14839511664737998,0.09080828673174741,1.6341583129494246,0.6194597540465793,0.23732178934660986,0.10126164752477332,0.10126164752477332,pooled,full_curve,50,0.0008471444336601534,0.19721464010099962,0.19512733295244764,0.035335089768842566,0.17354633092238012,0.21896367941178904,0.14361764337272745,0.25836536214613354,0.045417348489408926,0.11474771877340609,0.14450116481599884,0.12955606957713664,0.07425274433830503,0.08926505594633272,0.1782020220813374,0.05779110575848185,0.29466940689977567,0.08893696613500468,0.23687830114129382,1.6650243119092103,1.600922359983822,0.6616927811017261,1.1717000423914765,2.1506685782206514,0.6267018897794148,2.811889302409162,0.9789685358291749,2.1851874126297473,0.0,1.0,0.048819523453619645,0.04673221630506766,0.04673221630506766,0.0021839000407836316,1.0,1.0,0.053692878084251425,0.038747782845389225,0.038747782845389225,0.0015013906754334394,1.0,1.0,0.0308659989597857,-0.033235952965602555,0.033235952965602555,0.0011046285695317452
2,0.1,0.10024919009307666,0.9975142932043113,0.1,0.10024919009307666,0.9975142932043113,0.21550996129784816,0.17599628488815172,0.12290286473784076,0.12290286473784076,pooled,full_curve,50,0.0001440093377663639,0.3191011118695382,0.31093438957647046,0.11214863272572147,0.23547714317956436,0.396667608636141,0.14524634004829573,0.5194367197867376,0.16119046545657661,0.3741903797384418,0.35531499243632836,0.37467449494767374,0.09721670190244358,0.2974585569050463,0.4311979604919462,0.16507121452991633,0.47995785049973705,0.1337394035868999,0.3148866359698207,0.9382016472947938,0.9308630974581416,0.3127963597598202,0.7478613637079436,1.1009333805379933,0.44421060152942016,1.4264965397570137,0.35307201683004963,0.9822859382275936,0.0,0.0,0.2191011118695382,0.21093438957647045,0.21093438957647045,0.04449331670599821,0.0,0.0,0.2550658023432517,0.2744253048545971,0.2744253048545971,0.07530924794453855,1.0,1.0,-0.05931264590951746,-0.06665119574616973,0.06665119574616973,0.0044423818943942345
3,0.33452037764119436,0.06224842711862992,5.37395711226056,0.33452037764119436,0.06224842711862992,5.37395711226056,0.9688323428602119,0.06370916365620277,0.1843283543367119,0.1843283543367119,pooled,full_curve,50,0.0010905885652045737,0.32802197245681775,0.32775534945567236,0.012022857292357733,0.319858820175591,0.3359234837600075,0.30862419623378295,0.3486290862056782,0.01606466358441655,0.04000488997189522,0.06079240653089703,0.06006830807285071,0.004421437210469415,0.057645206146981966,0.06313509277757129,0.055182314827707996,0.06912045473286992,0.005489886630589323,0.01393813990516192,5.422673973621261,5.451885696006627,0.4237515539669161,5.1476537879258935,5.702061402663473,4.6871247437290515,6.085468888720756,0.5544076147375794,1.3983441449917047,1.0,1.0,-0.00649840518437661,-0.006765028185521993,0.006765028185521993,4.576560635090699e-05,1.0,1.0,-0.0014560205877328924,-0.002180119045779208,0.002180119045779208,4.752919053769244e-06,1.0,1.0,0.04871686136070075,0.07792858374606748,0.07792858374606748,0.006072864164667853
4,0.3192273607801217,0.26766385299807144,1.192642776394696,0.3192273607801217,0.26766385299807144,1.192642776394696,0.3797137105977739,0.3087497789608495,0.7830824095695105,0.7830824095695105,pooled,full_curve,50,5.546280351688795e-07,0.3239562093951332,0.3218671675671416,0.0707674250974953,0.27576292531827773,0.3718811203940803,0.21135140658648888,0.4407361189398325,0.09611819507580255,0.22938471235334362,0.3024794830393628,0.30614278354241764,0.07327682050410698,0.25472598716547856,0.35401621720073195,0.17708050379923165,0.41776666617705943,0.09929023003525339,0.24068616237782778,1.1159139855386508,1.1012970186865019,0.27734912123268163,0.9655835053117419,1.2471004980722273,0.6904161455212292,1.56462750204357,0.2815169927604855,0.8742113565223408,1.0,1.0,0.004728848615011494,0.002639806787019916,0.002639806787019916,6.968579872796412e-06,1.0,1.0,0.034815630041291346,0.0384789305443462,0.0384789305443462,0.0014806280958366191,1.0,1.0,-0.07672879085604523,-0.0913457577081942,0.0913457577081942,0.00834404745128412
5,0.1,0.09995501151978475,1.0004500872895838,0.1,0.09995501151978475,1.0004500872895838,0.47014181963976176,0.3901769745606405,0.21951084361177803,0.21951084361177803,pooled,full_curve,50,0.0001854702990513296,0.3100021555880213,0.3037825510212521,0.10430957943983431,0.2330265734181692,0.3840788514961561,0.15105332696778703,0.4902337641814959,0.1510522780779869,0.33918043721370883,0.3434040443919994,0.3581524963329595,0.09766252278609314,0.2827678149826641,0.42117077611960485,0.15509747672760477,0.47514721832954115,0.13840296113694073,0.3200497416019364,0.9526051279410688,0.9469947985219027,0.3197759023152208,0.7617474503718622,1.1147522927047935,0.4502705143055387,1.4799687087639553,0.3530048423329313,1.0296981944584165,0.0,0.0,0.2100021555880213,0.20378255102125212,0.20378255102125212,0.041527328100729226,0.0,0.0,0.24344903287221464,0.2581974848131747,0.2581974848131747,0.06666594116384959,1.0,1.0,-0.04784495934851507,-0.05345528876768113,0.05345528876768113,0.0028574678972361762
6,0.500977679296939,0.2044287989778255,2.45062183900655,0.500977679296939,0.2044287989778255,2.45062183900655,0.7403594957319698,0.23075823601625456,0.6789656649093515,0.6789656649093515,pooled,full_curve,50,0.003500789088778848,0.5009808722960146,0.5007260105014588,0.010958454250884528,0.4932521172405715,0.5085166920494055,0.4827721582284966,0.5190371350172758,0.01526457480883403,0.03626497678877916,0.217544145837808,0.2172765161549961,0.0078676792783761,0.21215957872720076,0.2228343686697043,0.2050861869779936,0.23091462263121498,0.010674789942503538,0.025828435653221377,2.305041049059599,2.3022657927352452,0.07439088645474282,2.254409861091653,2.35287262352474,2.186829077478796,2.432220659917879,0.09846276243308694,0.24539158243908288,1.0,1.0,3.1929990755852344e-06,-0.0002516687954802199,0.0002516687954802199,6.333718261846476e-08,0.0,0.0,0.013115346859982502,0.012847717177170592,0.012847717177170592,0.00016506383666456428,0.0,0.0,-0.14558078994695078,-0.14835604627130472,0.14835604627130472,0.022009516465253506
7,0.37560697079676697,0.21967913098834949,1.7097981456267095,0.37560697079676697,0.21967913098834949,1.7097981456267095,0.9372643740217701,0.31923358024572585,0.20791025205992936,0.20791025205992936,pooled,full_curve,50,0.0023352103796942117,0.37800783134160426,0.37799689619563254,0.015037202947846823,0.3675568223400311,0.3878631648267102,0.35430549075398904,0.40280385931593915,0.020306342486679063,0.04849836856195011,0.2137424815690432,0.2133737960073066,0.015012243638919733,0.20346204289903594,0.22362815551850382,0.1902003623894244,0.23939024758548239,0.02016611261946788,0.04918988519605799,1.7741130188443708,1.7703131867186679,0.09710670267914963,1.7072706537401605,1.8342033744266146,1.6254958060602545,1.9386046174697698,0.12693272068645411,0.3131088114095153,1.0,1.0,0.002400860544837291,0.0023899253988655667,0.0023899253988655667,5.711743412142738e-06,1.0,1.0,-0.0059366494193062724,-0.006305334981042882,0.006305334981042882,3.9757249223163034e-05,1.0,1.0,0.06431487321766127,0.06051504109195838,0.06051504109195838,0.003662070198361411
8,0.41206918367786455,0.21132576215265628,1.9499240389829822,0.41206918367786455,0.21132576215265628,1.9499240389829822,0.8309845136136211,0.2731726148844541,0.3033217314001133,0.3033217314001133,pooled,full_curve,50,0.0033763796819941995,0.4302910528785705,0.4302826816042569,0.012341635413896853,0.42192221963869037,0.4386915099522075,0.40957693278490653,0.45015819464445633,0.01676929031351715,0.0405812618595498,0.2236437287097201,0.22347697319073992,0.010417548399895157,0.21643990927495238,0.23033365208076614,0.20711439107325816,0.241028812138138,0.013893742805813764,0.03391442106487985,1.9266502670790056,1.925643258149321,0.0724726269729276,1.8781093426667457,1.971962510303611,1.812760386711517,2.0480291569767153,0.09385316763686524,0.23526877026519832,0.0,1.0,0.018221869200705954,0.018213497926392375,0.018213497926392375,0.0003317315067146993,0.0,1.0,0.012317966557063825,0.012151211038083642,0.012151211038083642,0.00014765192969204576,1.0,1.0,-0.023273771903976614,-0.024280780833661142,0.024280780833661142,0.0005895563178922863
9,0.4251236484962048,0.23607236429742257,1.8008192096581053,0.4251236484962048,0.23607236429742257,1.8008192096581053,0.813955298805505,0.31228697542759054,0.34497493143203406,0.34497493143203406,pooled,full_curve,50,0.00231004819621637,0.4178767914336257,0.4177362917157463,0.013115732706894888,0.40925041462391154,0.4268401292756534,0.3966083670358479,0.44019772723837114,0.01758971465174186,0.04358936020252324,0.2332180762341741,0.23314885209533132,0.011466743365283966,0.2257724549752099,0.240369983264619,0.21466105032625948,0.2528446419937553,0.014597528289409106,0.0381835916674958,1.7943984084986295,1.7940920430505076,0.06923670568438922,1.7489915030212388,1.8372068371745125,1.6808578093085715,1.9103167915234944,0.08821533415327365,0.2294589822149229,1.0,1.0,-0.007246857062579104,-0.007387356780458543,0.007387356780458543,5.4573040201786806e-05,1.0,1.0,-0.0028542880632484724,-0.0029235122020912496,0.0029235122020912496,8.546923595776428e-06,1.0,1.0,-0.006420801159475742,-0.0067271666075976455,0.0067271666075976455,4.525477056637682e-05
