case_id,true_beta,true_gamma,true_R0,beta_ref,gamma_ref,R0_ref,beta_seir,gamma_seir,sigma_seir,sigma,severity,reference_mode,reference_window_days,projection_loss,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.24285545359207944,0.3296621264093566,0.7366798735336515,0.24285545359207944,0.3296621264093566,0.7366798735336515,0.26104133230789256,0.33796092457181953,0.27009026017152277,0.27009026017152277,medium,early_phase,12,4.6337318730297504e-06,0.19906045620409463,0.17901763445288382,0.0819116268479917,0.13533336587824718,0.2426551885484612,0.10463631345583292,0.3639433751528871,0.107321822670214,0.2593070616970542,0.27069718385713537,0.27209138676797373,0.12855126438004147,0.1612693663292215,0.37903865429705097,0.06813103386874386,0.47306664760343875,0.21776928796782946,0.4049356137346949,0.9041157882946734,0.8066157971698658,0.46383633322999546,0.5666830798981286,1.136597962387111,0.3117002133822175,1.9490616599744455,0.5699148824889824,1.637361446592228,0.0,1.0,-0.04379499738798481,-0.06383781913919562,0.06383781913919562,0.0040752671524486505,1.0,1.0,-0.05896494255222123,-0.05757073964138287,0.05757073964138287,0.003314390062855893,1.0,1.0,0.16743591476102193,0.06993592363621426,0.06993592363621426,0.004891033414850392
1,0.12461928583258335,0.05,2.492385716651667,0.12461928583258335,0.05,2.492385716651667,0.6194597540465793,0.23732178934660986,0.20027035304102286,0.20027035304102286,medium,early_phase,12,4.2097302845291556e-05,0.2695604662491704,0.26931411546225714,0.016385641893413513,0.2583257330534089,0.2802194056789399,0.24318364768245282,0.2974644969523576,0.02189367262553099,0.054280849269904785,0.13969009752719216,0.14040491793179916,0.02087267799324043,0.12592431613877456,0.15325597250814899,0.1056295558173976,0.17278382388832883,0.02733165636937443,0.06715426807093124,1.9667858147181916,1.9381717730358021,0.2724014218944618,1.7851251069047782,2.1086674955095934,1.5956719249052371,2.4310911127634367,0.3235423886048152,0.8354191878581996,0.0,0.0,0.14494118041658705,0.14469482962967378,0.14469482962967378,0.020936593721560322,0.0,0.0,0.08969009752719216,0.09040491793179915,0.09040491793179915,0.00817304918625534,0.0,0.0,-0.5255999019334754,-0.5542139436158648,0.5542139436158648,0.307153095298249
2,0.19185039088499078,0.20022029308339456,0.9581965340800016,0.19185039088499078,0.20022029308339456,0.9581965340800016,0.21550996129784816,0.17599628488815172,0.20490775672953732,0.20490775672953732,medium,early_phase,12,3.389204317206998e-06,0.3376742899752696,0.33085494210575683,0.10866132002074129,0.2557529232988572,0.41487791930421564,0.1670518219523311,0.5274451400612099,0.15912499600535845,0.3603933181088788,0.3531708790418412,0.3714283226737295,0.09439454131711071,0.2922902423304221,0.4269674176913669,0.17026017424201548,0.4772450811861905,0.1346771753609448,0.306984906944175,0.9974985878832563,0.9893776142526061,0.30795352801703596,0.8186533975322929,1.1509775169761556,0.508503421249969,1.490407141308031,0.33232411944386264,0.9819037200580621,0.0,1.0,0.14582389909027882,0.13900455122076605,0.13900455122076605,0.019322265260086572,0.0,1.0,0.15295058595844663,0.17120802959033493,0.17120802959033493,0.029312189396205002,1.0,1.0,0.03930205380325469,0.03118108017260446,0.03118108017260446,0.0009722597607303868
3,0.33499406991144204,0.05,6.6998813982288405,0.33499406991144204,0.05,6.6998813982288405,0.9688323428602119,0.06370916365620277,0.21807036164358112,0.21807036164358112,medium,early_phase,12,0.00020512097362264593,0.3512864889611588,0.35113041926488525,0.012511824823018373,0.3435022110216175,0.35990417807540176,0.33043812073050954,0.37136296291716364,0.016401967053784272,0.0409248421866541,0.06185074252978363,0.06124121455028947,0.004457156793628922,0.058797721450289844,0.06429985218601841,0.05583590977149769,0.0701456021729954,0.005502130735728569,0.014309692401497709,5.707413966805479,5.725576689969092,0.4402846856518472,5.407470816299914,5.998790780636446,4.98845377673634,6.43516246064491,0.5913199643365319,1.4467086839085699,0.0,1.0,0.01629241904971679,0.016136349353443213,0.016136349353443213,0.00026038177045636723,0.0,0.0,0.011850742529783624,0.011241214550289466,0.011241214550289466,0.0001263649045656396,0.0,0.0,-0.9924674314233615,-0.9743047082597487,0.9743047082597487,0.949269664537114
4,0.3467130971964988,0.3409825188328608,1.0168060766964038,0.3467130971964988,0.3409825188328608,1.0168060766964038,0.3797137105977739,0.3087497789608495,0.34637480205060933,0.34637480205060933,medium,early_phase,12,8.60270562365701e-06,0.2838290062888301,0.2799463875598556,0.07699766655766217,0.23009369666958618,0.33277514530698116,0.16567173403912738,0.41831936037706796,0.10268144863739498,0.2526476263379406,0.2961910584748651,0.30184846486991557,0.08604102200203799,0.23703476329767167,0.3605667463737816,0.14986138820676503,0.4296367732645178,0.12353198307610994,0.2797753850577528,1.0201022185453115,0.9997742984206457,0.3170806934503917,0.8372936113325372,1.1637473249445756,0.5399678094964206,1.5861176975102163,0.32645371361203834,1.0461498880137956,0.0,1.0,-0.06288409090766867,-0.06676670963664316,0.06676670963664316,0.004457793515703819,1.0,1.0,-0.044791460357995694,-0.039134053962945226,0.039134053962945226,0.001531474179574709,1.0,1.0,0.0032961418489076966,-0.01703177827575808,0.01703177827575808,0.0002900814712345849
5,0.3475500168004679,0.3974963744276763,0.8743476397762816,0.3475500168004679,0.3974963744276763,0.8743476397762816,0.47014181963976176,0.3901769745606405,0.22560946648823815,0.22560946648823815,medium,early_phase,12,2.030724132145846e-05,0.3136047400457236,0.3049236550725568,0.10419659761129788,0.2345901884950759,0.38785133813476674,0.1555332611230359,0.49601592298762553,0.15326114963969084,0.34048266186458964,0.34466294672636744,0.36073983097731355,0.09512287879004645,0.282161250780958,0.4181449455080681,0.16431101092859515,0.4726723321698217,0.13598369472711008,0.3083613212412265,0.9507081733121852,0.9487051049263475,0.2994225954759438,0.7658480438890296,1.1134494797216883,0.49058239137505166,1.4459916719258217,0.3476014358326587,0.95540928055077,1.0,1.0,-0.03394527675474429,-0.042626361727911066,0.042626361727911066,0.0018170067141587212,1.0,1.0,-0.05283342770130889,-0.03675654345036278,0.03675654345036278,0.0013510434864184068,1.0,1.0,0.07636053353590355,0.07435746515006592,0.07435746515006592,0.005529032623543267
6,0.22066397991406533,0.05,4.4132795982813064,0.22066397991406533,0.05,4.4132795982813064,0.7403594957319698,0.23075823601625456,0.32406407105200385,0.32406407105200385,medium,early_phase,12,5.254816495241023e-05,0.3862231931503164,0.38606108696039304,0.010024137303414464,0.379606980070703,0.39279446225388737,0.3699931090496097,0.4027346642412943,0.013187482183184385,0.03274155519168459,0.18884858951566494,0.18877889759995561,0.008247793334437275,0.1830695023141954,0.19401492631737777,0.1753168239671564,0.20299027700236738,0.01094542400318238,0.027673453035210988,2.0477963237418138,2.0462991907515615,0.07560563744249656,1.9975558477702382,2.0966490728273715,1.9268565067161159,2.1752022753549483,0.09909322505713325,0.2483457686388324,0.0,0.0,0.16555921323625106,0.1653971070463277,0.1653971070463277,0.027356203019294388,0.0,0.0,0.13884858951566492,0.1387788975999556,0.1387788975999556,0.019259582419058962,0.0,0.0,-2.3654832745394927,-2.366980407529745,2.366980407529745,5.602596249629677
7,0.16768255845734656,0.05,3.353651169146931,0.16768255845734656,0.05,3.353651169146931,0.9372643740217701,0.31923358024572585,0.22312362544141343,0.22312362544141343,medium,early_phase,12,8.874913763599817e-05,0.392408714874792,0.3925178128671374,0.014336689153746033,0.38284843349462827,0.4019472876724231,0.36855606399390883,0.4158781145420668,0.019098854177794833,0.04732205054815797,0.21993525967344907,0.21987532436966897,0.01385475598071995,0.21035292841233155,0.22885460547081243,0.19805805078797983,0.24341246394466223,0.01850167705848088,0.0453544131566824,1.7888475289639123,1.7865249170300133,0.09073138092047815,1.7274355513527149,1.8500748373502103,1.6437070168478103,1.9389002170703644,0.1226392859974954,0.29519320022255413,0.0,0.0,0.22472615641744545,0.22483525440979082,0.22483525440979082,0.05055089162551536,0.0,0.0,0.16993525967344908,0.16987532436966896,0.16987532436966896,0.028857625829700244,0.0,0.0,-1.5648036401830185,-1.5671262521169176,1.5671262521169176,2.4558846900740168
8,0.18165896960813765,0.05,3.633179392162753,0.18165896960813765,0.05,3.633179392162753,0.8309845136136211,0.2731726148844541,0.2435689424428814,0.2435689424428814,medium,early_phase,12,7.438441666173974e-05,0.39089365408181176,0.39078011615924674,0.013354110962180036,0.3819143019979568,0.3995717026030741,0.36906862037758437,0.4130178958857857,0.017657400605117335,0.043949275508201324,0.2089836454190752,0.20883135662859648,0.01229573528637198,0.2004730454848825,0.21674451545062304,0.18961714793144155,0.23004447409417392,0.016271469965740526,0.04042732616273237,1.874623079479436,1.874574382830824,0.08782339449201328,1.8165976753072801,1.931860766480857,1.7379582578899835,2.0239034291183677,0.1152630911735768,0.28594517122838425,0.0,0.0,0.2092346844736741,0.20912114655110908,0.20912114655110908,0.04373165393485044,0.0,0.0,0.15898364541907517,0.1588313566285965,0.1588313566285965,0.0252273998484804,0.0,0.0,-1.758556312683317,-1.7586050093319292,1.7586050093319292,3.092691578847355
9,0.158543665858527,0.05,3.17087331717054,0.158543665858527,0.05,3.17087331717054,0.813955298805505,0.31228697542759054,0.2524946281640073,0.2524946281640073,medium,early_phase,12,6.61673499161559e-05,0.3615854808077446,0.36124526454669303,0.014470563570581635,0.3516219761012164,0.37111466845745245,0.3389112496644165,0.38605616534288406,0.01949269235623602,0.04714491567846757,0.20618419003795793,0.20563505293618725,0.014836835206939795,0.19580811091687508,0.21539891377720416,0.18367665990773122,0.23167872379651538,0.019590802860329076,0.04800206388878417,1.759502621261126,1.7582431277433128,0.09736618505379116,1.6951210384643642,1.821245269373256,1.5975857382973233,1.9247121435669272,0.1261242309088917,0.3271264052696039,0.0,0.0,0.2030418149492176,0.20270159868816603,0.20270159868816603,0.04108793811073831,0.0,0.0,0.15618419003795792,0.15563505293618723,0.15563505293618723,0.024222269702449804,0.0,0.0,-1.4113706959094139,-1.412630189427227,1.412630189427227,1.9955240520812034
10,0.1,0.07463747599961609,1.3398095080347354,0.1,0.07463747599961609,1.3398095080347354,0.8729612017928233,0.44685629078115185,0.21531532448844604,0.21531532448844604,medium,early_phase,12,6.211941764511266e-05,0.30685579453951617,0.30511487880016125,0.041880396809163875,0.278873808548047,0.33288580428237236,0.24044264471502483,0.3793002488749241,0.05401199573432536,0.13885760415989926,0.23463788881373132,0.23445640371591128,0.05136685777819406,0.2024210698800603,0.2677952276200363,0.1470589348234189,0.31891474450156615,0.06537415773997601,0.17185580967814726,1.359663700832526,1.32800229907556,0.2910186232291228,1.1823770878598938,1.4961602301270907,0.9720014890001069,1.8526481462827205,0.31378314226719684,0.8806466572826136,0.0,0.0,0.20685579453951616,0.20511487880016124,0.20511487880016124,0.04207211350520484,0.0,0.0,0.16000041281411523,0.1598189277162952,0.1598189277162952,0.025542089656386387,1.0,1.0,0.01985419279779066,-0.01180720895917542,0.01180720895917542,0.00013941018340563228
11,0.34174559195959053,0.39936892962361065,0.8557140193196106,0.34174559195959053,0.39936892962361065,0.8557140193196106,0.5581935084158897,0.45794144871036324,0.23579041574922988,0.23579041574922988,medium,early_phase,12,2.5849080064473046e-05,0.26970347001033573,0.25881585869066726,0.10119953126227343,0.19169851549070094,0.33668137631584855,0.12279923429980347,0.4621329787578561,0.1449828608251476,0.33933374445805264,0.32467875676158336,0.34411069722769855,0.1090140021612401,0.24764213676512242,0.4114913167222885,0.1152020050537365,0.47358972176137126,0.16384917995716608,0.35838771670763475,0.9089074733978479,0.8800660372326503,0.3703208300672864,0.671727668351791,1.0681157331041986,0.3733602433187559,1.6233053027370752,0.3963880647524076,1.2499450594183192,0.0,1.0,-0.0720421219492548,-0.08292973326892328,0.08292973326892328,0.00687734066005476,1.0,1.0,-0.07469017286202728,-0.0552582323959121,0.0552582323959121,0.003053472247520629,1.0,1.0,0.05319345407823739,0.02435201791303976,0.02435201791303976,0.0005930207764370093
12,0.1,0.07744707610909488,1.2912043297688376,0.1,0.07744707610909488,1.2912043297688376,0.5731611696121026,0.35679534518959455,0.2799494735775245,0.2799494735775245,medium,early_phase,12,2.7032669536815006e-05,0.23048991874858366,0.22476161178148912,0.056848763784260146,0.19095323274059267,0.26546050104673735,0.14572950639871124,0.33283142348451483,0.07450726830614468,0.1871019170858036,0.21759279511514126,0.21188609750799928,0.089671974976929,0.1493957036539446,0.27937373698674295,0.0788046015316824,0.3757992952464778,0.12997803333279834,0.2969946937147954,1.2398796138648793,1.1456205216539932,0.5220727915892,0.8716347112075532,1.50985357172974,0.5400674825024233,2.2951732502369953,0.6382188605221869,1.7551057677345718,0.0,0.0,0.13048991874858365,0.12476161178148912,0.12476161178148912,0.015565459774315005,0.0,0.0,0.1401457190060464,0.1344390213989044,0.1344390213989044,0.018073850474695074,1.0,1.0,-0.05132471590395826,-0.1455838081148444,0.1455838081148444,0.02119464518521983
13,0.2084998704807226,0.39818386065651507,0.5236271257628411,0.2084998704807226,0.39818386065651507,0.5236271257628411,0.18774299735492933,0.43882343737166407,0.29747391168074144,0.29747391168074144,medium,early_phase,12,1.970165596174994e-06,0.23948172249224023,0.21916624932395684,0.10221113348396652,0.15714073848196825,0.3026071140122697,0.1088725559474207,0.44301077451264514,0.14546637553030145,0.33413821856522447,0.3309888965035492,0.354991932740744,0.1204440058862707,0.24643253799189055,0.4331901663632337,0.09775426780179199,0.48662101876657615,0.18675762837134316,0.3888667509647842,0.8111840525569015,0.7728136979489983,0.37909604842228634,0.5503084758666895,0.9827450177990499,0.30632345551768075,1.612797070584879,0.43243654193236036,1.3064736150671983,1.0,1.0,0.030981852011517624,0.010666378843234237,0.010666378843234237,0.00011377163762739493,1.0,1.0,-0.06719496415296589,-0.04319192791577109,0.04319192791577109,0.0018655426370811658,0.0,1.0,0.2875569267940604,0.24918657218615725,0.24918657218615725,0.06209394775788696
