case_id,true_beta,true_gamma,true_R0,beta_ref,gamma_ref,R0_ref,beta_seir,gamma_seir,sigma_seir,sigma,severity,reference_mode,reference_window_days,projection_loss,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.1,0.16016287848698557,0.6243644029420072,0.1,0.16016287848698557,0.6243644029420072,0.26104133230789256,0.33796092457181953,0.27009026017152277,0.27009026017152277,medium,full_curve,50,2.2920243281240667e-05,0.19709169617216118,0.17744407487632435,0.07949621662038336,0.13603092968911237,0.2416461606812,0.10456771580262202,0.3553164996067412,0.10561523099208764,0.2507487838041192,0.2772490564746315,0.27969478535646186,0.12688588653988253,0.1708169670760892,0.38190634485091857,0.0726550818541368,0.47630286198260124,0.21108937777482936,0.4036477801284645,0.8686381582587362,0.7859887523140644,0.45173781048851486,0.5379936264528766,1.0618627850902742,0.2970756793904241,1.9006072433417895,0.5238691586373976,1.6035315639513654,0.0,0.0,0.09709169617216118,0.07744407487632435,0.07744407487632435,0.005997584733449732,0.0,1.0,0.11708617798764592,0.11953190686947629,0.11953190686947629,0.014287876759853152,1.0,1.0,0.244273755316729,0.16162434937205716,0.16162434937205716,0.026122430309940794
1,0.2800662369727216,0.16336760849608037,1.7143314978467175,0.2800662369727216,0.16336760849608037,1.7143314978467175,0.6194597540465793,0.23732178934660986,0.20027035304102286,0.20027035304102286,medium,full_curve,50,0.001622990928014397,0.26883764358824364,0.2680650826058229,0.015427670998397596,0.2586827720510673,0.2789280571322803,0.24400702077398623,0.294914632742092,0.020245285081212983,0.05090761196810578,0.1391714262703772,0.1389070536790251,0.020173637729318666,0.12589882315832912,0.15210293396442792,0.10589560693203066,0.17383372469852879,0.0262041108060988,0.06793811776649812,1.9657201018126176,1.9443501249850574,0.2566215550074906,1.7960934084149862,2.112966728740908,1.5835603452098463,2.422998035281261,0.31687332032592197,0.8394376900714144,0.0,1.0,-0.011228593384477958,-0.012001154366898692,0.012001154366898692,0.00014402770613813155,0.0,1.0,-0.02419618222570316,-0.02446055481705528,0.02446055481705528,0.0005983187419581663,0.0,1.0,0.2513886039659001,0.23001862713833998,0.23001862713833998,0.05290856883060668
2,0.1,0.0891740103929305,1.1214029688624136,0.1,0.0891740103929305,1.1214029688624136,0.21550996129784816,0.17599628488815172,0.20490775672953732,0.20490775672953732,medium,full_curve,50,4.881214080373017e-05,0.33662227014673535,0.33115238806900066,0.10906218451647728,0.2558952653231021,0.41305693868876053,0.16809651660658265,0.5317098845784671,0.15716167336565845,0.3636133679718845,0.35050628209853274,0.3680353960572478,0.0956981763015195,0.29060683566990597,0.42609834937341395,0.16774936942976373,0.4759870463035151,0.13549151370350798,0.30823767687375137,1.0064858920088287,1.0035574697900356,0.32099269749063986,0.8122408916781847,1.1561861198565753,0.5019951002926301,1.5298143905806043,0.34394522817839057,1.0278192902879741,0.0,0.0,0.23662227014673534,0.23115238806900065,0.23115238806900065,0.05343142651000188,0.0,0.0,0.26133227170560225,0.2788613856643173,0.2788613856643173,0.0777636724146231,1.0,1.0,-0.11491707685358499,-0.11784549907237807,0.11784549907237807,0.01388756165161786
3,0.35977446240385336,0.06233760749603269,5.771387078446189,0.35977446240385336,0.06233760749603269,5.771387078446189,0.9688323428602119,0.06370916365620277,0.21807036164358112,0.21807036164358112,medium,full_curve,50,0.0017779273607721787,0.35127183478065604,0.3512295269177047,0.012312660261880794,0.3427931872738604,0.35927163721056976,0.3313666978138911,0.37187556119362136,0.016478449936709383,0.04050886337973025,0.061722180379367594,0.0609751332610461,0.004414195251634165,0.058609425586690106,0.06403289062633628,0.05604638421486378,0.06995474116382445,0.0054234650396461775,0.013908356948960678,5.7185113442097135,5.729011392475481,0.4357522524095343,5.4447848716201666,6.016649978249772,4.98748094646956,6.392493604574983,0.5718651066296054,1.4050126581054228,0.0,1.0,-0.008502627623197312,-0.008544935486148653,0.008544935486148653,7.301592246244251e-05,1.0,1.0,-0.000615427116665096,-0.0013624742349865882,0.0013624742349865882,1.8563360410022886e-06,1.0,1.0,-0.0528757342364754,-0.04237568597070762,0.04237568597070762,0.0017956987614880268
4,0.13667338709905655,0.11911532879233325,1.1474038520880396,0.13667338709905655,0.11911532879233325,1.1474038520880396,0.3797137105977739,0.3087497789608495,0.34637480205060933,0.34637480205060933,medium,full_curve,50,3.602589362941197e-05,0.2837174368496814,0.28013726067732814,0.07871714772949878,0.2283882076556454,0.3340900161186739,0.16099086346234578,0.42267020767636754,0.10570180846302848,0.2616793442140217,0.2994607392398192,0.3044719064538691,0.08679572190791801,0.24419092838020817,0.36520909373084887,0.14610032715591098,0.4300705001703189,0.1210181653506407,0.2839701730144079,1.0136475421153777,0.9883807652299262,0.3381575195909168,0.8104603430853876,1.1641733549410027,0.5068466110664439,1.6346824673561344,0.3537130118556151,1.1278358562896904,0.0,0.0,0.14704404975062488,0.1434638735782716,0.1434638735782716,0.020581883022082293,0.0,0.0,0.18034541044748595,0.18535657766153588,0.18535657766153588,0.034357060882396984,1.0,1.0,-0.13375630997266197,-0.1590230868581134,0.1590230868581134,0.02528834215388308
5,0.1,0.09927867806434683,1.0072656279245142,0.1,0.09927867806434683,1.0072656279245142,0.47014181963976176,0.3901769745606405,0.22560946648823815,0.22560946648823815,medium,full_curve,50,0.0001759925611912985,0.3136941450625875,0.30572520998922786,0.10468432330309896,0.2363251708807575,0.38251117592599204,0.1542059701652903,0.5033289334524204,0.14618600504523455,0.34912296328713005,0.3465775330620301,0.3623383845620588,0.0972988960307983,0.28424735787642313,0.4256803565880002,0.1620443573351892,0.4733822625701408,0.14143299871157705,0.31133790523495164,0.954572035950122,0.9413530118603008,0.3233496924009968,0.7677453744808105,1.1034028192895198,0.46339732479565454,1.4844021903907607,0.3356574448087093,1.0210048655951063,0.0,0.0,0.21369414506258752,0.20572520998922786,0.20572520998922786,0.042322862025111894,0.0,0.0,0.24729885499768328,0.263059706497712,0.263059706497712,0.06920040918266238,1.0,1.0,-0.05269359197439227,-0.06591261606421339,0.06591261606421339,0.004344472956428401
6,0.39295038222813905,0.18637459343023774,2.1083902853702274,0.39295038222813905,0.18637459343023774,2.1083902853702274,0.7403594957319698,0.23075823601625456,0.32406407105200385,0.32406407105200385,medium,full_curve,50,0.0042479963533716995,0.38610458714004464,0.38589898528668454,0.010523344771205798,0.37879072090458366,0.39310078367392504,0.36922749461413007,0.40329558449680963,0.01431006276934138,0.034068089882679564,0.18906572617338904,0.18862692382089877,0.008816363885356145,0.1827314189069651,0.1948717352064087,0.17554598481114234,0.20410028681401202,0.012140316299443621,0.02855430200286968,2.0451332832935933,2.043801104661556,0.07864803789939707,1.9899204252940383,2.0992864800420725,1.9189581088240608,2.172702683390459,0.10936605474803418,0.2537445745663982,1.0,1.0,-0.0068457950880944085,-0.007051396941454513,0.007051396941454513,4.972219882595406e-05,1.0,1.0,0.0026911327431513032,0.002252330390661028,0.002252330390661028,5.0729921886952595e-06,0.0,1.0,-0.0632570020766341,-0.06458918070867137,0.06458918070867137,0.004171762264617406
7,0.38817756934412295,0.2236221530267922,1.7358636614933913,0.38817756934412295,0.2236221530267922,1.7358636614933913,0.9372643740217701,0.31923358024572585,0.22312362544141343,0.22312362544141343,medium,full_curve,50,0.0024358335401876243,0.39308188013264106,0.3926865991969353,0.014602399741003564,0.383594712743371,0.4025629582216154,0.36943331427379617,0.4172970704124378,0.01896824547824444,0.04786375613864163,0.2208879379405378,0.2203522471044092,0.013463905972190588,0.2118426231500094,0.2296162399622421,0.1992918997229342,0.24380521893301033,0.01777361681223269,0.04451331921007612,1.7836537009718632,1.7825411099657134,0.08517534771493794,1.724245080267034,1.8403549015670957,1.6475940775847127,1.9256117909574237,0.11610982130006176,0.2780177133727111,1.0,1.0,0.004904310788518107,0.004509029852812374,0.004509029852812374,2.033135021355318e-05,1.0,1.0,-0.0027342150862544046,-0.003269905922382993,0.003269905922382993,1.0692284741235372e-05,1.0,1.0,0.047790039478471824,0.046677448472322025,0.046677448472322025,0.0021787841958862777
8,0.37652563299907826,0.20254199159520275,1.8590003486861948,0.37652563299907826,0.20254199159520275,1.8590003486861948,0.8309845136136211,0.2731726148844541,0.2435689424428814,0.2435689424428814,medium,full_curve,50,0.003019125215465703,0.39121712838516204,0.39109079870520663,0.01282977243695559,0.38225424706196043,0.39950836178837346,0.37047085784655104,0.412752947379111,0.017254114726413028,0.04228208953255996,0.20890134022938184,0.20857735343478565,0.011499799166969462,0.20109330132886516,0.21631373567719422,0.1907279374754013,0.22843337166174865,0.015220434348329065,0.037705434186347364,1.8764762344861188,1.8746134099442144,0.0848501184276637,1.8206946935704127,1.9308170586841409,1.739495187300818,2.017131447121754,0.1101223651137282,0.27763625982093587,0.0,1.0,0.014691495386083775,0.014565165706128369,0.014565165706128369,0.00021214405204697791,1.0,1.0,0.006359348634179085,0.006035361839582892,0.006035361839582892,3.6425592534693394e-05,1.0,1.0,0.017475885799923985,0.015613061258019645,0.015613061258019645,0.00024376768184667397
9,0.3728283083368036,0.21993056875735084,1.6952091309696227,0.3728283083368036,0.21993056875735084,1.6952091309696227,0.813955298805505,0.31228697542759054,0.2524946281640073,0.2524946281640073,medium,full_curve,50,0.002095827205535283,0.360959119305737,0.36090680448640394,0.014568980765537275,0.3508310045360394,0.370368512237819,0.3379230946032918,0.38483674074012564,0.019537507701779644,0.04691364613683385,0.2059394246054177,0.20541690023491876,0.01436553687547831,0.19631330905275307,0.21513163940846552,0.18368639691204763,0.22986409591845017,0.018818330355712454,0.046177699006402534,1.7581551276904206,1.756715754937051,0.09540395423604828,1.6929286512763404,1.822011217616203,1.606773670883756,1.919910703245345,0.1290825663398627,0.3131370323615892,0.0,1.0,-0.011869189031066596,-0.01192150385039964,0.01192150385039964,0.00014212225405509343,0.0,1.0,-0.013991144151933144,-0.014513668522432077,0.014513668522432077,0.0002106465739790357,1.0,1.0,0.06294599672079793,0.06150662396742823,0.06150662396742823,0.003783064791870617
