metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6286,0.16985448317470297,0.62,0.38,0.8609999999999999
pointwise_empirical_90,0.9414,0.055286581198389015,0.96,0.82,1.0
curve_bias_full,0.002453648907382467,0.012686284148605332,-0.002331851838243892,-0.007456548503570957,0.030399482490727676
curve_mae_full,0.01690545314396777,0.009055577801007872,0.015170444538089214,0.007834471937503168,0.03376988948090002
curve_rmse_full,0.021424551590478336,0.010676779227546633,0.018908026247567822,0.011051560344769522,0.03959200069825372
curve_bias_first,0.0002685389003914681,0.007967797542868455,-0.00238350588704634,-0.009472382639301941,0.014092902065021914
curve_mae_first,0.015365777725543922,0.00550894886681033,0.015099802110344172,0.008029514650977034,0.02626591834006831
curve_rmse_first,0.019295742600159923,0.006501630002853622,0.01811809915858327,0.01032636169446022,0.031633200966125305
curve_bias_second,0.004638758914373466,0.01929965848101672,-0.002011643855366856,-0.010316277062054723,0.04207321792840957
curve_mae_second,0.01844512856239162,0.014695346355945113,0.015107694210892078,0.007350797341277939,0.04224175596237182
curve_rmse_second,0.022585989411500015,0.014887765223112021,0.019351426815988212,0.010613218830652707,0.04687361127386133
second_minus_first_rmse,0.0032902468113400916,0.012683681651958807,0.0014314484910426294,-0.007984264100528939,0.01939529402359707
second_minus_first_mae,0.0030793508368476986,0.012829243431949291,0.00036253471087547944,-0.006762968696188182,0.022589835139922795
