case_id,true_beta,true_gamma,true_R0,beta_ref,gamma_ref,R0_ref,beta_seir,gamma_seir,sigma_seir,sigma,severity,reference_mode,reference_window_days,projection_loss,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.1,0.16016287848698557,0.6243644029420072,0.1,0.16016287848698557,0.6243644029420072,0.26104133230789256,0.33796092457181953,0.27009026017152277,0.27009026017152277,medium,full_curve,50,2.2920243281240667e-05,0.19558216895209773,0.17593910649096767,0.07804068097249961,0.13451410570408096,0.23644770948242408,0.10492150715418919,0.3505706240173404,0.10193360377834312,0.24564911686315122,0.2704800196174028,0.27426145709285493,0.1311170704102211,0.15324797001974022,0.38079209502330946,0.06764951793469631,0.4745410011086794,0.22754412500356924,0.4068914831739831,0.9053559588753781,0.7937642882241291,0.47795875279634387,0.5475466705236396,1.1757542847978224,0.29618159954181855,1.947835183509024,0.6282076142741828,1.6516535839672053,0.0,0.0,0.09558216895209773,0.07593910649096766,0.07593910649096766,0.005766747894646527,1.0,1.0,0.11031714113041724,0.11409857860586936,0.11409857860586936,0.01301848563987975,1.0,1.0,0.2809915559333709,0.1693998852821219,0.1693998852821219,0.02869632113359606
1,0.2800662369727216,0.16336760849608037,1.7143314978467175,0.2800662369727216,0.16336760849608037,1.7143314978467175,0.6194597540465793,0.23732178934660986,0.20027035304102286,0.20027035304102286,medium,full_curve,50,0.001622990928014397,0.26807806308470244,0.2675783336384682,0.015884296528982902,0.25703579493797124,0.2784560957255355,0.24373384189346092,0.29482706746311127,0.02142030078756424,0.05109322556965035,0.13802820768202417,0.13857635089137774,0.021004926186327776,0.12430770981150907,0.1517659403574044,0.10385809025152919,0.17114358964935134,0.02745823054589533,0.06728549939782215,1.9812299944577867,1.9484692936088854,0.27905637853721277,1.7966770441320123,2.129676285936262,1.5949685306121955,2.4609498682530564,0.3329992418042498,0.8659813376408609,0.0,1.0,-0.011988173888019149,-0.01248790333425337,0.01248790333425337,0.00015594772968565644,0.0,1.0,-0.025339400814056195,-0.024791257604702632,0.024791257604702632,0.0006146064536227262,0.0,1.0,0.26689849661106924,0.23413779576216798,0.23413779576216798,0.05482050740436668
2,0.1,0.0891740103929305,1.1214029688624136,0.1,0.0891740103929305,1.1214029688624136,0.21550996129784816,0.17599628488815172,0.20490775672953732,0.20490775672953732,medium,full_curve,50,4.881214080373017e-05,0.333891906635954,0.3262312969870548,0.10639215550547047,0.2556015838572611,0.4104581025214707,0.16758462429609178,0.5216357047378934,0.15485651866420957,0.35405108044180167,0.34982167936775543,0.3675731914851277,0.09353874800188493,0.2919911054084455,0.4229692560051145,0.17042385481383043,0.4741485700799389,0.130978150596669,0.30372471526610845,0.9973002421288986,0.9940951149160653,0.3130531685833473,0.806264462837214,1.147182473596478,0.5078882201274573,1.511447583521451,0.340918010759264,1.0035593633939937,0.0,0.0,0.23389190663595402,0.22623129698705477,0.22623129698705477,0.051180599736444975,0.0,0.0,0.26064766897482494,0.2783991810921972,0.2783991810921972,0.077506104032806,1.0,1.0,-0.12410272673351508,-0.12730785394634836,0.12730785394634836,0.016207289676424767
3,0.35977446240385336,0.06233760749603269,5.771387078446189,0.35977446240385336,0.06233760749603269,5.771387078446189,0.9688323428602119,0.06370916365620277,0.21807036164358112,0.21807036164358112,medium,full_curve,50,0.0017779273607721787,0.35107968847913357,0.3508140283694397,0.012385785924073772,0.3425118459813758,0.35934190101211955,0.3311314232114606,0.3713305077015677,0.01683005503074375,0.04019908449010712,0.0617801071215733,0.0609701589925318,0.00455926929160645,0.05858550063167212,0.06404774977607731,0.05594079969285888,0.07048491079104867,0.0054622491444051915,0.014544111098189788,5.711044304737588,5.725476053797356,0.43736388405484194,5.420347205784875,6.006366787182177,4.951501163761955,6.4062144242783345,0.5860195813973021,1.45471326051638,0.0,1.0,-0.00869477392471979,-0.008960434034413656,0.008960434034413656,8.028937808507859e-05,1.0,1.0,-0.0005575003744593895,-0.001367448503500887,0.001367448503500887,1.8699154097268157e-06,1.0,1.0,-0.06034277370860064,-0.045911024648832566,0.045911024648832566,0.0021078221843057114
4,0.13667338709905655,0.11911532879233325,1.1474038520880396,0.13667338709905655,0.11911532879233325,1.1474038520880396,0.3797137105977739,0.3087497789608495,0.34637480205060933,0.34637480205060933,medium,full_curve,50,3.602589362941197e-05,0.28471296978960997,0.27694104070210596,0.07764062293714553,0.2316738442582198,0.3344191566696546,0.1643150927052674,0.4235056447863166,0.10274531241143481,0.2591905520810492,0.29873066827517253,0.3052704449500852,0.08637379163967224,0.2406566648192235,0.363017353062898,0.14952295034096197,0.4326363382502265,0.12236068824367452,0.28311338790926455,1.018178683770962,0.990837486874824,0.33019064272350507,0.8238721817476027,1.1684775429499459,0.5333210983369704,1.5930818529462314,0.3446053612023432,1.0597607546092611,0.0,0.0,0.14803958269055342,0.1402676536030494,0.1402676536030494,0.01967501464730506,0.0,0.0,0.17961533948283928,0.18615511615775196,0.18615511615775196,0.034653727271706125,1.0,1.0,-0.12922516831707753,-0.15656636521321565,0.15656636521321565,0.024513026716078024
5,0.1,0.09927867806434683,1.0072656279245142,0.1,0.09927867806434683,1.0072656279245142,0.47014181963976176,0.3901769745606405,0.22560946648823815,0.22560946648823815,medium,full_curve,50,0.0001759925611912985,0.3088500671284986,0.30107689926570846,0.10422251965534594,0.23078803400058553,0.37806400236167786,0.1481052120889728,0.4941967668944782,0.14727596836109233,0.34609155480550546,0.3444028574825749,0.36172372975280476,0.0965960384549106,0.28045476704158584,0.4185356945866723,0.15130254560551049,0.4734817088947442,0.13808092754508644,0.32217916328923374,0.9477683130813687,0.9445232951932292,0.3268115989565402,0.7518458162664865,1.1091423186225693,0.43461261432016385,1.5027809622479509,0.3572965023560828,1.068168347927787,0.0,0.0,0.2088500671284986,0.20107689926570846,0.20107689926570846,0.04043191941831187,0.0,0.0,0.24512417941822806,0.26244505168845794,0.26244505168845794,0.06887740515575735,1.0,1.0,-0.05949731484314558,-0.06274233273128504,0.06274233273128504,0.003936600316563283
6,0.39295038222813905,0.18637459343023774,2.1083902853702274,0.39295038222813905,0.18637459343023774,2.1083902853702274,0.7403594957319698,0.23075823601625456,0.32406407105200385,0.32406407105200385,medium,full_curve,50,0.0042479963533716995,0.3861924306888793,0.386367427648587,0.010087685196052503,0.37952717177521267,0.39283260657231944,0.36971194371149535,0.4027772083967199,0.013305434797106774,0.03306526468522453,0.1889057833298371,0.18882244843883828,0.008164488472955906,0.18343577738537803,0.1941686338510602,0.17527234659926336,0.2025481425637502,0.010732856465682172,0.027275795964486843,2.04694007630644,2.045095618630085,0.0748277497538935,1.9963609770351467,2.09251217623895,1.927889466273811,2.177909434559144,0.0961511992038031,0.2500199682853328,0.0,1.0,-0.006757951539259732,-0.006582954579552047,0.006582954579552047,4.333529099644527e-05,1.0,1.0,0.0025311898995993565,0.0024478550086005357,0.0024478550086005357,5.9919941431307285e-06,0.0,1.0,-0.0614502090637874,-0.06329466674014261,0.06329466674014261,0.004006214837745716
7,0.38817756934412295,0.2236221530267922,1.7358636614933913,0.38817756934412295,0.2236221530267922,1.7358636614933913,0.9372643740217701,0.31923358024572585,0.22312362544141343,0.22312362544141343,medium,full_curve,50,0.0024358335401876243,0.39270888206829874,0.392487880165684,0.01433623509388342,0.38312223298325176,0.4020168503259112,0.36972012652335123,0.41688733284741164,0.01889461734265946,0.04716720632406041,0.22053084035958687,0.2199479697275774,0.013643040676254343,0.21119245250383056,0.22907843482415344,0.19918927618679583,0.24394501513288291,0.017885982320322874,0.04475573894608709,1.7849592889069876,1.7815033406598646,0.0848357236598485,1.724915259870044,1.8435327191684157,1.6507031554961347,1.9247427952122014,0.11861745929837175,0.2740396397160667,1.0,1.0,0.0045313127241757845,0.004310310821561025,0.004310310821561025,1.857877937846608e-05,1.0,1.0,-0.0030913126672053315,-0.0036741832992147894,0.0036741832992147894,1.3499622916228875e-05,1.0,1.0,0.0490956274135963,0.04563967916647327,0.04563967916647327,0.002082980314418614
8,0.37652563299907826,0.20254199159520275,1.8590003486861948,0.37652563299907826,0.20254199159520275,1.8590003486861948,0.8309845136136211,0.2731726148844541,0.2435689424428814,0.2435689424428814,medium,full_curve,50,0.003019125215465703,0.39112389793341334,0.3910911919163567,0.01325023636265612,0.38212847536950695,0.3998371490694117,0.369072550801476,0.4131029913957459,0.017708673699904753,0.044030440594269915,0.20913570343880578,0.20889375756649756,0.011934654723004931,0.20093879083579247,0.2168943479762027,0.19043435953542473,0.2290705652238816,0.01595555714041022,0.03863620568845688,1.8740873300189265,1.8729109131336386,0.08529311742943461,1.815450139242238,1.930425979321627,1.7400260312131275,2.017309691960361,0.11497584007938899,0.27728366074723354,0.0,1.0,0.014598264934335081,0.014565558917278454,0.014565558917278454,0.0002121555065727099,1.0,1.0,0.006593711843603023,0.006351765971294804,0.006351765971294804,4.034493095409862e-05,1.0,1.0,0.015086981332731675,0.013910564447443763,0.013910564447443763,0.0001935038032464864
9,0.3728283083368036,0.21993056875735084,1.6952091309696227,0.3728283083368036,0.21993056875735084,1.6952091309696227,0.813955298805505,0.31228697542759054,0.2524946281640073,0.2524946281640073,medium,full_curve,50,0.002095827205535283,0.3615175249446813,0.36155508470736025,0.014340902637902624,0.35180971299163655,0.37065404591025136,0.3385884663600258,0.3857572433610081,0.018844332918614815,0.047168777000982265,0.20625534639429507,0.20557075430476845,0.014084547700088218,0.19673533403498178,0.21549401759967912,0.18446163115617623,0.23088835196182383,0.018758683564697343,0.04642672080564761,1.7581086151461591,1.754731082218365,0.09639282565673958,1.6889489789173493,1.8250063554215918,1.6042548682316395,1.9205487846158438,0.13605737650424254,0.31629391638420423,0.0,1.0,-0.01131078339212227,-0.01127322362944333,0.01127322362944333,0.00012708557099943944,0.0,1.0,-0.013675222363055767,-0.014359814452582387,0.014359814452582387,0.000206204271112594,1.0,1.0,0.06289948417653646,0.05952195124874238,0.05952195124874238,0.003542862680457664
