case_id,true_beta,true_gamma,true_R0,beta_ref,gamma_ref,R0_ref,beta_seir,gamma_seir,sigma_seir,sigma,severity,reference_mode,reference_window_days,projection_loss,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.1,0.17926481564309166,0.5578339488497039,0.1,0.17926481564309166,0.5578339488497039,0.26104133230789256,0.33796092457181953,0.1360722081372182,0.1360722081372182,strong,full_curve,50,7.084655215015319e-05,0.19038383388363217,0.16996365632348492,0.07529673493665774,0.132004854006551,0.2315918319822487,0.10381307756491957,0.34086133670033414,0.09958697797569771,0.23704825913541455,0.2662628578912753,0.26502327822421096,0.12632768047090626,0.15919510072971316,0.3726019614410178,0.06882715118461304,0.4695245973982599,0.21340686071130466,0.4006974462136469,0.8835886160743076,0.7923203168766328,0.4572626389531712,0.5476765672518495,1.1206900592692608,0.30255013506009326,1.8768917837484322,0.5730134920174113,1.574341648688339,0.0,0.0,0.09038383388363216,0.06996365632348492,0.06996365632348492,0.004894913206150711,1.0,1.0,0.08699804224818364,0.0857584625811193,0.0857584625811193,0.007354513904277239,1.0,1.0,0.32575466722460367,0.2344863680269289,0.2344863680269289,0.05498385679046035
1,0.1,0.056728812210875855,1.7627726741091247,0.1,0.056728812210875855,1.7627726741091247,0.6194597540465793,0.23732178934660986,0.08021628243281828,0.08021628243281828,strong,full_curve,50,0.0007963814258308577,0.19668992727267448,0.1913472786934025,0.04944410036181792,0.1613929972240446,0.22572098171637883,0.12508232882480064,0.2837956285599043,0.06432798449233423,0.15871329973510367,0.18268422029487136,0.16369387635334126,0.0974361772486371,0.10689216708818211,0.2412988709792511,0.06050425878070525,0.3673117755778995,0.13440670389106898,0.30680751679719426,1.3577259619968687,1.2716636153595475,0.6123495560349544,0.8947148566716321,1.7910768521982154,0.462573692212102,2.4771157768844905,0.8963619955265834,2.0145420846723887,0.0,0.0,0.09668992727267448,0.0913472786934025,0.0913472786934025,0.008344325324690148,0.0,0.0,0.1259554080839955,0.1069650641424654,0.1069650641424654,0.011441524947001737,1.0,1.0,-0.40504671211225607,-0.4911090587495772,0.4911090587495772,0.24118810758589568
2,0.1,0.11089909509465469,0.9017206129107539,0.1,0.11089909509465469,0.9017206129107539,0.21550996129784816,0.17599628488815172,0.08392620538362984,0.08392620538362984,strong,full_curve,50,0.000189309307879982,0.3137310979879466,0.3051111343863629,0.11371394966795043,0.22813905386293482,0.39103031972235536,0.13938004613742466,0.5239762629668511,0.16289126585942054,0.3845962168294264,0.3545145507082371,0.3721543568410819,0.10087259479442226,0.2918657684596186,0.4329921472176285,0.14933601505251784,0.48452966359069627,0.14112637875800993,0.33519364853817846,0.927641962836535,0.9182126754524984,0.315507451646598,0.7392193248004247,1.0933550198105482,0.4265433229310949,1.4394767181203356,0.35413569501012343,1.0129333951892407,0.0,0.0,0.21373109798794662,0.2051111343863629,0.2051111343863629,0.04207057744926061,0.0,0.0,0.24361545561358244,0.2612552617464272,0.2612552617464272,0.0682543117901942,1.0,1.0,0.0259213499257811,0.016492062541744512,0.016492062541744512,0.00027198812688081247
3,0.2507677199276625,0.0633678957105226,3.9573307132245685,0.2507677199276625,0.0633678957105226,3.9573307132245685,0.9688323428602119,0.06370916365620277,0.0944562893148649,0.0944562893148649,strong,full_curve,50,0.0018695361401015126,0.25212908629064235,0.25209769738860305,0.012074733950011896,0.2431997274759401,0.2602713045780819,0.2335548524030187,0.2725380191645997,0.0170715771021418,0.03898316676158098,0.0583778931346502,0.056194019129111504,0.0071931495932276365,0.05381573181778977,0.060611594732941226,0.05175754447636626,0.07166606316069184,0.006795862915151454,0.019908518684325575,4.371833907586031,4.453409544929988,0.48808388367843164,4.107871864428785,4.707050934548285,3.466917956837206,5.032955278720657,0.5991790701194999,1.5660373218834507,1.0,1.0,0.0013613663629798434,0.0013299774609405457,0.0013299774609405457,1.7688400466098607e-06,0.0,1.0,-0.004990002575872406,-0.0071738765814111025,0.0071738765814111025,5.146450520531865e-05,0.0,1.0,0.4145031943614623,0.49607883170541944,0.49607883170541944,0.24609420726621387
4,0.1,0.09595247645516122,1.0421825855295168,0.1,0.09595247645516122,1.0421825855295168,0.3797137105977739,0.3087497789608495,0.1970998416404875,0.1970998416404875,strong,full_curve,50,0.00017230242140623455,0.2645064104323802,0.2584347392583492,0.08372211119142964,0.20276733128959945,0.3167961761550296,0.14241506915597635,0.4175113888213129,0.11402884486543013,0.27509631966533654,0.302266068854579,0.3109794729347074,0.09707875345839061,0.2376961778210317,0.374089510948165,0.12728104840093793,0.45101437222270824,0.1363933331271333,0.32373332382177034,0.950797758467962,0.9170228784055978,0.3514076680935361,0.7395995202225979,1.1007521309626456,0.4557783663302652,1.5941626256865182,0.3611526107400477,1.138384259356253,0.0,0.0,0.1645064104323802,0.1584347392583492,0.1584347392583492,0.025101566603861095,0.0,0.0,0.2063135923994178,0.21502699647954618,0.21502699647954618,0.04623660921501477,1.0,1.0,-0.09138482706155482,-0.125159707123919,0.125159707123919,0.015664952287345178
5,0.1,0.128836446072486,0.7761778832655627,0.1,0.128836446072486,0.7761778832655627,0.47014181963976176,0.3901769745606405,0.10048757319059051,0.10048757319059051,strong,full_curve,50,0.0003196554912377102,0.2859185872974025,0.27145083415973625,0.10820920982389086,0.20258766324239294,0.35479191331144655,0.12887282086064086,0.49070087065610046,0.1522042500690536,0.36182804979545957,0.34344552788573834,0.3615635490855581,0.10379087793743308,0.2775475816390828,0.4240678094310663,0.14214401407762114,0.4828904297540625,0.14652022779198354,0.34074641567644137,0.8850788709026024,0.8637568004745542,0.3306304732020238,0.6728800267589392,1.0496132919776506,0.40115649900561456,1.4751544229219973,0.3767332652187114,1.0739979239163828,0.0,0.0,0.1859185872974025,0.17145083415973625,0.17145083415973625,0.02939538853406938,0.0,0.0,0.21460908181325233,0.2327271030130721,0.2327271030130721,0.05416190447685707,1.0,1.0,0.1089009876370397,0.08757891720899147,0.08757891720899147,0.007670066739499382
6,0.3060673526891094,0.16570223874531761,1.8470924412767369,0.3060673526891094,0.16570223874531761,1.8470924412767369,0.7403594957319698,0.23075823601625456,0.17925125684160312,0.17925125684160312,strong,full_curve,50,0.0026684814779716418,0.2836013255214027,0.2830867497721715,0.012761239072935629,0.274753982124107,0.29211458492722764,0.2634327239258515,0.3054401036898039,0.01736060280312063,0.04200737976395241,0.14177566593326874,0.14175913715481428,0.014083205374906599,0.13232227691688347,0.15067102756393053,0.11981727615340254,0.1651208549192481,0.018348750647047052,0.045303578765845565,2.015326320890993,2.0080634603367633,0.1688302010155863,1.898345620338015,2.125541797339242,1.759509114771136,2.294270614938168,0.22719617700122696,0.5347615001670321,0.0,0.0,-0.02246602716770668,-0.022980602916937876,0.022980602916937876,0.0005281081104259736,0.0,0.0,-0.02392657281204888,-0.023943101590503335,0.023943101590503335,0.0005732721137731633,0.0,1.0,0.16823387961425595,0.16097101906002642,0.16097101906002642,0.025911668977223388
7,0.23065550262606832,0.1557220256431672,1.4812002455876676,0.23065550262606832,0.1557220256431672,1.4812002455876676,0.9372643740217701,0.31923358024572585,0.09849890035313075,0.09849890035313075,strong,full_curve,50,0.0013765847213027009,0.2334453909106811,0.23191178991950046,0.03332723893665147,0.21082598416832324,0.2552459137071744,0.1819221232239377,0.29020221364975973,0.04441992953885118,0.10828009042582204,0.14894574775111674,0.14370706363901176,0.05463182932092817,0.1104727474509393,0.18064986185823886,0.06991499139129416,0.24837053996201164,0.07017711440729957,0.1784555485707175,1.7568911616779297,1.6816472615554001,0.576700475253516,1.3775518010781587,2.086313926628028,0.9273496188774916,2.885953965949967,0.7087621255498695,1.9586043470724754,1.0,1.0,0.002789888284612768,0.0012562872934321345,0.0012562872934321345,1.578257763639038e-06,1.0,1.0,-0.0067762778920504585,-0.012014962004155444,0.012014962004155444,0.000144359311961299,1.0,1.0,0.2756909160902621,0.2004470159677325,0.2004470159677325,0.04017900621036841
8,0.25122670118949103,0.15826940091230915,1.5873358952605492,0.25122670118949103,0.15826940091230915,1.5873358952605492,0.8309845136136211,0.2731726148844541,0.11485515395430515,0.11485515395430515,strong,full_curve,50,0.001614227500330165,0.24603589194603354,0.24544560214791467,0.025446733124655313,0.22844165431921534,0.2624452824611308,0.20627519298984118,0.2887855670333116,0.03400362814191546,0.08251037404347042,0.1374219278060729,0.13387189503804617,0.040202929367826046,0.10931578766420738,0.16122564055376593,0.07765456955153499,0.2080238707504731,0.051909852889558544,0.1303693011989381,1.9246174994498688,1.866582136235487,0.5052042532445784,1.579629628024961,2.2102401362348294,1.2239037295378683,2.8658159724952124,0.6306105082098683,1.641912242957344,1.0,1.0,-0.005190809243457495,-0.005781099041576365,0.005781099041576365,3.3421106128515167e-05,1.0,1.0,-0.020847473106236247,-0.02439750587426298,0.02439750587426298,0.0005952382928846966,1.0,1.0,0.33728160418931963,0.2792462409749379,0.2792462409749379,0.07797846309863309
9,0.23747792498372008,0.15979545329186345,1.4861369337585033,0.23747792498372008,0.15979545329186345,1.4861369337585033,0.813955298805505,0.31228697542759054,0.12199570253120584,0.12199570253120584,strong,full_curve,50,0.0012488587625508005,0.23518484527014835,0.23340856459590797,0.02601969950013324,0.2177351034363257,0.25089725483313596,0.195634983443373,0.28002129602635684,0.03316215139681025,0.08438631258298385,0.1408410598654819,0.13855765151588145,0.042623794865281284,0.11062416128075271,0.16720156253658264,0.0761078347850354,0.2156871433025224,0.056577401255829926,0.139579308517487,1.8084646239516327,1.7350742205602443,0.5032321437189894,1.4666543656980788,2.079359246134741,1.111539396719634,2.768964551138068,0.6127048804366624,1.657425154418434,1.0,1.0,-0.002293079713571733,-0.00406936038781211,0.00406936038781211,1.6559693965894324e-05,1.0,1.0,-0.018954393426381555,-0.021237801775982,0.021237801775982,0.00045104422427590427,1.0,1.0,0.32232769019312935,0.248937286801741,0.248937286801741,0.06196977276021225
