metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6325999999999999,0.10785905505601166,0.62,0.46,0.8019999999999999
pointwise_empirical_90,0.9274,0.045540968346970814,0.94,0.86,0.98
curve_bias_full,-0.002298317441679819,0.004671976865922853,-0.0035872506971645632,-0.007189290328213246,0.008552264501340686
curve_mae_full,0.014422287863952488,0.004288562761227963,0.01400651691132225,0.007931904290569038,0.0227834267669823
curve_rmse_full,0.019050771717017922,0.0048341389586083385,0.018597938984293703,0.012410942398232724,0.02783457259157486
curve_bias_first,-0.003060938554829045,0.004757891307023734,-0.0029849371468299067,-0.009895336723420769,0.004626560402823087
curve_mae_first,0.015872341797278203,0.004303965147918231,0.01584175557254639,0.00865177452590433,0.022282218124251813
curve_rmse_first,0.020135853252369093,0.004935461400141237,0.019940882896066717,0.011853757439721009,0.02773095803345038
curve_bias_second,-0.0015356963285305938,0.0077308997675171595,-0.0032893133751349525,-0.009698022419455811,0.012270154364407057
curve_mae_second,0.012972233930626768,0.005647579359588671,0.011325922271353192,0.006531344083457953,0.023929402850568292
curve_rmse_second,0.01741175955981042,0.006308330100567872,0.016478960134424875,0.009383252261220448,0.02989884496070774
second_minus_first_rmse,-0.002724093692558674,0.006075113476115715,-0.003254178090915355,-0.01051833970881055,0.007507878964242448
second_minus_first_mae,-0.0029001078666514336,0.005222207867054772,-0.0027880994725273927,-0.010281813479370613,0.004802564400073606
