case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity
0,0.72,0.92,-0.0069823108748460075,0.011542720897596155,0.01631338880183781,-0.0020266140694729985,0.008670391573105007,0.01090431312804867,-0.011938007680219015,0.014415050222087302,0.020330992686175456,0.009426679558126786,0.005744658648982295,fraction,25,0.24477311957990025,0.33796092457181953,0.7242645577739977,0.24477311957990025,0.25631220174615077,0.7242645577739977,0.7584078013482954,time_avg,0.26104133230789256,0.33796092457181953,17,0.9055750790662072,mild
1,0.54,0.92,0.0022510247630998493,0.017995605026371778,0.022606741134318337,-0.001903661573305726,0.016598839247599244,0.020860463520347452,0.006405711099505424,0.01939237080514431,0.024227475129373566,0.003367011609026114,0.0027935315575450675,fraction,25,0.35602557806608603,0.09375293050568131,3.7974874614133936,0.35602557806608603,0.3506228348526525,3.7974874614133936,3.7398600018311448,time_avg,0.38426463760700225,0.09375293050568131,16,0.8919285703850962,mild
2,0.84,0.98,-0.003170509325509556,0.007804081545682493,0.012107270624034362,-0.0027374979127671394,0.008747965346974524,0.014383317297270135,-0.003603520738251973,0.006860197744390462,0.009289358828964494,-0.005093958468305642,-0.001887767602584062,fraction,25,0.2680481335883664,0.42381710222092844,0.632461814739693,0.2680481335883664,0.27462833617074484,0.632461814739693,0.6479878578084984,time_avg,0.27537615462093723,0.42381710222092844,17,0.9596803790587983,mild
3,0.6,0.9,-0.00374883791373577,0.014002790938538965,0.01868200197244777,-0.007275988571345806,0.017036398015916346,0.022005355951418337,-0.00022168725612573326,0.010969183861161582,0.01462185709301189,-0.007383498858406447,-0.006067214154754764,fraction,25,0.4924990133121481,0.20865185201255343,2.3603864933943512,0.4924990133121481,0.4974557099213342,2.3603864933943512,2.3841423170852325,time_avg,0.5088133920563621,0.20865185201255343,20,0.946560700514454,mild
4,0.76,0.98,-0.006282425435492769,0.011396061655250377,0.014951796579966505,-0.006453523805248551,0.012383568192017264,0.0170422953551722,-0.006111327065736987,0.010408555118483492,0.012516893023609024,-0.004525402331563176,-0.0019750130735337722,fraction,25,0.1664624245393579,0.18700362221474154,0.8901561508161825,0.1664624245393579,0.17058472064012886,0.8901561508161825,0.9122000879974486,time_avg,0.18254132540300172,0.18700362221474154,20,0.8531939655477466,mild
5,0.54,0.92,0.0024293646682053806,0.02052296116016805,0.025503088479861998,-0.007693685796111822,0.018519630711525677,0.02271288514386434,0.012552415132522582,0.022526291608810426,0.028016778766749156,0.005303893622884817,0.004006660897284749,fraction,25,0.2808989508748742,0.07434764212810198,3.778182371821309,0.2808989508748742,0.2772570887741353,3.778182371821309,3.729198140492709,time_avg,0.293222378204653,0.07434764212810198,14,0.9416283593491165,mild
6,0.62,0.9,0.0010335016902536154,0.015752571960911156,0.020667222082020865,0.0037926168367266653,0.016521689482033253,0.021146537155000027,-0.0017256134562194348,0.014983454439789056,0.02017652357388024,-0.0009700135811197864,-0.0015382350422441966,fraction,25,0.7590071930467258,0.12007176008901925,6.321279812039153,0.7590071930467258,0.7931475600413892,6.321279812039153,6.6056128389669855,time_avg,0.8072158415831313,0.12007176008901925,23,0.889403465010884,mild
7,0.5,0.9,-0.001691051940433681,0.016849289280362428,0.02165423211385359,0.0003057975508272648,0.01662803204730153,0.021840257538109052,-0.0036879014316946266,0.017070546513423324,0.021466594689199467,-0.0003736628489095853,0.00044251446612179196,fraction,25,0.4849315414756304,0.2922467506437757,1.6593222693063276,0.4849315414756304,0.48597982746321655,1.6593222693063276,1.662909258674993,time_avg,0.48996164703975054,0.2922467506437757,22,0.9816672765740551,mild
8,0.58,0.9,-0.003401748457690701,0.014292391171911731,0.019166334014402063,0.00016703320667147637,0.016930218618363142,0.021567062336201967,-0.006970530122052878,0.01165456372546032,0.01641823806897773,-0.0051488242672242356,-0.005275654892902822,fraction,25,0.5076193944287342,0.33693931512896735,1.5065602962789815,0.5076193944287342,0.5080700644604934,1.5065602962789815,1.5078978369325164,time_avg,0.5227998506544365,0.33693931512896735,16,0.9572987629893741,mild
9,0.5,0.88,-0.003281886833719909,0.017312368494458497,0.021077767746096144,-0.0036988729517906903,0.018170846896246075,0.021977993589361283,-0.002864900715649128,0.01645389009267092,0.02013733805900711,-0.0018406555303541738,-0.0017169568035751565,fraction,25,0.4410679180152591,0.12948875842959828,3.406225554746231,0.4410679180152591,0.44065260445816673,3.406225554746231,3.403018221830778,time_avg,0.4646839378666684,0.12948875842959828,16,0.9252622306736159,mild
10,0.6,0.96,-0.0030999870656523852,0.014672074164263905,0.019160778614761825,-0.0035456699877977373,0.01557022713124752,0.020118240334366398,-0.0026543041435070336,0.013773921197280287,0.018152886274543256,-0.001965354059823142,-0.0017963059339672332,fraction,25,0.7889747723977802,0.1551854573827073,5.084076727963413,0.7889747723977802,0.831765988136857,5.084076727963413,5.359819161956748,time_avg,0.8374964213564154,0.1551854573827073,27,0.874050989505828,mild
11,0.52,0.92,-0.0014544153219321742,0.014475669273524545,0.017755406768747987,-0.000540795624256134,0.014816954098641873,0.0179645809699385,-0.0023680350196082145,0.014134384448407217,0.017543738758369815,-0.00042084221156868384,-0.0006825696502346552,fraction,25,0.6428050565965167,0.4142892524820762,1.551585161201658,0.6428050565965167,0.6427554693555433,1.551585161201658,1.5514654688836067,time_avg,0.6474256580029935,0.4142892524820762,10,0.9910788957979958,mild
12,0.62,0.96,-0.0044145056411798575,0.01381379461454344,0.018942726185596455,-0.007896498255431652,0.014297977834939957,0.020046965697306136,-0.0009325130269280635,0.013329611394146923,0.01777000047878431,-0.002276965218521828,-0.000968366440793034,fraction,25,0.5689294842393253,0.2540985352126566,2.2390112708173815,0.5689294842393253,0.5818444486814287,2.2390112708173815,2.2898378701572586,time_avg,0.5994305981110294,0.2540985352126566,18,0.9204945650510318,mild
13,0.5,0.92,-0.0015164369530975819,0.016584401242434977,0.020157665911471934,-0.004093337394297123,0.01611992232501507,0.02008882464368855,0.0010604634881019592,0.01704888015985489,0.020226272875450063,0.00013744823176151458,0.0009289578348398199,fraction,25,0.3999510867572313,0.15368390653517353,2.6024266025909144,0.3999510867572313,0.40306450777522884,2.6024266025909144,2.622685204081403,time_avg,0.4130429568877796,0.15368390653517353,25,0.9366077067179954,mild
14,0.58,0.88,-0.005255160601227544,0.015141919730813242,0.019044031556305137,-0.010207255855202674,0.01850849814713001,0.02215598665139545,-0.0003030653472524136,0.011775341314496472,0.015312169387068525,-0.006843817264326925,-0.006733156832633539,fraction,25,0.6913023235522036,0.184024715982677,3.75657323996239,0.6913023235522036,0.7120648996429224,3.75657323996239,3.869398172090927,time_avg,0.7246202710627209,0.184024715982677,18,0.9281564495720863,mild
15,0.62,0.94,-0.004046130411443301,0.012481839886750095,0.016994386131368073,-0.001334311133250594,0.014347416991367936,0.01817426604907377,-0.006757949689636007,0.010616262782132253,0.01572623201983092,-0.0024480340292428494,-0.003731154209235683,fraction,25,0.8866647233605935,0.19389193396296361,4.57298405992464,0.8866647233605935,0.9028039001889456,4.57298405992464,4.656222060074945,time_avg,0.9051074483412495,0.19389193396296361,22,0.9636137814070442,mild
16,0.58,0.86,-0.005333764966871967,0.014960316148990387,0.02037576502673175,-0.0030965731013566254,0.0201270564366132,0.023488911030394754,-0.00757095683238731,0.009793575861367572,0.016691754235411235,-0.006797156794983519,-0.01033348057524563,fraction,25,0.7273824754427184,0.42179631479061813,1.724487507207821,0.7273824754427184,0.7390682251683471,1.724487507207821,1.7521922294063295,time_avg,0.740246937946567,0.42179631479061813,27,0.96222041402558,mild
17,0.86,1.0,-0.0027763975022207887,0.007289038035323756,0.009706279045080283,-0.0031129421896184794,0.008398509442049545,0.010490392983911611,-0.002439852814823098,0.006179566628597968,0.008852985984684897,-0.0016374069992267145,-0.0022189428134515767,fraction,25,0.29740716391092986,0.40585461416976637,0.7327923683196721,0.29740716391092986,0.3101572261912897,0.7327923683196721,0.7642077122266077,time_avg,0.3123512109611524,0.40585461416976637,22,0.9145647675837318,mild
18,0.62,0.94,-0.001410603034310043,0.012642511962912977,0.016153234651634533,0.002769847121089697,0.012646063175052404,0.01562323453166374,-0.005591053189709783,0.012638960750773549,0.016666388996725203,0.0010431544650614626,-7.102424278855254e-06,fraction,25,0.4077904098966,0.2478963552731846,1.6450036526241394,0.4077904098966,0.4164935067485611,1.6450036526241394,1.6801114574257476,time_avg,0.43795130167305996,0.2478963552731846,26,0.8565247072884227,mild
