case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity
0,0.76,0.92,-0.006787041827046778,0.011347104204760398,0.016049923140155544,-0.002177266223006882,0.008956289445632138,0.011297371345833829,-0.011396817431086675,0.01373791896388866,0.019686784051340982,0.008389412705507153,0.004781629518256522,fraction,25,0.15958999512262434,0.33796092457181953,0.47221434053305805,0.15958999512262434,0.24438121640064708,0.47221434053305805,0.7231049468522626,time_avg,0.26104133230789256,0.33796092457181953,17,0.4111501581324144,strong
1,0.3,0.7,0.006937164324335754,0.029112224210985006,0.03660766839670357,0.006436299299821258,0.029115754077211023,0.03727340175994323,0.00743802934885025,0.029108694344758986,0.03592960189214291,-0.0013437998678003243,-7.059732452036754e-06,fraction,25,0.22326653709606498,0.09375293050568131,2.3814352883885084,0.22326653709606498,0.2015638209520895,2.3814352883885084,2.1499468855522865,time_avg,0.38426463760700225,0.09375293050568131,16,0.38385714077019234,strong
2,0.84,0.98,-0.002856944554660004,0.008080585626594257,0.01222738048157073,-0.002164803568739444,0.009380050569307059,0.014582550430675304,-0.0035490855405805634,0.006781120683881454,0.009293378816071432,-0.005289171614603872,-0.002598929885425605,fraction,25,0.18802080773586802,0.42381710222092844,0.4436366695694504,0.18802080773586802,0.2696861517890352,0.4436366695694504,0.6363267323942311,time_avg,0.27537615462093723,0.42381710222092844,17,0.5193607581175967,strong
3,0.56,0.86,-0.004103583841351792,0.016171067609684543,0.021885119277281765,-0.010812626667320729,0.020909033343195917,0.026836265941203672,0.002605458984617144,0.011433101876173168,0.015418551225542948,-0.011417714715660724,-0.009475931467022749,fraction,25,0.3540694204744074,0.20865185201255343,1.6969387861129794,0.3540694204744074,0.41442582129206157,1.6969387861129794,1.9862072504735202,time_avg,0.5088133920563621,0.20865185201255343,20,0.493121401028908,strong
4,0.78,0.98,-0.00593901849584654,0.010280003664083779,0.014092387152491961,-0.007023132156464271,0.012065022278693504,0.016816092389314488,-0.004854904835228808,0.008494985049474053,0.010696251122027767,-0.006119841267286721,-0.0035700372292194506,fraction,25,0.10657360557899363,0.18700362221474154,0.569901290236037,0.10657360557899363,0.14958984778613685,0.569901290236037,0.7999302153321854,time_avg,0.18254132540300172,0.18700362221474154,20,0.3063879310954932,strong
5,0.16,0.58,0.016459415443241598,0.04334221577271819,0.05322610018309604,0.00012572206556797028,0.027843413464725016,0.03693950984491425,0.03279310882091522,0.05884101808071136,0.06558588334252605,0.028646373497611795,0.030997604615986347,fraction,25,0.1841274786221553,0.07434764212810198,2.4765745537013966,0.1841274786221553,0.15666004663968383,2.4765745537013966,2.107128648004149,time_avg,0.293222378204653,0.07434764212810198,14,0.48325671869823295,strong
6,0.62,0.9,-0.0015035021677613258,0.015170405339449643,0.02009314320445785,-2.9238350689411162e-05,0.015525555796921253,0.020282755522141337,-0.0029777659848332404,0.014815254881978036,0.019901724450377325,-0.0003810310717640118,-0.0007103009149432172,fraction,25,0.5364399227283639,0.12007176008901925,4.467661024795973,0.5364399227283639,0.7285531654428412,4.467661024795973,6.0676479207325995,time_avg,0.8072158415831313,0.12007176008901925,23,0.37880693002176785,strong
7,0.52,0.88,-0.0019857923220843077,0.016067127641290428,0.021103578857080005,-0.002966757398098707,0.019094681311398746,0.024604682529957584,-0.0010048272460699082,0.013039573971182107,0.016891763636577115,-0.0077129188933804695,-0.006055107340216638,fraction,25,0.37015002697460625,0.2922467506437757,1.2665667835800443,0.37015002697460625,0.41893456065599743,1.2665667835800443,1.4334960430976478,time_avg,0.48996164703975054,0.2922467506437757,22,0.5633345531481102,strong
8,0.68,0.9,-4.4421779675758445e-05,0.013257976027452968,0.01791358561866284,0.0016898124851286412,0.016155293304473163,0.02124770510966285,-0.001778656044480158,0.010360658750432777,0.013795946035235686,-0.007451759074427165,-0.005794634554040386,fraction,25,0.35023737882502554,0.33693931512896735,1.0394672366772284,0.35023737882502554,0.40517987388017673,1.0394672366772284,1.202530710092675,time_avg,0.5227998506544365,0.33693931512896735,16,0.5145975259787482,strong
9,0.48,0.88,-0.0031965264352038503,0.0175489711901173,0.02160304112924378,-0.001705379979684949,0.02043846412561834,0.024491566278914936,-0.004687672890722752,0.01465947825461626,0.018263240492013274,-0.006228325786901662,-0.005778985871002078,fraction,25,0.29105786706411596,0.12948875842959828,2.2477462182353163,0.29105786706411596,0.2968270877814025,2.2477462182353163,2.2923000527708695,time_avg,0.4646839378666684,0.12948875842959828,16,0.45052446134723173,strong
