case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity
0,0.76,0.98,-0.006342181544168852,0.011716261065448635,0.016242961041444504,0.0001194393279387013,0.00687773827538716,0.007985233910017299,-0.009670895326769713,0.01420883341184394,0.01915463535918756,0.011169401449170262,0.00733109513645678,tau,17,0.2080845525294241,0.33796092457181953,0.6157059511926042,0.2080845525294241,0.24952474103860464,0.6157059511926042,0.738324234834961,time_avg,0.26104133230789256,0.33796092457181953,17,0.692625131777012,medium
1,0.44,0.82,0.006654678382910788,0.0234740825323388,0.028925033142774028,-0.006043455839972012,0.01793525971879717,0.020992195794813602,0.012630270958385047,0.026080587385770154,0.03198442661805906,0.010992230823245457,0.008145327666972985,tau,16,0.2980045453362274,0.09375293050568131,3.1786157907690007,0.2980045453362274,0.28269541547749233,3.1786157907690007,3.015323509918032,time_avg,0.38426463760700225,0.09375293050568131,16,0.669880950641827,medium
2,0.84,0.98,-0.0031358870957046746,0.007787138341809623,0.012039731992233913,-0.0037069020292940826,0.00994839084759245,0.016290351400256226,-0.0028417278874919498,0.006673765838830591,0.009106063570244348,-0.007184287830011878,-0.00327462500876186,tau,17,0.23590054692584636,0.42381710222092844,0.5566093149371673,0.23590054692584636,0.2721158903497324,0.5566093149371673,0.6420597208648817,time_avg,0.27537615462093723,0.42381710222092844,17,0.782800631764664,medium
3,0.6,0.88,-0.0033898852835409343,0.014659530709031969,0.019754954066907,-0.005598539253696799,0.015346938883885742,0.020802059862077883,-0.0019174493034370243,0.014201258592462788,0.019024893008171194,-0.0017771668539066886,-0.001145680291422953,tau,20,0.43582955553093305,0.20865185201255343,2.0887883396535183,0.43582955553093305,0.4603264169874734,2.0887883396535183,2.2061937746892277,time_avg,0.5088133920563621,0.20865185201255343,20,0.7609345008574233,medium
4,0.72,0.98,-0.008304613075742963,0.011238776500395033,0.015413246257869885,-0.009453224311437225,0.013679073131788755,0.01889907122109273,-0.007538872251946789,0.009611912079465885,0.012563054498393683,-0.006336016722699048,-0.00406716105232287,tau,20,0.1393144380106585,0.18700362221474154,0.7449825642985662,0.1393144380106585,0.15784572583380932,0.7449825642985662,0.8440784406440567,time_avg,0.18254132540300172,0.18700362221474154,20,0.605323275912911,medium
5,0.4,0.92,0.009271040549501777,0.02911450174637139,0.03518869869429553,-0.009216845600998827,0.021691316372847984,0.027343252367946054,0.016460774052474234,0.03200129605829716,0.03780251222144691,0.010459259853500859,0.010309979685449173,tau,14,0.24101531580891916,0.07434764212810198,3.2417344909694186,0.24101531580891916,0.22606498804330963,3.2417344909694186,3.040647713532013,time_avg,0.293222378204653,0.07434764212810198,14,0.7527139322485275,medium
6,0.64,0.88,-0.0003841680008918047,0.01564405226148665,0.020552893701890416,0.00015878393922163093,0.01658005453646183,0.02112296861278606,-0.0008466826165439906,0.014846716990211496,0.02005449659254909,-0.0010684720202369692,-0.0017333375462503346,tau,23,0.6614836108542218,0.12007176008901925,5.509068996438535,0.6614836108542218,0.7647611723704096,5.509068996438535,6.369200982840829,time_avg,0.8072158415831313,0.12007176008901925,23,0.6656724416848065,medium
7,0.52,0.84,-0.0021424889552872626,0.016460016291821377,0.021264672062646487,-0.0003020707729526541,0.01619583984244276,0.021947831461191735,-0.003588531812835884,0.016667583502047428,0.02071210236959437,-0.0012357290915973665,0.0004717436596046662,tau,22,0.4404213594148779,0.2922467506437757,1.5070188409099359,0.4404213594148779,0.4545895823132732,1.5070188409099359,1.5554991845482649,time_avg,0.48996164703975054,0.2922467506437757,22,0.8194454609567585,medium
8,0.62,0.9,-0.0023554479773156343,0.014080400275997818,0.019090989024955148,0.0015299380174838006,0.014259915857110173,0.020141757066997255,-0.004183864916044781,0.013995922355474356,0.018575954613751233,-0.0015658024532460221,-0.0002639935016358168,tau,16,0.44417350551151374,0.33693931512896735,1.318259655574777,0.44417350551151374,0.4548536663766191,1.318259655574777,1.3499572354817624,time_avg,0.5227998506544365,0.33693931512896735,16,0.7788312716489568,medium
9,0.5,0.9,-0.0019077314017340542,0.01626505729276687,0.020532787468574846,-0.00399547336564865,0.016264976249658503,0.018949607732822296,-0.0009252645951860092,0.01626509543070022,0.02123701397659963,0.002287406243777334,1.1918104171615429e-07,tau,16,0.3779261431185861,0.12948875842959828,2.91860195203015,0.3779261431185861,0.3776173019536333,2.91860195203015,2.9162168711266157,time_avg,0.4646839378666684,0.12948875842959828,16,0.7254370511226931,medium
