case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity
0,0.7,0.92,-0.007049486757896375,0.011288022138469387,0.01625936734686477,-0.00015470965488074238,0.006334868828964639,0.00730429344181621,-0.010601341629146853,0.013839646570638499,0.0193150556603689,0.01201076221855269,0.00750477774167386,tau,17,0.24477311957990025,0.33796092457181953,0.7242645577739977,0.24477311957990025,0.25631220174615077,0.7242645577739977,0.7584078013482954,time_avg,0.26104133230789256,0.33796092457181953,17,0.9055750790662072,mild
1,0.48,0.94,-0.00048607092816382646,0.018263319698162375,0.022957269273980573,-0.007731704637990333,0.01880503179563675,0.02237736442654079,0.0029236390529310003,0.018008396358174437,0.023225155990770522,0.0008477915642297329,-0.0007966354374623133,tau,16,0.35602557806608603,0.09375293050568131,3.7974874614133936,0.35602557806608603,0.3506228348526525,3.7974874614133936,3.7398600018311448,time_avg,0.38426463760700225,0.09375293050568131,16,0.8919285703850962,mild
2,0.84,0.98,-0.0027890991713320546,0.008134301405061706,0.012166789833669162,-0.0031095792724312667,0.010365694641436943,0.016362436333125657,-0.0026240033616748847,0.006984795798444159,0.009293432441520887,-0.00706900389160477,-0.0033808988429927843,tau,17,0.2680481335883664,0.42381710222092844,0.632461814739693,0.2680481335883664,0.27462833617074484,0.632461814739693,0.6479878578084984,time_avg,0.27537615462093723,0.42381710222092844,17,0.9596803790587983,mild
3,0.6,0.92,-0.0036440615268656983,0.013787721997068729,0.018655865351855407,-0.005247547896578908,0.014392371056601405,0.02004435504812084,-0.0025750706137235586,0.013384622624046945,0.017669693654602886,-0.0023746613935179545,-0.0010077484325544603,tau,20,0.4924990133121481,0.20865185201255343,2.3603864933943512,0.4924990133121481,0.4974557099213342,2.3603864933943512,2.3841423170852325,time_avg,0.5088133920563621,0.20865185201255343,20,0.946560700514454,mild
4,0.7,0.98,-0.0077224976211437025,0.011714122796838637,0.015647742245857254,-0.00827857605399913,0.013703203082695837,0.018813985323464837,-0.00735177866590675,0.010388069272933838,0.013119033240052768,-0.005694952083412069,-0.0033151338097619984,tau,20,0.1664624245393579,0.18700362221474154,0.8901561508161825,0.1664624245393579,0.17058472064012886,0.8901561508161825,0.9122000879974486,time_avg,0.18254132540300172,0.18700362221474154,20,0.8531939655477466,mild
5,0.46,0.92,0.004596453374251724,0.021526569658890368,0.02735217914531343,-0.006068144825154117,0.020524899109399745,0.02468730985786121,0.008743797118465105,0.021916108205914497,0.028320879345072342,0.0036335694872111322,0.001391209096514752,tau,14,0.2808989508748742,0.07434764212810198,3.778182371821309,0.2808989508748742,0.2772570887741353,3.778182371821309,3.729198140492709,time_avg,0.293222378204653,0.07434764212810198,14,0.9416283593491165,mild
6,0.64,0.9,0.00018182980362325908,0.015523540689609944,0.02048974289437877,0.0015266448178369067,0.016131071981204594,0.02089721315556413,-0.0009637533566328111,0.015006014033807096,0.020136136014912362,-0.0007610771406517669,-0.0011250579473974977,tau,23,0.7590071930467258,0.12007176008901925,6.321279812039153,0.7590071930467258,0.7931475600413892,6.321279812039153,6.6056128389669855,time_avg,0.8072158415831313,0.12007176008901925,23,0.889403465010884,mild
7,0.5,0.82,-0.0016607222659513355,0.016459717522375284,0.02134181956742096,0.0010574898386204784,0.01528440549207682,0.021130793480657644,-0.0037964603481149034,0.01738317697475265,0.021506173194930006,0.0003753797142723621,0.002098771482675831,tau,22,0.4849315414756304,0.2922467506437757,1.6593222693063276,0.4849315414756304,0.48597982746321655,1.6593222693063276,1.662909258674993,time_avg,0.48996164703975054,0.2922467506437757,22,0.9816672765740551,mild
8,0.6,0.88,-0.003819382571964525,0.01433084334305022,0.01954379680148138,0.0011203268659301102,0.014063524606171995,0.020198351262815366,-0.0061439517192090586,0.014456640395698795,0.019228062649880258,-0.0009702886129351086,0.0003931157895267993,tau,16,0.5076193944287342,0.33693931512896735,1.5065602962789815,0.5076193944287342,0.5080700644604934,1.5065602962789815,1.5078978369325164,time_avg,0.5227998506544365,0.33693931512896735,16,0.9572987629893741,mild
9,0.48,0.9,-0.003698411216028035,0.017195217958651483,0.02119838875471705,-0.002677514057722874,0.016191831542528234,0.018731516081577495,-0.00417883340817164,0.01766739980153301,0.022264895327672597,0.0035333792460951023,0.001475568259004776,tau,16,0.4410679180152591,0.12948875842959828,3.406225554746231,0.4410679180152591,0.44065260445816673,3.406225554746231,3.403018221830778,time_avg,0.4646839378666684,0.12948875842959828,16,0.9252622306736159,mild
