case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity
0,0.76,0.96,-0.006273946681612869,0.011370173334289574,0.016106654124765897,-0.00010487457235713544,0.006809668179330937,0.008188346585005524,-0.009451953525774914,0.013719524474722813,0.018934802027601307,0.010746455442595783,0.006909856295391877,tau,17,0.15958999512262434,0.33796092457181953,0.47221434053305805,0.15958999512262434,0.24438121640064708,0.47221434053305805,0.7231049468522626,time_avg,0.26104133230789256,0.33796092457181953,17,0.4111501581324144,strong
1,0.32,0.72,0.008416977957822383,0.02912413827609271,0.03624825680500167,-0.006186094062286429,0.01774525140353944,0.021262865753173536,0.015289011849638294,0.03447890856905895,0.041466873635493604,0.020204007882320067,0.016733657165519507,tau,16,0.22326653709606498,0.09375293050568131,2.3814352883885084,0.22326653709606498,0.2015638209520895,2.3814352883885084,2.1499468855522865,time_avg,0.38426463760700225,0.09375293050568131,16,0.38385714077019234,strong
2,0.84,0.98,-0.0030896314277561033,0.008042112400908082,0.01238223000474796,-0.003928579722175046,0.010403042683131336,0.016993786198553698,-0.0026574459427524053,0.006825875588853678,0.00913961061992583,-0.007854175578627868,-0.0035771670942776577,tau,17,0.18802080773586802,0.42381710222092844,0.4436366695694504,0.18802080773586802,0.2696861517890352,0.4436366695694504,0.6363267323942311,time_avg,0.27537615462093723,0.42381710222092844,17,0.5193607581175967,strong
3,0.54,0.86,-0.0034797848050948234,0.015932760086143388,0.021544781122513446,-0.008141982881352306,0.0179636116605252,0.023575798785864355,-0.0003716527542565018,0.014578859036555513,0.020076946906854243,-0.003498851879010112,-0.003384752623969688,tau,20,0.3540694204744074,0.20865185201255343,1.6969387861129794,0.3540694204744074,0.41442582129206157,1.6969387861129794,1.9862072504735202,time_avg,0.5088133920563621,0.20865185201255343,20,0.493121401028908,strong
4,0.78,0.98,-0.005062718357366975,0.00992279404803412,0.01371985280186071,-0.006677471103466814,0.012528339165874059,0.01755969613914988,-0.0039862165266337495,0.008185763969474161,0.010400095312465099,-0.00715960082668478,-0.004342575196399898,tau,20,0.10657360557899363,0.18700362221474154,0.569901290236037,0.10657360557899363,0.14958984778613685,0.569901290236037,0.7999302153321854,time_avg,0.18254132540300172,0.18700362221474154,20,0.3063879310954932,strong
5,0.22,0.58,0.01699863575398922,0.04379745738580823,0.053384257269480255,-0.012463633769324847,0.022959150972643068,0.02964708976074722,0.0284561850130558,0.05190124321315023,0.06013610654469057,0.030489016783943352,0.028942092240507165,tau,14,0.1841274786221553,0.07434764212810198,2.4765745537013966,0.1841274786221553,0.15666004663968383,2.4765745537013966,2.107128648004149,time_avg,0.293222378204653,0.07434764212810198,14,0.48325671869823295,strong
6,0.62,0.9,0.0006941882520914077,0.015731620155274868,0.02063086062825118,0.0018039913443119629,0.01616533853761528,0.021130972328890517,-0.00025119956720758365,0.015362156348096,0.020195073388160872,-0.0009358989407296445,-0.00080318218951928,tau,23,0.5364399227283639,0.12007176008901925,4.467661024795973,0.5364399227283639,0.7285531654428412,4.467661024795973,6.0676479207325995,time_avg,0.8072158415831313,0.12007176008901925,23,0.37880693002176785,strong
7,0.54,0.84,-0.0024837914144154637,0.01616659330786206,0.021376102968743666,-0.0027893950993364506,0.017208254811438648,0.023633494439735638,-0.002243674233406117,0.01534814498362331,0.019419213238982682,-0.004214281200752956,-0.0018601098278153375,tau,22,0.37015002697460625,0.2922467506437757,1.2665667835800443,0.37015002697460625,0.41893456065599743,1.2665667835800443,1.4334960430976478,time_avg,0.48996164703975054,0.2922467506437757,22,0.5633345531481102,strong
8,0.66,0.9,2.2887399172759614e-05,0.013774391316328547,0.018550900615095674,0.00024850075715221465,0.015540320688160136,0.021125867993917614,-8.328359281757217e-05,0.01294336572958427,0.017206324850793313,-0.003919543143124302,-0.0025969549585758665,tau,16,0.35023737882502554,0.33693931512896735,1.0394672366772284,0.35023737882502554,0.40517987388017673,1.0394672366772284,1.202530710092675,time_avg,0.5227998506544365,0.33693931512896735,16,0.5145975259787482,strong
9,0.48,0.9,-0.0010904814256355165,0.01689085575286299,0.0214844294908951,-0.004706892810645513,0.017490307058324106,0.02012343182949989,0.0006113592261338935,0.01660876102088129,0.02209591084735023,0.001972479017850342,-0.0008815460374428166,tau,16,0.29105786706411596,0.12948875842959828,2.2477462182353163,0.29105786706411596,0.2968270877814025,2.2477462182353163,2.2923000527708695,time_avg,0.4646839378666684,0.12948875842959828,16,0.45052446134723173,strong
