case_id,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.08652860029413531,0.22364714789828816,0.38689784827252705,0.08652860029413531,0.10300766336920011,0.38689784827252705,0.46058116250177566,time_avg,0.1072049143651905,0.22364714789828816,15,0.7244753964406905,medium,0.24430434026793005,0.23070679222784746,0.09083619013683267,0.1736975339436862,0.30173568069277046,0.11672704100856865,0.4162840087981569,0.12803814674908426,0.2995569677895883,0.33182082419127185,0.34540662104943254,0.09337444389484643,0.2685184953013313,0.40570673607192553,0.15569508277188607,0.46184581413204057,0.13718824077059422,0.30615073136015447,0.7573471945356386,0.7603023422685218,0.22041946649488497,0.6068380646061058,0.8922943142796043,0.40772771844328165,1.086223557658547,0.2854562496734985,0.6784958392152654,0.0,0.0,0.15777573997379474,0.14417819193371215,0.14417819193371215,0.02078735102927434,0.0,1.0,0.10817367629298369,0.12175947315114438,0.12175947315114438,0.01482536930204425,0.0,0.0,0.37044934626311155,0.37340449399599474,0.37340449399599474,0.13943091613640488
1,0.582976485596097,0.14226911838938677,4.097702243437722,0.582976485596097,0.5951667717624374,4.097702243437722,4.183386939486628,time_avg,0.7027206158528589,0.14226911838938677,11,0.7815374812542257,medium,0.6859333127146574,0.6865729819854474,0.022521748120893335,0.6701030460058108,0.7012289347866161,0.6485168341116911,0.7234398448663207,0.031125888780805244,0.0749230107546296,0.14296007792606774,0.1427128474929628,0.0058969474034876665,0.13891237947943338,0.14673320068753126,0.13385749433465122,0.1525620236831413,0.007820821208097878,0.018704529348490095,4.805480715526441,4.798623236434331,0.23952062926615378,4.636470798365012,4.9662156405074,4.420320735641234,5.212497818411702,0.32974484214238764,0.7921770827704675,0.0,0.0,0.10295682711856036,0.10359649638935031,0.10359649638935031,0.010732234064148673,1.0,1.0,0.0006909595366809684,0.00044372910357604045,0.00044372910357604045,1.9689551736039644e-07,0.0,0.0,0.7077784720887186,0.7009209929966085,0.7009209929966085,0.4912902384233517
2,0.39916676880789403,0.1006554263807258,3.965675603996341,0.39916676880789403,0.38738761900285495,3.965675603996341,3.8486511153166663,time_avg,0.5659011015845684,0.1006554263807258,11,0.6222626807056041,medium,0.5529763914560889,0.5525817571054754,0.017434946980938004,0.5417649454604176,0.5647112068805411,0.5243455547587654,0.581875953077023,0.02294626142012346,0.05753039831825757,0.1018415454813039,0.10174714608861532,0.004596800912573752,0.09872110375234094,0.10479561233346521,0.09441740402728661,0.10965208365845466,0.006074508581124266,0.01523467963116805,5.440668878922701,5.428155277066743,0.2974528801927024,5.234906082745693,5.627872870858818,4.976791425017578,5.952015021580955,0.39296678811312535,0.9752235965633771,0.0,0.0,0.15380962264819487,0.15341498829758138,0.15341498829758138,0.02353615863434703,1.0,1.0,0.0011861191005781008,0.0010917197078895158,0.0010917197078895158,1.1918519205943696e-06,0.0,0.0,1.4749932749263603,1.4624796730704022,1.4624796730704022,2.1388467941441105
3,0.10934720180379282,0.4580472037503408,0.23872474476100644,0.10934720180379282,0.13287521458701473,0.23872474476100644,0.2900906576856619,time_avg,0.13292615464543783,0.4580472037503408,20,0.7043602529472269,medium,0.2522148019533212,0.23087454276972097,0.11320361989628468,0.15959014879043945,0.32484001396086654,0.1066718348885829,0.4664102050102359,0.16524986517042708,0.359738370121653,0.3395210360121478,0.3586808276289309,0.11388247223295564,0.2585727863095697,0.437306768140038,0.12654429317463428,0.48870252625954075,0.1787339818304683,0.36215823308490647,0.7756277641901658,0.7627237316596921,0.27373481275357325,0.5796245509722201,0.9405698354486707,0.3629259707686007,1.240527898391691,0.3609452844764506,0.8776019276230902,0.0,1.0,0.14286760014952837,0.12152734096592815,0.12152734096592815,0.01476889460224896,0.0,1.0,-0.11852616773819302,-0.09936637612140992,0.09936637612140992,0.009873676703501503,0.0,0.0,0.5369030194291593,0.5239989868986856,0.5239989868986856,0.2745749382708489
4,0.6519697486862047,0.3380864936809888,1.9284111044713588,0.6519697486862047,0.7833318666495811,1.9284111044713588,2.3169569955927205,time_avg,0.7978302058102752,0.3380864936809888,22,0.6735331651892763,medium,0.7956275480840918,0.7973041985678057,0.03575398164455374,0.7724289240259131,0.820950650684162,0.7339320041827547,0.8520558339878255,0.04852172665824883,0.11812382980507075,0.3337315250748762,0.33297934259225986,0.01555922691964755,0.32292129619279497,0.34333983154190095,0.3099161762443823,0.36101312578837313,0.020418535349105982,0.051096949543990855,2.3860230013938843,2.380021409407566,0.09461297749025874,2.3196349329023023,2.4426634294372773,2.238295635069192,2.5526909490474847,0.12302849653497505,0.3143953139782929,0.0,0.0,0.14365779939788703,0.14533444988160094,0.14533444988160094,0.021122102322387575,1.0,1.0,-0.004354968606112619,-0.005107151088728945,0.005107151088728945,2.6082992243105248e-05,0.0,0.0,0.4576118969225256,0.451610304936207,0.451610304936207,0.2039518675245739
5,0.1495659771807537,0.4381957165889852,0.34132231676066843,0.1495659771807537,0.1615696780700818,0.34132231676066843,0.368715786014014,time_avg,0.16158609909810862,0.4381957165889852,26,0.8450242885933426,medium,0.24959709463744298,0.2319187084527169,0.10586555978225819,0.16605208923054385,0.3126925991117808,0.11042150607857505,0.4591944734463389,0.14664050988123697,0.34877296736776386,0.3417486964661807,0.3548416094802045,0.10140813755202237,0.2766262984050526,0.4250678748093341,0.146268509807678,0.4784395636009049,0.14844157640428152,0.33217105379322687,0.7515405062984711,0.7444395178098552,0.2484154184800381,0.5693468557323507,0.9103806895432567,0.3650338116786737,1.1619551982572898,0.341033833810906,0.796921386578616,0.0,1.0,0.10003111745668927,0.08235273127196319,0.08235273127196319,0.006781972347952183,0.0,1.0,-0.09644702012280448,-0.08335410710878072,0.08335410710878072,0.006947907171902088,0.0,0.0,0.4102181895378027,0.40311720104918675,0.40311720104918675,0.16250347778173044
6,0.765705023155122,0.41858843962137937,1.8292550645873444,0.765705023155122,0.8428577062491092,1.8292550645873444,2.0135713901021464,time_avg,0.8472431619927892,0.41858843962137937,24,0.8149243095918967,medium,0.8415349980996231,0.8481069035669182,0.04796830139536705,0.814972416395995,0.8748989432865684,0.7516873559495904,0.9079571362943454,0.05992652689057332,0.15626978034475503,0.42666203204335706,0.42667415319218455,0.02589693890359244,0.40900207947332495,0.44474597291939233,0.38272771766427616,0.4685446338529174,0.035743893446067376,0.08581691618864123,1.9741805742545393,1.9679369109644793,0.07658543421736043,1.9239012754061373,2.022411014956166,1.8574785081879814,2.105369215555671,0.09850973955002873,0.2478907073676897,0.0,1.0,0.07582997494450106,0.08240188041179619,0.08240188041179619,0.006790069895399961,1.0,1.0,0.008073592421977693,0.008085713570805175,0.008085713570805175,6.537876394910298e-05,0.0,0.0,0.14492550966719486,0.13868184637713488,0.13868184637713488,0.019232654514571238
7,0.1452594008590659,0.059983752692886874,2.421645768026304,0.1452594008590659,0.13282452713080903,2.421645768026304,2.2143417370177296,time_avg,0.1793979112856613,0.059983752692886874,17,0.711674369967952,medium,0.21532607010160357,0.21483868017051244,0.014704650676029126,0.20566352611450994,0.22442441178693,0.19227260023924117,0.24071341690083572,0.01876088567242007,0.048440816661594555,0.09580038639945623,0.09372509093867004,0.016810542563422064,0.08399741366483283,0.10499647710127386,0.07229412327290592,0.12763485323285192,0.02099906343644102,0.055340729959946,2.301686535471336,2.3143235317193325,0.34141590649121917,2.075700416909764,2.530977507315346,1.7240745875455188,2.8442574050860308,0.4552770904055823,1.120182817540512,0.0,0.0,0.07006666924253765,0.06957927931144653,0.06957927931144653,0.004841276109500291,0.0,0.0,0.03581663370656936,0.03374133824578317,0.03374133824578317,0.0011384779066163499,1.0,1.0,-0.11995923255496832,-0.10732223630697169,0.10732223630697169,0.011518062405929471
8,0.7060290236301519,0.19285175782348601,3.6609934573496,0.7060290236301519,0.8787994285216951,3.6609934573496,4.556865016112767,time_avg,0.9355674242729045,0.19285175782348601,17,0.6282625426065784,medium,0.9590178546999368,0.9674181746523276,0.03288685266940504,0.9467966024927166,0.9814245751744612,0.8978699274838764,0.9923515413423065,0.03462797268174467,0.09448161385843012,0.20218558388065014,0.20193405789318564,0.011011308473445945,0.19481643500175383,0.20900400804303676,0.18493437030379692,0.22057158440866348,0.01418757304128293,0.03563721410486656,4.757561760853855,4.739387548837979,0.31255070639105476,4.557623387098567,4.958950770435981,4.263336606223124,5.264158382748902,0.40132738333741447,1.000821776525778,0.0,0.0,0.252988831069785,0.26138915102217575,0.26138915102217575,0.0683242882720938,0.0,1.0,0.009333826057164124,0.009082300069699623,0.009082300069699623,8.248817455606577e-05,0.0,0.0,1.0965683035042555,1.0783940914883794,1.0783940914883794,1.162933816557047
9,0.5020402512425126,0.16469046328761228,3.0483869024386623,0.5020402512425126,0.5978915930882307,3.0483869024386623,3.6303959631474485,time_avg,0.6327956599466341,0.16469046328761228,24,0.6026320580839738,medium,0.6231823743028497,0.6233605267130515,0.017505728326407205,0.6112531388879874,0.6343929246654507,0.5947904511582208,0.6539209350952161,0.02313978577746334,0.05913048393699527,0.16442740336470954,0.1642564299475113,0.005963830985384286,0.1604856104406469,0.16813240683602051,0.1548143982622711,0.17447103672395797,0.007646796395373606,0.01965663846168686,3.794236863655404,3.7870371087579264,0.15710520041156714,3.687673888777975,3.890540939797818,3.5446848631223182,4.068365737265745,0.20286705101984293,0.5236808741434271,0.0,0.0,0.12114212306033711,0.12132027547053892,0.12132027547053892,0.014718609240247447,1.0,1.0,-0.0002630599229027364,-0.0004340333401009755,0.0004340333401009755,1.8838494031920907e-07,0.0,0.0,0.7458499612167415,0.7386502063192641,0.7386502063192641,0.5456041272954915
