case_id,true_beta,true_gamma,true_R0,beta0,gamma,tau,kappa,severity,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.10155303552756438,0.22364714789828816,0.4540770427072443,0.1072049143651905,0.22364714789828816,15,0.9246852378644143,mild,0.24468692245587326,0.2273481884852822,0.09514659240515422,0.1699595145609232,0.3052420687322413,0.1188126119562557,0.42752744435388557,0.1352825541713181,0.30871483239762987,0.32845838371247377,0.339387584577186,0.09459486115812407,0.2653327322015857,0.4036599873746855,0.15572857319510697,0.4618162729198491,0.1383272551730998,0.30608769972474215,0.7652665758816515,0.7715736879076474,0.22645557629128826,0.6088285492893903,0.9121459102773617,0.3843819442882726,1.1330456709274592,0.30331736098797135,0.7486637266391867,0.0,0.0,0.14313388692830886,0.12579515295771782,0.12579515295771782,0.01582442050765562,0.0,1.0,0.10481123581418561,0.11574043667889783,0.11574043667889783,0.013395848682621957,0.0,1.0,0.3111895331744072,0.31749664520040305,0.31749664520040305,0.10080411971351062
1,0.6802051249316726,0.14226911838938677,4.781115765896359,0.7027206158528589,0.14226911838938677,11,0.9589224887525355,mild,0.6852343661049113,0.6852669903890429,0.02238795371893489,0.6706713874346012,0.7003224313096336,0.647926889639541,0.7216172583026814,0.029651043875032368,0.07369036866314038,0.14260494243115232,0.14251462853184088,0.005835533296608513,0.1384306402400579,0.14639327613491598,0.13365788039993265,0.15277116041689637,0.007962635894858072,0.01911328001696372,4.812470677573274,4.811976205633479,0.23878436749896118,4.647590692538103,4.976793091454539,4.424146730903185,5.205865036440581,0.32920239891643543,0.781718305537396,1.0,1.0,0.005029241173238663,0.005061865457370307,0.005061865457370307,2.562248190851871e-05,1.0,1.0,0.0003358240417655478,0.0002455101424541084,0.0002455101424541084,6.02752300478366e-08,1.0,1.0,0.03135491167691562,0.03086043973712016,0.03086043973712016,0.000952366740768425
2,0.5055867592498005,0.1006554263807258,5.022945880110182,0.5659011015845684,0.1006554263807258,11,0.8633576084233624,mild,0.5570249981199028,0.5570145482887741,0.01715642022431501,0.5456477461722652,0.5683904900797785,0.528573750428284,0.5854390626978918,0.022742743907513296,0.05686531226960778,0.10192838321052589,0.1017034880089965,0.004428369290615934,0.09889886553121938,0.10488300561353975,0.09497710003116648,0.10935636849557297,0.005984140082320372,0.014379268464406486,5.47460425473483,5.460561035459669,0.28173915011567174,5.2827156092797205,5.656797276991411,5.033452711794817,5.9601588654083235,0.3740816677116907,0.9267061536135062,0.0,0.0,0.05143823887010235,0.051427789038973604,0.051427789038973604,0.0026448174854371734,1.0,1.0,0.0012729568298000815,0.0010480616282707023,0.0010480616282707023,1.0984331766534357e-06,0.0,0.0,0.45165837462464786,0.43761515534948714,0.43761515534948714,0.19150702419155577
3,0.12595679529130446,0.4580472037503408,0.2749864954092316,0.13292615464543783,0.4580472037503408,20,0.9126161517683362,mild,0.24837089794868097,0.22837127701067328,0.11214122268074526,0.15603393677510205,0.3197683261464713,0.10800844641712962,0.4662985983789789,0.16373438937136928,0.3582901519618493,0.33683641300963857,0.35747117360356795,0.11393069833254625,0.2545549099239095,0.4321469098577568,0.11922662500808733,0.4852626221149396,0.17759199993384728,0.36603599710685225,0.7735113360584812,0.7593976325141905,0.27585124178252685,0.5770925323322834,0.9425427572907892,0.3540887952644751,1.2665157024399107,0.36545022495850576,0.9124269071754356,0.0,1.0,0.12241410265737651,0.10241448171936882,0.10241448171936882,0.010488726065846929,0.0,1.0,-0.12121079074070223,-0.10057603014677285,0.10057603014677285,0.010115537840084562,0.0,0.0,0.4985248406492496,0.48441113710495887,0.48441113710495887,0.23465414975131926
4,0.7505245739086708,0.3380864936809888,2.2199188312350913,0.7978302058102752,0.3380864936809888,22,0.8941198991135657,mild,0.7951470849005722,0.7969464251765332,0.03551090962512178,0.7717759347519704,0.8206610949124136,0.7344109700622576,0.8501738918775675,0.0488851601604432,0.1157629218153099,0.3333818523634624,0.3323552290264378,0.015691259710482502,0.32254448926187124,0.3431347143388458,0.3098894140610711,0.36065089731114713,0.020590225076974555,0.05076148325007601,2.387037685055817,2.38431117648575,0.09124058543647173,2.324948599191515,2.4433714564033453,2.244587273844597,2.5453672579733984,0.11842285721183021,0.30077998412880147,0.0,1.0,0.0446225109919014,0.04642185126786247,0.04642185126786247,0.002154988275135544,1.0,1.0,-0.0047046413175264035,-0.005731264654550983,0.005731264654550983,3.2847394540505395e-05,0.0,0.0,0.16711885382072555,0.1643923452506586,0.1643923452506586,0.027024843177011735
5,0.16135454542873398,0.4381957165889852,0.36822483497728903,0.16158609909810862,0.4381957165889852,26,0.9970145731560056,mild,0.24862845627615113,0.23209526608446604,0.10508971250070845,0.16341720331515064,0.31697207222553814,0.11003237900642301,0.4455635723771858,0.1535548689103875,0.33553119337076276,0.34106992577247514,0.3570998036284817,0.10468415345769592,0.2723755621016556,0.4262796366539919,0.14126932771033168,0.4807232989910989,0.1539040745523363,0.3394539712807672,0.7550962557695788,0.7469110666294719,0.25113160171844306,0.5791907196895418,0.9217813326995603,0.35666905348047573,1.1755090473475653,0.3425906130100185,0.8188399938670896,0.0,1.0,0.08727391084741715,0.07074072065573206,0.07074072065573206,0.005004249558892317,0.0,1.0,-0.09712579081651007,-0.0810959129605035,0.0810959129605035,0.00657654709889756,0.0,1.0,0.3868714207922898,0.3786862316521829,0.3786862316521829,0.14340326204293075
6,0.8379712586714514,0.41858843962137937,2.0018977576863115,0.8472431619927892,0.41858843962137937,24,0.978954585755138,mild,0.8404378119655265,0.8468815805067591,0.0489594848359439,0.8114923307215931,0.8770237611436869,0.7481561896187147,0.907301180106147,0.06553143042209375,0.15914499048743236,0.42647530562036406,0.4269041403193393,0.02693386310629077,0.40783256658896444,0.4462730152637005,0.38119050752641886,0.46960721203634526,0.03844044867473606,0.08841670450992639,1.9726715764969198,1.9676895175568858,0.07743733804545838,1.9207012889696116,2.020324872289871,1.8559242792472779,2.109078469010732,0.09962358332025945,0.25315418976345394,1.0,1.0,0.00246655329407508,0.00891032183530771,0.00891032183530771,7.939383520876137e-05,1.0,1.0,0.007886865998984693,0.008315700697959949,0.008315700697959949,6.915087809805159e-05,1.0,1.0,-0.029226181189391687,-0.03420824012942569,0.03420824012942569,0.0011702036927524503
7,0.16957104096007242,0.059983752692886874,2.826949521285634,0.1793979112856613,0.059983752692886874,17,0.9170046219807712,mild,0.1868227901088071,0.18640399929148804,0.013716817446458798,0.1774699558672564,0.19550994015157977,0.16521329494607045,0.21003802643510458,0.01803998428432338,0.044824731489034125,0.0680937793776534,0.06435945749653658,0.013902944284680162,0.0584483684872134,0.07357763530607614,0.053991691218898075,0.09540814245275345,0.015129266818862737,0.04141645123385537,2.819969236816319,2.881726966734475,0.424428742648262,2.5760320412968793,3.1121539531325735,2.0353988842341897,3.418016341118878,0.5361219118356941,1.3826174568846885,0.0,1.0,0.017251749148734674,0.016832958331415626,0.016832958331415626,0.0002833484861871747,1.0,1.0,0.008110026684766528,0.00437570480364971,0.00437570480364971,1.9146792528683152e-05,1.0,1.0,-0.006980284469315201,0.054777445448841,0.054777445448841,0.0030005685299007516
8,0.8534170888890634,0.19285175782348601,4.425249209655542,0.9355674242729045,0.19285175782348601,17,0.866957525563947,mild,0.9590902143819915,0.9685046610189704,0.03323599976510803,0.9463948071756523,0.9818557110036319,0.8901015905085273,0.9922134773039138,0.03546090382797962,0.10211188679538652,0.20207275588719287,0.2017639872207758,0.011484166798158472,0.1951064366706518,0.20905927088703086,0.18374523987503505,0.22110947818781385,0.01395283421637905,0.0373642383127788,4.761948147507039,4.755010468611694,0.3262655271803853,4.550318674498825,4.940629572637791,4.2740959807716115,5.309529732968211,0.39031089813896624,1.0354337521965995,0.0,0.0,0.10567312549292807,0.11508757212990695,0.11508757212990695,0.013245149258756533,0.0,1.0,0.009220998063706853,0.008912229397289778,0.008912229397289778,7.942783282991613e-05,0.0,1.0,0.33669893785149707,0.32976125895615205,0.32976125895615205,0.10874248790834637
9,0.5839572516096636,0.16469046328761228,3.5457866834089344,0.6327956599466341,0.16469046328761228,24,0.8515792348503842,mild,0.6223028857640961,0.6221506178000102,0.0174438768053248,0.6109086068495608,0.6341425548986775,0.5935186460412525,0.6512103901387126,0.023233948049116715,0.05769174409746014,0.16396176939995682,0.1637541188077898,0.005894202361890703,0.16007354243500543,0.1676689837705152,0.154644596223093,0.17416490395699694,0.007595441335509767,0.019520307733903924,3.7996550119131727,3.798592136015582,0.15823576569080272,3.6899019396440558,3.9035046439498653,3.543038731925029,4.0646994076897345,0.21360270430580952,0.5216606757647053,0.0,0.0,0.038345634154432484,0.038193366190346634,0.038193366190346634,0.0014587332209499133,1.0,1.0,-0.0007286938876554516,-0.0009363444798224652,0.0009363444798224652,8.767409848940029e-07,0.0,1.0,0.25386832850423824,0.25280545260664766,0.25280545260664766,0.06391059686765198
