group,x,y,pearson_corr
pooled,eta,R0_err_median,0.25997547124890363
pooled,eta,gamma_err_median,-0.18785572794852337
pooled,eta,R0_covered90,0.3137736989286948
pooled,tau,R0_err_median,0.13921012266434307
pooled,tau,R0_covered90,0.30889713787505624
pooled,tau,gamma_err_median,-0.22848395070483984
mild,eta,R0_err_median,0.11582367567850489
mild,eta,gamma_err_median,0.0330934772493862
mild,eta,R0_covered90,0.19613274847964374
mild,tau,R0_err_median,0.09815990381797646
mild,tau,R0_covered90,0.15782396966397952
mild,tau,gamma_err_median,-0.12602422187747475
medium,eta,R0_err_median,0.12103142235921945
medium,eta,gamma_err_median,0.0004862246481925905
medium,eta,R0_covered90,0.21383585026400473
medium,tau,R0_err_median,0.16322475572185652
medium,tau,R0_covered90,0.41430844202647876
medium,tau,gamma_err_median,-0.22378673781815486
strong,eta,R0_err_median,0.09448799391012783
strong,eta,gamma_err_median,-0.015756685060883808
strong,eta,R0_covered90,0.13462870417170006
strong,tau,R0_err_median,0.17176070426995446
strong,tau,R0_covered90,0.35539141175364297
strong,tau,gamma_err_median,-0.3294161296175416
