case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,rho0,tau,eta,severity
0,0.72,0.92,-0.006257091725128703,0.012450524861342273,0.017485858270448025,-0.008966862009838223,0.01606555393896997,0.021737079061823417,-0.003547321440419182,0.008835495783714578,0.011790244813761473,-0.009946834248061944,-0.007230058155255393,fraction,25,0.4566771936963121,0.4127357396477173,1.1064638940308396,1.0,10,0.4120462784009355,strong
1,0.64,0.94,-0.00940915270257392,0.0134737677242083,0.018020701931639387,-0.0098014957018313,0.013247947699564975,0.017281396302043717,-0.00901680970331654,0.013699587748851627,0.018730849902492228,0.0014494536004485102,0.00045164004928665256,fraction,25,0.18295573780841445,0.14518482813557965,1.2601574156051814,1.0,22,0.33768235662275653,strong
2,0.6,0.92,-0.0040954654925735665,0.013475907734245993,0.01746198861449104,0.0011258560512214899,0.01445358040742576,0.01769126212006886,-0.009316787036368623,0.012498235061066225,0.017229664458260525,-0.0004615976618083349,-0.0019553453463595355,fraction,25,0.8345342860455536,0.4220421393580388,1.9773719451686735,1.0,21,0.39894065979301996,strong
3,0.6,0.98,-0.0017619513333193026,0.01223642948170891,0.015795757136850604,0.0016590001853182912,0.01604647081810981,0.019159839701836476,-0.005182902851956896,0.00842638814530801,0.011485313650600236,-0.00767452605123624,-0.007620082672801799,fraction,25,0.8501116962209567,0.4583619801192538,1.854673234459324,1.0,23,0.4247676485438003,strong
4,0.74,0.96,-0.005875484812549985,0.01083623206761331,0.015190204095575218,-0.007161831837147474,0.013932301085442305,0.018234762885774608,-0.004589137787952495,0.007740163049784314,0.011356849185845399,-0.0068779136999292095,-0.006192138035657991,fraction,25,0.8313285427499186,0.2983111229708836,2.7867835918108215,1.0,23,0.5099913968494753,strong
5,0.68,0.9,-0.008328922648979642,0.012691316263117187,0.018141219085990153,-0.005872541018761695,0.011462518838234246,0.016936956194281965,-0.01078530427919759,0.013920113688000129,0.01927037038369425,0.0023334141894122834,0.002457594849765883,fraction,25,0.3044680757056297,0.261330790078016,1.1650677503968658,1.0,24,0.392555769780542,strong
6,0.74,1.0,0.0008928227960132062,0.01824147399282083,0.020806634282498165,-0.004358755392022431,0.01427802390884608,0.017007735379547344,0.006144400984048844,0.022204924076795578,0.024011851190413235,0.00700411581086589,0.007926900167949497,fraction,25,0.1568127666068461,0.0640246415355364,2.4492564557321,1.0,10,0.5763440562021347,strong
7,0.54,0.94,-0.0051877929456532,0.015631466610357164,0.019046525167698527,-0.012252313503995537,0.017904334971681236,0.021706246576565755,0.0018767276126891374,0.013358598249033094,0.015949266487361554,-0.005756980089204201,-0.004545736722648143,fraction,25,0.6669035811787141,0.16329833899605328,4.08395814237175,1.0,26,0.5889413779556214,strong
8,0.8,0.98,-0.004324580824177246,0.008285857956798282,0.011565337587305444,-0.005273530095000751,0.00945797391992528,0.012241497065790268,-0.0033756315533537418,0.007113741993671283,0.010847110979653912,-0.001394386086136356,-0.0023442319262539967,fraction,25,0.3086158676379387,0.37311377693075043,0.8271360821265453,1.0,24,0.31731528170984646,strong
9,0.78,0.98,-0.005485992976609851,0.010349877637199825,0.014429132654046656,-0.007150447582826018,0.012174897929653525,0.016710384808786574,-0.003821538370393682,0.008524857344746124,0.011711651371110129,-0.004998733437676445,-0.0036500405849074005,fraction,25,0.36862410906447185,0.35114585092795686,1.0497749242667285,1.0,14,0.5367455664930518,strong
10,0.54,0.9,-0.0036322387616382914,0.02406078757310752,0.03499701761428489,-0.00016333082690835,0.036863063219934704,0.04713589399223997,-0.007101146696368232,0.011258511926280334,0.01509271285559523,-0.03204318113664474,-0.025604551293654368,fraction,25,0.9912574734229149,0.20883918757345377,4.746510867718569,1.0,11,0.5353419440463143,strong
11,0.6,0.94,-0.002080122474726522,0.01382836158722057,0.018227839609316402,0.00232526371255517,0.014392544161528348,0.017631619028204558,-0.006485508662008215,0.013264179012912792,0.01880516642016717,0.0011735473919626122,-0.0011283651486155566,fraction,25,0.6895324752588008,0.4188623152534029,1.646203179776744,1.0,20,0.3396333960907708,strong
