case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,rho0,tau,eta,severity
0,0.6,0.9,-0.003877513256156817,0.01509919342235662,0.020078800971283544,-0.0012816001253668219,0.014418750040931627,0.01892999599542526,-0.005099119435352109,0.01541940207243897,0.020597255990880824,0.0016672599954555625,0.001000652031507343,tau,16,0.5650614270108133,0.3255189204331112,1.735878904547191,1.0,16,0.5976049585255248,strong
1,0.8,0.98,-0.004383750495471759,0.009843042501161107,0.013438702316945902,-0.005357311577941088,0.011801681536978678,0.01469540987278725,-0.003554420684479367,0.008174572211390585,0.012267043106546452,-0.0024283667662407978,-0.003627109325588093,tau,23,0.5389384606581041,0.4773576545860584,1.1290034955560642,1.0,23,0.4430218778008199,strong
2,0.46,0.94,-0.009497967284405604,0.016983888399554416,0.020600281928431025,-0.008600265990632275,0.015002759095902244,0.018755357386330062,-0.01032661463250406,0.01881262314138719,0.022167421035945555,0.0034120636496154932,0.003809864045484947,tau,24,0.375080798071755,0.26891659508153753,1.394784869851664,1.0,24,0.5903706354428188,strong
3,0.78,0.92,-0.007257968606427312,0.011913768402300774,0.0173482752048351,-0.008535213525950288,0.012269867962459102,0.017686512306912493,-0.006854628105525319,0.011801315909619197,0.017240084883586373,-0.0004464274233261199,-0.0004685520528399049,tau,12,0.17702895941441005,0.19935498935306872,0.8880086723130965,1.0,12,0.44216322812316144,strong
4,0.68,0.94,-0.0037895085965283216,0.012860442567616702,0.017186483808033243,-0.011122929948297415,0.015106585300104185,0.019192554489716254,-0.0017211077024396032,0.012226915130248437,0.016576834050164815,-0.002615720439551439,-0.0028796701698557484,tau,11,0.5963382412155094,0.4148743603516578,1.437394783109851,1.0,11,0.4913369758649606,strong
5,0.64,0.98,-0.003092517256081919,0.010852375872127595,0.014575361532447038,-0.00036915841046720744,0.014585401280783117,0.017524433018573288,-0.00490808981982506,0.008363692266357248,0.012220124300551137,-0.005304308718022151,-0.006221709014425869,tau,20,0.8148099211254433,0.39274431095424056,2.0746574766308417,1.0,20,0.384061458957184,strong
6,0.7,0.98,-0.006668796176418254,0.01123180298072839,0.015348364567361,-0.002676361205521971,0.010794870380777866,0.013283252438329838,-0.007666904919142325,0.01134103613071602,0.01582258416886064,0.002539331730530803,0.0005461657499381545,tau,10,0.3611362233828389,0.49756590535856227,0.7258058068158676,1.0,10,0.3325196387477869,strong
7,0.72,0.96,-0.006385563438816462,0.010668877768621314,0.015539452948662085,-0.006321053206058288,0.011966423575628412,0.017425841663240235,-0.006461292842489101,0.009145671821265158,0.012979768605212065,-0.004446073058028169,-0.002820751754363254,tau,27,0.10605818902829224,0.27434968172210084,0.3865803246519622,1.0,27,0.5139701753888473,strong
8,0.38,0.82,-0.0013116855814587324,0.024107545100850985,0.03436572366934863,-0.017550667515024543,0.036439482510710754,0.04496363248231566,0.0038164139765094183,0.02021324907668474,0.03025740849420815,-0.014706223988107513,-0.016226233434026013,tau,12,0.878259734855593,0.12330948251018886,7.122402243339428,1.0,12,0.5942806231518856,strong
9,0.42,0.92,-0.005053777731955051,0.017105794036760925,0.022205047967489594,-0.011032091726645314,0.015013445634394884,0.020911605911614242,0.0032019892130934055,0.019995227544790224,0.023876313396582728,0.002964707484968486,0.00498178191039534,tau,29,0.5680310445921657,0.14831641668182327,3.829859548257142,1.0,29,0.4434398528415019,strong
10,0.26,0.48,-0.01881764117977582,0.04064560692408122,0.05015193343566739,-0.04803479053080082,0.049894498040278755,0.05667974880250785,0.025008082846761683,0.026772270249784923,0.038329494933614074,-0.018350253868893773,-0.023122227790493832,tau,30,0.8038212910639586,0.07123776024095313,11.283640703260884,1.0,30,0.3771779539768966,strong
11,0.72,0.98,-0.005185802283813245,0.010977124684141018,0.01351170098804261,-0.006313140251828979,0.012950269964575354,0.015682375746310834,-0.004551674676804396,0.009867230463896703,0.01212105453415792,-0.0035613212121529143,-0.0030830395006786505,tau,18,0.3238719434311089,0.31912832531902524,1.0148642966973915,1.0,18,0.5573978517100442,strong
12,0.5,0.96,-0.004153329705586657,0.017659257071791216,0.021412331385090952,-0.010150878914390449,0.021470066004743178,0.02510088328016374,0.0028872715395308383,0.013185698759195435,0.016033835891704616,-0.009067047388459124,-0.008284367245547743,tau,27,0.8181691861506857,0.14145428906121948,5.7839828794204555,1.0,27,0.48556880331764696,strong
13,0.48,0.9,-0.0022626015811692923,0.01649754369747825,0.01998483437735943,-0.0034824137513239225,0.018954508270745955,0.021766754942232944,-0.0009411383968351098,0.013835832076438237,0.017854852416930182,-0.0039119025253027614,-0.005118676194307718,tau,26,0.4084812812293266,0.2504221632829084,1.631170643501928,1.0,26,0.37550793101191476,strong
