metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6182,0.13421210410722606,0.62,0.359,0.84
pointwise_empirical_90,0.9274,0.05137739156123404,0.94,0.84,0.98
curve_bias_full,-0.000584466154734355,0.008834090843907022,-0.0035476911675505107,-0.006753842976511805,0.014765194261213756
curve_mae_full,0.015526019938871422,0.0068977112365835366,0.013972556366788923,0.008369828763105033,0.03020732327271252
curve_rmse_full,0.02028137091084508,0.008134968741666205,0.018519053602432625,0.012250329820594987,0.03789506830164474
curve_bias_first,-0.003108602498845539,0.0048437634545302035,-0.003423125771805644,-0.009201244497555307,0.006240008252265393
curve_mae_first,0.01601810588161334,0.004341446287480741,0.016282113562338052,0.008736706013427466,0.022381904795765874
curve_rmse_first,0.02031882442265768,0.005123075897267306,0.02040129861306593,0.012234937631214074,0.02756073263422566
curve_bias_second,0.0019396701893768292,0.015105480255667056,-0.0025800427598005626,-0.00889755444302864,0.023842239692807167
curve_mae_second,0.015033933996129506,0.011629756516148667,0.011494042192352935,0.006683854205723037,0.030240324079990354
curve_rmse_second,0.01932836695328901,0.011945839391984871,0.016659211482569478,0.009555424202090467,0.03594643672140563
second_minus_first_rmse,-0.000990457469368671,0.011098444030594326,-0.00327410633962736,-0.010319826286828147,0.012317807015465759
second_minus_first_mae,-0.0009841718854838287,0.010857490675602826,-0.002780170958722011,-0.009847560043352133,0.011884200799278894
