case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity
0,0.86,0.98,-0.003319399121683091,0.011209119244012982,0.014698191040821058,0.00013559216633439065,0.00896598701365292,0.010612901902165869,-0.006774390409700573,0.013452251474373043,0.017872883174237696,0.007259981272071827,0.004486264460720122,fraction,25,0.24477311957990025,0.33796092457181953,0.7242645577739977,0.24477311957990025,0.25631220174615077,0.7242645577739977,0.7584078013482954,time_avg,0.26104133230789256,0.33796092457181953,17,0.9055750790662072,mild
1,0.48,0.86,0.005222639967687428,0.020639708205126225,0.025914573767806686,-0.004757085731253028,0.018586426852270962,0.0232982526182665,0.015202365666627884,0.02269298955798149,0.028289957441990383,0.004991704823723884,0.004106562705710529,fraction,25,0.35602557806608603,0.09375293050568131,3.7974874614133936,0.35602557806608603,0.3506228348526525,3.7974874614133936,3.7398600018311448,time_avg,0.38426463760700225,0.09375293050568131,16,0.8919285703850962,mild
2,0.88,0.98,-0.0023208935904222017,0.008087382468311262,0.011954436745118709,-0.00206606183997792,0.00939507508319366,0.01452672831345186,-0.0025757253408664835,0.006779689853428863,0.008648195204390616,-0.005878533109061244,-0.002615385229764796,fraction,25,0.2680481335883664,0.42381710222092844,0.632461814739693,0.2680481335883664,0.27462833617074484,0.632461814739693,0.6479878578084984,time_avg,0.27537615462093723,0.42381710222092844,17,0.9596803790587983,mild
3,0.58,0.92,-0.0034197480451257432,0.014516681548120686,0.01918653958469208,-0.00842363491654396,0.0174093396961689,0.022470248283593452,0.0015841388262924738,0.011624023400072474,0.015209685879188223,-0.00726056240440523,-0.005785316296096426,fraction,25,0.4924990133121481,0.20865185201255343,2.3603864933943512,0.4924990133121481,0.4974557099213342,2.3603864933943512,2.3841423170852325,time_avg,0.5088133920563621,0.20865185201255343,20,0.946560700514454,mild
4,0.68,0.98,-0.007814865664477111,0.011557418855154537,0.015361303675696552,-0.008296858609537595,0.012269674160634167,0.017434499240584152,-0.007332872719416628,0.010845163549674908,0.012960614856711366,-0.004473884383872787,-0.0014245106109592592,fraction,25,0.1664624245393579,0.18700362221474154,0.8901561508161825,0.1664624245393579,0.17058472064012886,0.8901561508161825,0.9122000879974486,time_avg,0.18254132540300172,0.18700362221474154,20,0.8531939655477466,mild
5,0.46,0.9,0.004812231557443738,0.023553822180256246,0.02971452491286336,-0.01126462360844016,0.02060859290882945,0.025592605449531517,0.020889086723327635,0.026499051451683044,0.033330534467646396,0.007737929018114879,0.005890458542853593,fraction,25,0.2808989508748742,0.07434764212810198,3.778182371821309,0.2808989508748742,0.2772570887741353,3.778182371821309,3.729198140492709,time_avg,0.293222378204653,0.07434764212810198,14,0.9416283593491165,mild
6,0.54,0.86,0.002262742845341563,0.016894388115033507,0.02193873413227258,0.004925372004508972,0.018243997544050216,0.023065108590827693,-0.0003998863138258457,0.015544778686016798,0.020751310232041027,-0.002313798358786666,-0.0026992188580334184,fraction,25,0.7590071930467258,0.12007176008901925,6.321279812039153,0.7590071930467258,0.7931475600413892,6.321279812039153,6.6056128389669855,time_avg,0.8072158415831313,0.12007176008901925,23,0.889403465010884,mild
7,0.5,0.88,-0.0017302758991718293,0.016493217814713718,0.021362243726612093,-0.0018566234596073628,0.016267760898917915,0.02165490440774363,-0.0016039283387362956,0.01671867473050952,0.02106551753842855,-0.000589386869315079,0.0004509138315916053,fraction,25,0.4849315414756304,0.2922467506437757,1.6593222693063276,0.4849315414756304,0.48597982746321655,1.6593222693063276,1.662909258674993,time_avg,0.48996164703975054,0.2922467506437757,22,0.9816672765740551,mild
8,0.58,0.88,-0.004057245776057244,0.014267996307462455,0.01900204761123701,-0.0015798337385058404,0.016996561624109743,0.021678315245639408,-0.006534657813608647,0.011539430990815162,0.015881003587623625,-0.005797311658015784,-0.005457130633294581,fraction,25,0.5076193944287342,0.33693931512896735,1.5065602962789815,0.5076193944287342,0.5080700644604934,1.5065602962789815,1.5078978369325164,time_avg,0.5227998506544365,0.33693931512896735,16,0.9572987629893741,mild
9,0.5,0.92,0.0010610027378425001,0.017536099697463215,0.02131416662557616,-0.003436906198039651,0.018373713819310068,0.02273552978319329,0.005558911673724651,0.01669848557561636,0.01979098490129231,-0.0029445448819009797,-0.0016752282436937084,fraction,25,0.4410679180152591,0.12948875842959828,3.406225554746231,0.4410679180152591,0.44065260445816673,3.406225554746231,3.403018221830778,time_avg,0.4646839378666684,0.12948875842959828,16,0.9252622306736159,mild
10,0.6,0.96,-0.0025751349289203063,0.01488058666640427,0.019255290331289816,-0.00298365768045187,0.015912778116762637,0.02014404893984406,-0.0021666121773887426,0.013848395216045901,0.018323474119109985,-0.0018205748207340763,-0.0020643829007167356,fraction,25,0.7889747723977802,0.1551854573827073,5.084076727963413,0.7889747723977802,0.831765988136857,5.084076727963413,5.359819161956748,time_avg,0.8374964213564154,0.1551854573827073,27,0.874050989505828,mild
11,0.56,0.9,-0.0031344342685770245,0.014691293105715885,0.018904708728458553,-0.0052581879496574405,0.015540472902357579,0.020412426010095013,-0.0010106805874966086,0.013842113309074193,0.017265830087143524,-0.003146595922951488,-0.001698359593283386,fraction,25,0.6428050565965167,0.4142892524820762,1.551585161201658,0.6428050565965167,0.6427554693555433,1.551585161201658,1.5514654688836067,time_avg,0.6474256580029935,0.4142892524820762,10,0.9910788957979958,mild
12,0.56,0.94,-0.0045431988459313285,0.013819962036213837,0.018977070195084964,-0.008438801895827054,0.014409220796078443,0.020139709680705536,-0.0006475957960356027,0.013230703276349232,0.017738390015874045,-0.002401319664831491,-0.0011785175197292115,fraction,25,0.5689294842393253,0.2540985352126566,2.2390112708173815,0.5689294842393253,0.5818444486814287,2.2390112708173815,2.2898378701572586,time_avg,0.5994305981110294,0.2540985352126566,18,0.9204945650510318,mild
13,0.46,0.88,-0.0018029308784753085,0.016715335147455334,0.020775624486844793,-0.00927686819806695,0.016312905196100472,0.02082558992319797,0.005671006441116333,0.017117765098810196,0.020725538593425387,-0.00010005132977258455,0.0008048599027097245,fraction,25,0.3999510867572313,0.15368390653517353,2.6024266025909144,0.3999510867572313,0.40306450777522884,2.6024266025909144,2.622685204081403,time_avg,0.4130429568877796,0.15368390653517353,25,0.9366077067179954,mild
14,0.62,0.9,-0.003522082307608798,0.014412415289552883,0.01806667340176896,-0.007279629074037075,0.016749710030853748,0.020111636338560664,0.00023546445881947876,0.012075120548252017,0.015758536080418706,-0.004353100258141958,-0.004674589482601731,fraction,25,0.6913023235522036,0.184024715982677,3.75657323996239,0.6913023235522036,0.7120648996429224,3.75657323996239,3.869398172090927,time_avg,0.7246202710627209,0.184024715982677,18,0.9281564495720863,mild
15,0.62,0.96,-0.004069734750082717,0.013492437831591814,0.017549469186590786,-0.0018801828753203154,0.016353122340515256,0.019300956303128326,-0.006259286624845118,0.010631753322668374,0.01560259027363501,-0.0036983660294933156,-0.005721369017846882,fraction,25,0.8866647233605935,0.19389193396296361,4.57298405992464,0.8866647233605935,0.9028039001889456,4.57298405992464,4.656222060074945,time_avg,0.9051074483412495,0.19389193396296361,22,0.9636137814070442,mild
16,0.58,0.88,-0.007368426799075678,0.015126142950030043,0.020529337089395853,-0.006912262802943587,0.02021995491348207,0.023461238780262267,-0.007824590795207769,0.010032330986578018,0.01710197759195136,-0.0063592611883109065,-0.010187623926904052,fraction,25,0.7273824754427184,0.42179631479061813,1.724487507207821,0.7273824754427184,0.7390682251683471,1.724487507207821,1.7521922294063295,time_avg,0.740246937946567,0.42179631479061813,27,0.96222041402558,mild
17,0.84,1.0,-0.0027403463646442105,0.007366562037877884,0.009581020559905973,-0.0030250723101198675,0.008300679998937995,0.0101919366832483,-0.002455620419168554,0.006432444076817773,0.008928400561317775,-0.0012635361219305256,-0.0018682359221202215,fraction,25,0.29740716391092986,0.40585461416976637,0.7327923683196721,0.29740716391092986,0.3101572261912897,0.7327923683196721,0.7642077122266077,time_avg,0.3123512109611524,0.40585461416976637,22,0.9145647675837318,mild
18,0.6,0.96,-0.0013576921354979277,0.01256493397988379,0.015831136714042567,-0.0009739985689520836,0.013296158872544766,0.01597822491656736,-0.0017413857020437717,0.011833709087222815,0.01568266902771971,-0.0002955558888476477,-0.001462449785321951,fraction,25,0.4077904098966,0.2478963552731846,1.6450036526241394,0.4077904098966,0.4164935067485611,1.6450036526241394,1.6801114574257476,time_avg,0.43795130167305996,0.2478963552731846,26,0.8565247072884227,mild
19,0.58,0.96,-0.0032129761768737806,0.013132472823490388,0.016714920864593343,-0.002802905049175024,0.01611192548647523,0.019978279272102252,-0.0036230473045725377,0.010153020160505549,0.01263509067419483,-0.007343188597907422,-0.005958905325969682,fraction,25,0.7112063507714652,0.1610967732962836,4.414777131900954,0.7112063507714652,0.7240621704768533,4.414777131900954,4.4945789767320985,time_avg,0.7313359580150246,0.1610967732962836,19,0.9556057539609084,mild
20,0.5,0.94,0.0031127109564840793,0.015829255748540164,0.01936700560281082,-0.006424219571053982,0.016881779618561268,0.01973893123733904,0.01264964148402214,0.014776731878519057,0.01898779622932089,-0.0007511350080181486,-0.0021050477400422103,fraction,25,0.4418822058539373,0.10967194134528829,4.029127235586419,0.4418822058539373,0.44246166173880097,4.029127235586419,4.034410773725306,time_avg,0.4449378633814678,0.10967194134528829,22,0.9877364195132938,mild
21,0.52,0.92,0.0008068240364082158,0.01595733701484278,0.019326647900538594,0.0015116808656603098,0.014371810564771294,0.018196203751847124,0.00010196720715612173,0.017542863464914262,0.02039452885369138,0.0021983251018442562,0.0031710529001429677,fraction,25,0.3291080910057327,0.2100296851457668,1.566959883681785,0.3291080910057327,0.32454505896883157,1.566959883681785,1.5452342307878417,time_avg,0.3519870896761951,0.2100296851457668,15,0.9071435152777518,mild
22,0.74,0.94,-0.004708403163822368,0.009615328641375527,0.013597740384510715,-0.002619549548253417,0.007796191712841392,0.01028232732778486,-0.006797256779391319,0.011434465569909662,0.016250256362697665,0.005967929034912804,0.0036382738570682705,fraction,25,0.11952730116429101,0.37430596003658884,0.3193304780736248,0.11952730116429101,0.12332570133551435,0.3193304780736248,0.32947832656327225,time_avg,0.12342430858238262,0.37430596003658884,16,0.9535675481781275,mild
23,0.6,0.96,-0.005019536147592589,0.014065810322063044,0.01754650166664652,-0.002897296082228422,0.017194808404892684,0.020015604770065386,-0.007141776212956756,0.010936812239233405,0.014667481282203633,-0.0053481234878617525,-0.00625799616565928,fraction,25,0.4992329265820949,0.2986049005386757,1.6718845728301555,0.4992329265820949,0.5013206603118019,1.6718845728301555,1.678876198640518,time_avg,0.508324410180716,0.2986049005386757,21,0.9691634487586627,mild
24,0.7,0.94,-0.007100450923899188,0.012036000733496621,0.017057376363836654,-0.008866412166971713,0.013314952838700265,0.019405626669909453,-0.005334489680826664,0.010757048628292978,0.014329334610624661,-0.005076292059284792,-0.002557904210407287,fraction,25,0.23666504691932494,0.2545962562740742,0.9295700195393046,0.23666504691932494,0.23802492515005394,0.9295700195393046,0.9349113322931932,time_avg,0.24183304297356684,0.2545962562740742,18,0.9666092204131279,mild
25,0.62,0.98,0.010080801285803319,0.020032700933516025,0.024825011235828934,-4.492335021495819e-05,0.01769373841583729,0.02141864335524671,0.020206525921821594,0.022371663451194762,0.02781733420978386,0.006398690854537148,0.004677925035357473,fraction,25,0.21735226759783938,0.06153147514099945,3.5323753753632006,0.21735226759783938,0.21285945123742273,3.5323753753632006,3.459358820012929,time_avg,0.2269015028017225,0.06153147514099945,20,0.9298577056125559,mild
