metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6248,0.13505315077906746,0.62,0.378,0.84
pointwise_empirical_90,0.9144,0.07489143657807126,0.94,0.814,0.9809999999999999
curve_bias_full,-0.001529090554082154,0.005675962254629027,-0.003323097853699437,-0.006768209792458947,0.011766341013135386
curve_mae_full,0.015113256971560782,0.006130875667815253,0.013694500876772507,0.008190034567800467,0.026919475302333004
curve_rmse_full,0.019968328611506044,0.007387529266268723,0.018391691527160553,0.01245348971786402,0.034468845921144305
curve_bias_first,-0.0034836752291357697,0.005177211645938417,-0.003978837188333273,-0.010158935224637388,0.00472236087429337
curve_mae_first,0.016528320307672036,0.00556139871717314,0.016579699125140908,0.008731365097046364,0.024756782853510222
curve_rmse_first,0.021107472817360633,0.007011783493035468,0.020253148243629983,0.012152848088290905,0.03038191521938475
curve_bias_second,0.00042549412097146153,0.009295802119740175,-0.002484100811416283,-0.007980314061853278,0.020875597000122068
curve_mae_second,0.013698193635449522,0.008136312506529396,0.011344236090262711,0.0065774898933741496,0.030489126577973362
curve_rmse_second,0.01811871261789038,0.009158610690367972,0.015731040754136106,0.00928805000712898,0.035593707958656365
second_minus_first_rmse,-0.0029887601994702463,0.007427881266944551,-0.003889938161310184,-0.012587480727299753,0.00753252820938397
second_minus_first_mae,-0.002830126672222514,0.006626230298874844,-0.0035586028311809063,-0.010401613086229191,0.005983987831044939
