case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,tau_used,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity
0,0.82,0.98,-0.004014215184142813,0.01133701145532541,0.014938663094520596,0.0015120925826897077,0.0072807104785597935,0.008096517399978236,-0.006861101003420173,0.013426621049416788,0.01744582233089754,0.009349304930919306,0.006145910570856995,tau,17,17,0.24477311957990025,0.33796092457181953,0.7242645577739977,0.24477311957990025,0.25631220174615077,0.7242645577739977,0.7584078013482954,time_avg,0.26104133230789256,0.33796092457181953,17,0.9055750790662072,mild
1,0.46,0.86,0.004623946459032595,0.01939630988519639,0.024283206969918963,-0.007210566473077051,0.018312214509933256,0.021746622834592468,0.010193129015319487,0.01990647241473198,0.02538935474114377,0.0036427319065513025,0.0015942579047987238,tau,16,16,0.35602557806608603,0.09375293050568131,3.7974874614133936,0.35602557806608603,0.3506228348526525,3.7974874614133936,3.7398600018311448,time_avg,0.38426463760700225,0.09375293050568131,16,0.8919285703850962,mild
2,0.84,0.98,-0.0031006574239290786,0.007741104707092745,0.01209217090299459,-0.003682645542807329,0.00982492379946908,0.01643151164994679,-0.0028008453626887676,0.0066676221443534205,0.009080652226978235,-0.0073508594229685555,-0.00315730165511566,tau,17,17,0.2680481335883664,0.42381710222092844,0.632461814739693,0.2680481335883664,0.27462833617074484,0.632461814739693,0.6479878578084984,time_avg,0.27537615462093723,0.42381710222092844,17,0.9596803790587983,mild
3,0.58,0.92,-0.0038804450874158646,0.014628846248524497,0.01940192953990872,-0.0076852584257721904,0.01608582935295999,0.021002141076526263,-0.0013439028618449811,0.013657524178900834,0.01825736828206893,-0.0027447727944573327,-0.0024283051740591564,tau,20,20,0.4924990133121481,0.20865185201255343,2.3603864933943512,0.4924990133121481,0.4974557099213342,2.3603864933943512,2.3841423170852325,time_avg,0.5088133920563621,0.20865185201255343,20,0.946560700514454,mild
4,0.78,0.98,-0.005987062162312214,0.011213741885439958,0.01477710703118463,-0.006938545466255164,0.013122764029685641,0.018029799555597775,-0.00535273995968358,0.009941060455942837,0.012133522668285079,-0.005896276887312696,-0.0031817035737428043,tau,20,20,0.1664624245393579,0.18700362221474154,0.8901561508161825,0.1664624245393579,0.17058472064012886,0.8901561508161825,0.9122000879974486,time_avg,0.18254132540300172,0.18700362221474154,20,0.8531939655477466,mild
5,0.42,0.86,0.006002129325643182,0.025064303940162062,0.03148830952974996,-0.006892729517338532,0.020521990655522262,0.024989399219565403,0.011016796653469404,0.026830759106410876,0.03367866981781218,0.008689270598246777,0.006308768450888614,tau,14,14,0.2808989508748742,0.07434764212810198,3.778182371821309,0.2808989508748742,0.2772570887741353,3.778182371821309,3.729198140492709,time_avg,0.293222378204653,0.07434764212810198,14,0.9416283593491165,mild
6,0.6,0.9,0.0010677190124988556,0.016123765874654056,0.021069217059579384,0.0023323274420007415,0.017587332500387794,0.02225979017136537,-9.540020039787999e-06,0.014877023934214204,0.01999919945647789,-0.0022605907148874824,-0.0027103085661735905,tau,23,23,0.7590071930467258,0.12007176008901925,6.321279812039153,0.7590071930467258,0.7931475600413892,6.321279812039153,6.6056128389669855,time_avg,0.8072158415831313,0.12007176008901925,23,0.889403465010884,mild
7,0.52,0.88,-0.002224531420506537,0.016924428869970143,0.021820785387315432,-0.002646308159455657,0.016033115098252892,0.021927760549321416,-0.0018931354113322283,0.017624746833462268,0.02173636413805515,-0.00019139641126626403,0.0015916317352093756,tau,22,22,0.4849315414756304,0.2922467506437757,1.6593222693063276,0.4849315414756304,0.48597982746321655,1.6593222693063276,1.662909258674993,time_avg,0.48996164703975054,0.2922467506437757,22,0.9816672765740551,mild
8,0.58,0.92,-0.004838002737378702,0.014781978126848117,0.019501921943631102,-0.001618608832359314,0.014815548667684197,0.02022705752353772,-0.006353011633858413,0.014766180225278196,0.01915118355873013,-0.0010758739648075895,-4.9368442406001745e-05,tau,16,16,0.5076193944287342,0.33693931512896735,1.5065602962789815,0.5076193944287342,0.5080700644604934,1.5065602962789815,1.5078978369325164,time_avg,0.5227998506544365,0.33693931512896735,16,0.9572987629893741,mild
9,0.54,0.88,0.0001872952049598098,0.017050918485037984,0.020878248992175528,-0.006037701576133259,0.017094559836550616,0.019470490433232745,0.0031167054548859596,0.0170303813784438,0.02150886553575347,0.0020383751025207265,-6.417845810681444e-05,tau,16,16,0.4410679180152591,0.12948875842959828,3.406225554746231,0.4410679180152591,0.44065260445816673,3.406225554746231,3.403018221830778,time_avg,0.4646839378666684,0.12948875842959828,16,0.9252622306736159,mild
