metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6214,0.12352581213101277,0.62,0.42,0.84
pointwise_empirical_90,0.932,0.036514837167011066,0.94,0.86,0.98
curve_bias_full,-0.001032842916378263,0.007916365688685064,-0.0035834643436101037,-0.00698956371350505,0.010454176065744827
curve_mae_full,0.015125236952772798,0.005632645151903429,0.014008877557498635,0.008155505519338477,0.024120672221528364
curve_rmse_full,0.019663568189810143,0.006423152654214629,0.01840591547934005,0.01221881645674887,0.029213831245501302
curve_bias_first,-0.003942661063620817,0.004492378178838246,-0.004074381909083092,-0.011327475907291747,0.0035556889914479797
curve_mae_first,0.015420763055930169,0.0035472761291293737,0.015983470840313072,0.008967095003445138,0.020528134545089588
curve_rmse_first,0.019288606912703364,0.0039727416639628735,0.019814253109469937,0.012149171260360327,0.024795437794754644
curve_bias_second,0.000985846486409478,0.012684545506912098,-0.0031655531858585818,-0.008708207779510185,0.02076375139256318
curve_mae_second,0.014948746589416648,0.009092856183312703,0.012901092646164838,0.007767050145384653,0.026783325448336583
curve_rmse_second,0.01931677634407174,0.009285730961691704,0.017410152897671966,0.011788657020960314,0.032098524917747805
second_minus_first_rmse,2.8169431368379114e-05,0.009333511962841613,-0.0011779155712022503,-0.009573839107261603,0.011362359401736037
second_minus_first_mae,-0.0004720164665135177,0.009018718512442804,-0.0021666031103771835,-0.009675800170770318,0.009137211264064733
