metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6218,0.13633277765316112,0.62,0.399,0.8409999999999999
pointwise_empirical_90,0.9127999999999998,0.07603933059923527,0.92,0.816,0.98
curve_bias_full,-0.0013868183015569226,0.005757048006571285,-0.0033804197701101657,-0.006356402002784307,0.011933983309892933
curve_mae_full,0.01511031551518863,0.006106606091691816,0.01366458995494213,0.008220798879425274,0.026655965929618098
curve_rmse_full,0.01992590424489818,0.007357417471848212,0.01826306221010309,0.012375600049308218,0.03415502917480854
curve_bias_first,-0.005188988550698382,0.004578507455412805,-0.005267685825148454,-0.01205262087025474,0.0030509766206658798
curve_mae_first,0.0158890875402259,0.003734332878760517,0.016352303580410458,0.008795274069350191,0.021799756426116798
curve_rmse_first,0.01996285627775658,0.004410162036386475,0.020076535482711336,0.011979735819347992,0.026441741918341394
curve_bias_second,0.0009080713331925432,0.009227841483467683,-0.001967187191687778,-0.008069653167173396,0.022169205524825614
curve_mae_second,0.014396085373343892,0.008358486932408378,0.01174501911771371,0.007455034345333512,0.029868588564651338
curve_rmse_second,0.019075160632615166,0.009589059459536425,0.016879570209388822,0.010564640798102048,0.03785985332632253
second_minus_first_rmse,-0.0008876956451414144,0.009147870320579895,-0.002484084027389928,-0.011328133045313748,0.01751586564062937
second_minus_first_mae,-0.0014930021668820028,0.007787800364828433,-0.0029133318798768406,-0.01041541950457435,0.01414642675827492
