case_id,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.08652860029413531,0.22364714789828816,0.38689784827252705,0.08652860029413531,0.10300766336920011,0.38689784827252705,0.46058116250177566,time_avg,0.1072049143651905,0.22364714789828816,15,0.7244753964406905,medium,0.22924827359206207,0.20353387850764698,0.10018546228929924,0.1515132652099144,0.2832748237839714,0.11294305180839474,0.4227545579367676,0.131761558574057,0.3098115061283728,0.311983940638449,0.32636223677666903,0.11548558628511843,0.21684640823076815,0.40843516500568106,0.11316551295581163,0.4783672895300037,0.1915887567749129,0.36520177657419206,0.7909655590687659,0.7626770797111289,0.29263795689107536,0.5836606112895045,0.9575695761666061,0.35826015238694076,1.3411681034587688,0.37390896487710157,0.982907951071828,0.0,0.0,0.14271967329792676,0.11700527821351167,0.11700527821351167,0.013690235129821269,1.0,1.0,0.08833679274016082,0.10271508887838088,0.10271508887838088,0.010550389483293683,0.0,1.0,0.4040677107962388,0.3757792314386018,0.3757792314386018,0.14121003078058628
1,0.582976485596097,0.14226911838938677,4.097702243437722,0.582976485596097,0.5951667717624374,4.097702243437722,4.183386939486628,time_avg,0.7027206158528589,0.14226911838938677,11,0.7815374812542257,medium,0.690934323501845,0.6913486620299591,0.018610662881945027,0.6785930360411695,0.703889889903627,0.659834769756867,0.7207233738665138,0.025296853862457502,0.060888604109646804,0.14190077179996338,0.14152075794245567,0.006351620788416177,0.13751818292952744,0.1461177721672985,0.13207560225374215,0.1527046165390295,0.008599589237771044,0.02062901428528735,4.877844208690888,4.874614571082573,0.23447092391001836,4.721194105068446,5.030477185499217,4.496332108704269,5.260335648854746,0.30928308043077113,0.764003540150477,0.0,0.0,0.10795783790574798,0.1083721764338621,0.1083721764338621,0.011744528625012136,1.0,1.0,-0.0003683465894233906,-0.0007483604469311067,0.0007483604469311067,5.600433585309257e-07,0.0,0.0,0.7801419652531658,0.7769123276448502,0.7769123276448502,0.603592764846539
2,0.39916676880789403,0.1006554263807258,3.965675603996341,0.39916676880789403,0.38738761900285495,3.965675603996341,3.8486511153166663,time_avg,0.5659011015845684,0.1006554263807258,11,0.6222626807056041,medium,0.5510296886733302,0.5506306624683908,0.016481250474734668,0.5398512495184322,0.5619564418595915,0.5250114383087688,0.5782318401579721,0.022105192341159263,0.05322040184920329,0.10024941709455425,0.10016085091058004,0.0049670895434926685,0.09670595502830624,0.10342252670636998,0.09255356077975935,0.10871070511672287,0.006716571678063735,0.016157144336963525,5.508998104360598,5.497696843606116,0.30006191622115624,5.300538554665758,5.7037238563425,5.04163484235253,6.030478916616934,0.40318530167674194,0.9888440742644038,0.0,0.0,0.1518629198654362,0.15146389366049673,0.15146389366049673,0.02294131108279826,1.0,1.0,-0.0004060092861715575,-0.0004945754701457666,0.0004945754701457666,2.446048956699061e-07,0.0,0.0,1.5433225003642566,1.532021239609775,1.532021239609775,2.3470890786154714
3,0.10934720180379282,0.4580472037503408,0.23872474476100644,0.10934720180379282,0.13287521458701473,0.23872474476100644,0.2900906576856619,time_avg,0.13292615464543783,0.4580472037503408,20,0.7043602529472269,medium,0.20686512886089325,0.15617111620542307,0.1258224810516336,0.11648567211651256,0.25677839605753405,0.10103548472477118,0.4982130096209804,0.1402927239410215,0.3971775248962092,0.29361774837698623,0.2988239200717048,0.1353512856696229,0.17463070210313114,0.41694306427851724,0.07903402489897961,0.4906950489092672,0.2423123621753861,0.4116610240102876,0.7836055993113822,0.72355852934069,0.36010279668007106,0.5011743741154684,1.014345023177477,0.3071462290549588,1.4785933661409585,0.5131706490620087,1.1714471370859996,0.0,1.0,0.09751792705710044,0.04682391440163025,0.04682391440163025,0.002192478959891197,0.0,1.0,-0.16442945537335457,-0.15922328367863603,0.15922328367863603,0.025352054065407404,0.0,0.0,0.5448808545503757,0.4848337845796835,0.4848337845796835,0.23506379866985896
4,0.6519697486862047,0.3380864936809888,1.9284111044713588,0.6519697486862047,0.7833318666495811,1.9284111044713588,2.3169569955927205,time_avg,0.7978302058102752,0.3380864936809888,22,0.6735331651892763,medium,0.7930071989710938,0.794306039747493,0.02546839961990199,0.7764390815764517,0.8106850438796726,0.7492306709482786,0.8317797371150148,0.034245962303220856,0.0825490661667363,0.33396843919090047,0.3339631236913536,0.013363393325305704,0.3251398225451231,0.3430453200850263,0.3117446543277216,0.3556836441413819,0.017905497539903226,0.043938989813660345,2.376849893417883,2.3718993473447965,0.08970999086501912,2.3150470332280255,2.432016595829138,2.240101699037738,2.529879924038851,0.11696956260111246,0.28977822500111294,0.0,0.0,0.14103745028488912,0.1423362910612883,0.1423362910612883,0.020259619753083782,1.0,1.0,-0.004118054490088341,-0.004123369989635195,0.004123369989635195,1.700218007142415e-05,0.0,0.0,0.44843878894652445,0.4434882428734377,0.4434882428734377,0.19668182156696926
5,0.1495659771807537,0.4381957165889852,0.34132231676066843,0.1495659771807537,0.1615696780700818,0.34132231676066843,0.368715786014014,time_avg,0.16158609909810862,0.4381957165889852,26,0.8450242885933426,medium,0.22180455573799987,0.17828082257587433,0.12496289748707916,0.12831805785447847,0.2728086247145736,0.1031169043023272,0.4883616243585626,0.14449056686009515,0.38524472005623545,0.3152438794304014,0.32955063877370105,0.1275796008785022,0.20716607581662638,0.4287210836120284,0.09699085125163921,0.48975860543348765,0.221555007795402,0.39276775418184845,0.7580041994929654,0.6993002167308993,0.3293943184116286,0.498152814606833,0.962632417893847,0.3297573343574806,1.3723090008777818,0.464479603287014,1.0425516665203012,1.0,1.0,0.07223857855724616,0.02871484539512062,0.02871484539512062,0.0008245423460656799,0.0,1.0,-0.12295183715858382,-0.10864507781528415,0.10864507781528415,0.01180375293348915,0.0,1.0,0.41668188273229695,0.35797789997023083,0.35797789997023083,0.1281481768670966
6,0.765705023155122,0.41858843962137937,1.8292550645873444,0.765705023155122,0.8428577062491092,1.8292550645873444,2.0135713901021464,time_avg,0.8472431619927892,0.41858843962137937,24,0.8149243095918967,medium,0.847769838528484,0.8540698127159516,0.04093029919645383,0.8236366490901621,0.8775881636443553,0.7707641812906967,0.902563093816171,0.053951514554193225,0.13179891252547427,0.44138329671979376,0.4429544190221707,0.022356163768049837,0.42732057697339376,0.4573255136046845,0.40258305363647906,0.4760495953053001,0.030004936631290724,0.07346654166882105,1.9223182153707157,1.916349687587273,0.07406255757192357,1.8730812867521438,1.9655155460276312,1.8147787160392375,2.0487729106032444,0.09243425927548743,0.23399419456400694,0.0,0.0,0.08206481537336197,0.0883647895608296,0.0883647895608296,0.007808336034129701,0.0,1.0,0.02279485709841439,0.024365979400791327,0.024365979400791327,0.0005937009521597873,0.0,1.0,0.09306315078337124,0.08709462299992854,0.08709462299992854,0.0075854733554996815
7,0.1452594008590659,0.059983752692886874,2.421645768026304,0.1452594008590659,0.13282452713080903,2.421645768026304,2.2143417370177296,time_avg,0.1793979112856613,0.059983752692886874,17,0.711674369967952,medium,0.2103014032138854,0.20952875647657898,0.01396358358041879,0.20059000762746854,0.21908581819032563,0.1888426380084806,0.23431641296052474,0.018495810562857096,0.04547377495204413,0.08377411206368209,0.08095625108129081,0.0163416189500607,0.07215005695733741,0.09247282613828678,0.06261184979244129,0.11443010037666743,0.02032276918094937,0.051818250584226136,2.5816710872821145,2.6057604039836892,0.39676943456289093,2.3340133975083424,2.866667365138727,1.891449321820388,3.1836017108375096,0.5326539676303845,1.2921523890171216,0.0,0.0,0.0650420023548195,0.06426935561751307,0.06426935561751307,0.004130550071490359,0.0,0.0,0.02379035937079521,0.02097249838840394,0.02097249838840394,0.00043984568865160586,1.0,1.0,0.16002531925581032,0.1841146359573851,0.1841146359573851,0.03389819917372044
8,0.7060290236301519,0.19285175782348601,3.6609934573496,0.7060290236301519,0.8787994285216951,3.6609934573496,4.556865016112767,time_avg,0.9355674242729045,0.19285175782348601,17,0.6282625426065784,medium,0.9481649769937287,0.9598646991813893,0.04110405894718463,0.9344364553496125,0.9746041626222987,0.8693528472340021,0.9882338319213625,0.04016770727268615,0.11888098468736041,0.1989491506398803,0.19910608688567752,0.009120999813561487,0.19287891936565532,0.20489723369419371,0.1838926185982537,0.21404872945448217,0.012018314328538393,0.030156110856228463,4.774618739773838,4.772735332986211,0.2839869115678098,4.607941703027343,4.948070462727724,4.3124784967464596,5.234672159702305,0.3401287597003808,0.9221936629558458,0.0,0.0,0.24213595336357685,0.2538356755512374,0.2538356755512374,0.06443255018255307,0.0,1.0,0.0060973928163942925,0.006254329062191505,0.006254329062191505,3.9116632018173266e-05,0.0,0.0,1.113625282424238,1.111741875636611,1.111741875636611,1.23596999804401
9,0.5020402512425126,0.16469046328761228,3.0483869024386623,0.5020402512425126,0.5978915930882307,3.0483869024386623,3.6303959631474485,time_avg,0.6327956599466341,0.16469046328761228,24,0.6026320580839738,medium,0.6226260625712057,0.6227657964186408,0.015721144331747712,0.6116593603028431,0.6334386286317137,0.5969144309701682,0.6490251321861517,0.02177926832887067,0.05211070121598349,0.1619106250748967,0.161985339221639,0.006424234174028188,0.15740183090533033,0.1661776665230705,0.15173719495308358,0.1727560105782114,0.008775835617740174,0.021018815625127835,3.850639023247061,3.8405244185603706,0.1610464262569418,3.7387715697770547,3.952948119414848,3.5949558834880717,4.128545990240544,0.2141765496377932,0.533590106752472,0.0,0.0,0.12058581132869306,0.12072554517612821,0.12072554517612821,0.014574657258073375,1.0,1.0,-0.002779838212715574,-0.0027051240659732856,0.0027051240659732856,7.317696212307841e-06,0.0,0.0,0.8022521208083986,0.7921375161217084,0.7921375161217084,0.6274818444474698
