case_id,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.10155303552756438,0.22364714789828816,0.4540770427072443,0.10155303552756438,0.1059155294578794,0.4540770427072443,0.4735831887561044,time_avg,0.1072049143651905,0.22364714789828816,15,0.9246852378644143,mild,0.2274852903237063,0.20332932543155463,0.09968884710569792,0.1534225330535241,0.27794629138109517,0.11273004541605074,0.428095674694123,0.12452375832757107,0.31536562927807227,0.30928607963910887,0.3186615794447819,0.11512354509380213,0.22099409366123335,0.40677459565820473,0.1112244774249412,0.47592155441333034,0.18578050199697138,0.36469707698838916,0.794518539985386,0.7643733791331648,0.29763343003893566,0.5781550671211915,0.9669178205338258,0.35907263671991874,1.3527613438281927,0.38876275341263433,0.993688707108274,0.0,0.0,0.1259322547961419,0.10177628990399025,0.10177628990399025,0.010358413186621068,1.0,1.0,0.08563893174082071,0.09501443154649375,0.09501443154649375,0.009027742202103346,0.0,1.0,0.3404414972781417,0.3102963364259205,0.3102963364259205,0.09628381639934805
1,0.6802051249316726,0.14226911838938677,4.781115765896359,0.6802051249316726,0.682432498369343,4.781115765896359,4.796771822972457,time_avg,0.7027206158528589,0.14226911838938677,11,0.9589224887525355,mild,0.6899263893141317,0.6901156944778419,0.0196263570614661,0.6770326888984292,0.7033506558873834,0.6566882583686527,0.7216326583019065,0.026317966988954278,0.06494439993325374,0.14091246033655028,0.14068154489649345,0.006271838230523988,0.13674494951646896,0.14483636093248517,0.13094746604787894,0.15150435927562642,0.008091411416016214,0.02055689322774748,4.904520756715509,4.890970776263085,0.23392681324871198,4.74019721589919,5.05450113902223,4.542965702612114,5.3204584174707055,0.31430392312304,0.7774927148585915,1.0,1.0,0.009721264382459127,0.009910569546169312,0.009910569546169312,9.82193887294586e-05,1.0,1.0,-0.0013566580528364958,-0.0015875734928933183,0.0015875734928933183,2.520389595337491e-06,1.0,1.0,0.12340499081915013,0.10985501036672662,0.10985501036672662,0.012068123302673614
2,0.5055867592498005,0.1006554263807258,5.022945880110182,0.5055867592498005,0.5010642588272192,5.022945880110182,4.978015362350762,time_avg,0.5659011015845684,0.1006554263807258,11,0.8633576084233624,mild,0.5532249077547577,0.5536083671765641,0.015973090052042057,0.5421039986647715,0.5642870531752967,0.5270276834090075,0.5790471580707199,0.022183054510525158,0.05201947466171242,0.09961300243556884,0.09939178359268248,0.004764041668694035,0.09635677665128498,0.10264277187791146,0.09207024585216002,0.10774212014707646,0.006285995226626484,0.01567187429491644,5.5657118457388925,5.553765501849872,0.29834809734055734,5.364188400340971,5.7651560022471635,5.091830874513634,6.0705101913608255,0.4009676019061921,0.9786793168471917,0.0,0.0,0.04763814850495729,0.04802160792676369,0.04802160792676369,0.002306074827871813,1.0,1.0,-0.0010424239451569672,-0.0012636427880433204,0.0012636427880433204,1.596793095773896e-06,0.0,0.0,0.5427659656287105,0.5308196217396901,0.5308196217396901,0.28176947082386766
3,0.12595679529130446,0.4580472037503408,0.2749864954092316,0.12595679529130446,0.1329099076200456,0.2749864954092316,0.2901663988598177,time_avg,0.13292615464543783,0.4580472037503408,20,0.9126161517683362,mild,0.2079186712423743,0.1582689585404427,0.127667604010288,0.11604871990785859,0.25225637610233187,0.10126833425902312,0.4921954607328521,0.13620765619447328,0.390927126473829,0.29587667449066835,0.3063401060386354,0.13653082875306644,0.17167148628869405,0.4208286959848244,0.07955903451237807,0.49028185525802226,0.24915720969613037,0.4107228207456442,0.7843101965150899,0.7194131191415307,0.36725586728475973,0.5038325274342624,1.001760479846094,0.30283841910930237,1.4853528818585693,0.4979279524118315,1.182514462749267,1.0,1.0,0.08196187595106982,0.03231216324913824,0.03231216324913824,0.00104407589383896,0.0,1.0,-0.16217052925967246,-0.15170709771170543,0.15170709771170543,0.023015043496108938,0.0,0.0,0.5093237011058583,0.44442662373229913,0.44442662373229913,0.19751502388209058
4,0.7505245739086708,0.3380864936809888,2.2199188312350913,0.7505245739086708,0.7927708328483408,2.2199188312350913,2.3448757867162313,time_avg,0.7978302058102752,0.3380864936809888,22,0.8941198991135657,mild,0.7918728952781405,0.793034187788505,0.02523951936139411,0.7745988713969354,0.8093201505114177,0.7484523756989925,0.8309982636690142,0.034721279114482306,0.08254588797002171,0.3329409768615319,0.3328584954165587,0.013296249617753022,0.32392861689124397,0.34162702192334643,0.311308020905433,0.35461626175105215,0.01769840503210246,0.04330824084561913,2.3807826318298426,2.3746192894154703,0.08988341060522115,2.318240848159274,2.4384573518414996,2.245155969654699,2.5350667713920703,0.1202165036822258,0.28991080173737105,0.0,1.0,0.041348321369469754,0.04250961387983421,0.04250961387983421,0.001807067272212593,1.0,1.0,-0.005145516819456908,-0.0052279982644301,0.0052279982644301,2.7331965852884142e-05,0.0,0.0,0.16086380059475136,0.15470045818037903,0.15470045818037903,0.0239322317612192
5,0.16135454542873398,0.4381957165889852,0.36822483497728903,0.16135454542873398,0.16158575914320455,0.36822483497728903,0.3687524843944727,time_avg,0.16158609909810862,0.4381957165889852,26,0.9970145731560056,mild,0.22564269763929992,0.18399534470804293,0.12478461564145964,0.13064715182093806,0.27750673245226637,0.10455579260930443,0.4954797253598845,0.1468595806313283,0.39092393275058007,0.3213996412493349,0.34113443118999065,0.12583664212527845,0.21883840649988262,0.43388262487174206,0.10244746844052338,0.4893317482363879,0.21504421837185944,0.38688427979586454,0.7503854984787015,0.7073558791267588,0.3157082397965647,0.5087677359047877,0.941790958847036,0.3187545269950607,1.3415488477777753,0.43302322294224826,1.0227943207827146,1.0,1.0,0.06428815221056594,0.022640799279308954,0.022640799279308954,0.0005126057920059569,0.0,1.0,-0.11679607533965031,-0.09706128539899456,0.09706128539899456,0.009420893123305074,0.0,1.0,0.3821606635014125,0.33913104414946976,0.33913104414946976,0.1150098651059096
6,0.8379712586714514,0.41858843962137937,2.0018977576863115,0.8379712586714514,0.8467007051564412,2.0018977576863115,2.0227522430440197,time_avg,0.8472431619927892,0.41858843962137937,24,0.978954585755138,mild,0.8459690609133187,0.851949039679053,0.04010282507521577,0.8214861262563357,0.8747581557636426,0.7734153119568258,0.9015890506520868,0.05327202950730692,0.12817373869526105,0.4406629952377292,0.4418291511238607,0.02239841858524197,0.42669083402820573,0.45724224686872555,0.40163941325022856,0.4748976614174994,0.03055141284051982,0.07325824816727083,1.9215388582747501,1.91390278839329,0.075643296022205,1.8728889615059396,1.9673593303586125,1.8124642568477798,2.052833144020281,0.0944703688526729,0.24036888717250138,1.0,1.0,0.007997802241867302,0.013977781007601608,0.013977781007601608,0.00019537836189646824,0.0,1.0,0.022074555616349856,0.023240711502481304,0.023240711502481304,0.0005401306711415668,0.0,1.0,-0.08035889941156138,-0.08799496929302153,0.08799496929302153,0.007743114620879802
7,0.16957104096007242,0.059983752692886874,2.826949521285634,0.16957104096007242,0.16558739415684676,2.826949521285634,2.7605374242696024,time_avg,0.1793979112856613,0.059983752692886874,17,0.9170046219807712,mild,0.18916594104824594,0.18833464807531416,0.012237099286726928,0.18121778509969677,0.19676977610359853,0.17030314998399002,0.21117876302903205,0.015551991003901755,0.04087561304504203,0.060555621910779726,0.05625259468280981,0.013593822221311877,0.052821438892243874,0.06290081194485263,0.05087408111161623,0.08349294551811227,0.010079373052608753,0.03261886440649604,3.2143584852580753,3.3354019300210815,0.455125848754523,3.037237944131266,3.512095271786783,2.312259610379688,3.7274466048973713,0.474857327655517,1.4151869945176832,0.0,0.0,0.019594900088173522,0.01876360711524175,0.01876360711524175,0.00035207295197515077,1.0,1.0,0.0005718692178928522,-0.0037311580100770625,0.0037311580100770625,1.3921540096162224e-05,0.0,1.0,0.3874089639724412,0.5084524087354474,0.5084524087354474,0.25852385194887845
8,0.8534170888890634,0.19285175782348601,4.425249209655542,0.8534170888890634,0.9150707934989267,4.425249209655542,4.744944012055496,time_avg,0.9355674242729045,0.19285175782348601,17,0.866957525563947,mild,0.9486283362838006,0.9592102961016207,0.03884706787543793,0.9346661346397273,0.9746065085955448,0.8728251179955383,0.9877582992470968,0.03994037395581751,0.11493318125155849,0.19869641486167858,0.19862224845543058,0.00928089744322477,0.19233732273753257,0.2046409954938258,0.18427241968213234,0.21413083363675303,0.012303672756293238,0.02985841395462069,4.783737513893118,4.784255436698825,0.28436028112320333,4.607506860300322,4.965713165612371,4.341289724774014,5.23162409559403,0.35820630531204856,0.8903343708200158,0.0,0.0,0.09521124739473719,0.10579320721255725,0.10579320721255725,0.011192202692319075,1.0,1.0,0.005844657038192563,0.005770490631944569,0.005770490631944569,3.3298562133360034e-05,0.0,1.0,0.35848830423757594,0.3590062270432828,0.3590062270432828,0.1288854710558531
9,0.5839572516096636,0.16469046328761228,3.5457866834089344,0.5839572516096636,0.6194838607553813,3.5457866834089344,3.761504147775251,time_avg,0.6327956599466341,0.16469046328761228,24,0.8515792348503842,mild,0.6222788287313051,0.6222671314722825,0.01492050325474523,0.6121422801782166,0.6324249217840727,0.5980421994837074,0.6467229873264267,0.020282641605856133,0.04868078784271934,0.16195389497498544,0.16179786908490906,0.006665426549719149,0.15733729619550862,0.16639119362624682,0.15147854321546178,0.17312008406135163,0.0090538974307382,0.021641540845889845,3.847927715210284,3.8388547615761652,0.16350952914263134,3.737971783845434,3.9563555171770997,3.5831269780951454,4.125473149391137,0.21838373333166583,0.5423461712959918,0.0,0.0,0.038321577121641526,0.03830987986261891,0.03830987986261891,0.001467646895088294,1.0,1.0,-0.002736568312626836,-0.0028925942027032137,0.0028925942027032137,8.36710122151224e-06,0.0,0.0,0.30214103180134977,0.2930680781672308,0.2930680781672308,0.0858888984406341
