case_id,true_beta,true_gamma,true_R0,true_beta_timeavg,true_beta_infweighted,true_R0_timeavg,true_R0_infweighted,beta_ref_mode,beta0,gamma,tau,kappa,severity,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.06588378066768495,0.22364714789828816,0.29458806556141753,0.06588378066768495,0.09991402699405277,0.29458806556141753,0.4467484961600869,time_avg,0.1072049143651905,0.22364714789828816,15,0.44937047572882854,strong,0.23007100663764515,0.20698774430760322,0.10136640597867119,0.1527522084418208,0.28413422353758455,0.11109687235987308,0.42804720447259664,0.13138201509576375,0.31695033211272355,0.31173481398649094,0.32124544326382076,0.11649038046102574,0.22095915598967486,0.41206266766790944,0.10572503051206524,0.4743411540392499,0.19110351167823458,0.3686161235271847,0.7989994220876424,0.7681040955047092,0.3065649747227117,0.5787794195913283,0.9623792685956524,0.3623434629078693,1.3848671805673154,0.3835998490043241,1.0225237176594462,0.0,0.0,0.16418722596996022,0.14110396363991828,0.14110396363991828,0.01991032855489538,1.0,1.0,0.08808766608820279,0.0975982953655326,0.0975982953655326,0.009525427258257743,0.0,0.0,0.5044113565262249,0.4735160299432916,0.4735160299432916,0.22421743061325625
1,0.43844080186439427,0.14226911838938677,3.081770709117586,0.43844080186439427,0.46787867086527885,3.081770709117586,3.2886874970624858,time_avg,0.7027206158528589,0.14226911838938677,11,0.517844977505071,strong,0.6951863872491717,0.6958880733542472,0.019081651099484138,0.6821095826540968,0.7079681662271093,0.6634538800135648,0.7256927031180904,0.025858583573012517,0.062238823104525665,0.14497859636248606,0.14481054983738487,0.0065951778872653305,0.14062734998123205,0.14914075298538368,0.13455154027333058,0.1562230915695698,0.008513403004151626,0.02167155129623921,4.804043061752632,4.799454339291245,0.23709604286602542,4.643731716328663,4.955325497318832,4.430085280493379,5.197387317067638,0.31159378099016877,0.7673020365742591,0.0,0.0,0.25674558538477743,0.2574472714898529,0.2574472714898529,0.06627909759757003,1.0,1.0,0.0027094779730992835,0.0025414314479980937,0.0025414314479980937,6.458873804873688e-06,0.0,0.0,1.7222723526350463,1.7176836301736587,1.7176836301736587,2.9504370533665583
2,0.26871127322064725,0.1006554263807258,2.669615368815346,0.26871127322064725,0.2535333992025529,2.669615368815346,2.5188249488266163,time_avg,0.5659011015845684,0.1006554263807258,11,0.3267152168467249,strong,0.5581158848431457,0.5575960089076157,0.016929234629831223,0.5463484874777632,0.5700126040740751,0.5308171103567,0.5855548766866698,0.023664116596311846,0.05473776632996985,0.1074466954198831,0.10713092429693027,0.005393784018292026,0.10374654285851073,0.11090944716605752,0.09903550885375424,0.11629157683374369,0.007162904307546791,0.01725606797998945,5.206203641936351,5.201833010642774,0.28454982606519436,5.00615369333341,5.39363518153337,4.751398052774069,5.692152877957965,0.38748148819996064,0.9407548251838964,0.0,0.0,0.2894046116224984,0.2888847356869685,0.2888847356869685,0.08345439051292965,0.0,1.0,0.006791269039157291,0.00647549791620447,0.00647549791620447,4.1932073262768435e-05,0.0,0.0,2.5365882731210045,2.5322176418274283,2.5322176418274283,6.4121261855820615
3,0.087085158822266,0.4580472037503408,0.1901226731857354,0.087085158822266,0.13283595350719898,0.1901226731857354,0.2900049436380827,time_avg,0.13292615464543783,0.4580472037503408,20,0.4252323035366723,strong,0.20861424199080736,0.15755870205040756,0.12789612387003146,0.1160337451965346,0.2550450477944342,0.1016052978843465,0.5120576637698896,0.13901130259789962,0.4104523658855431,0.29701859027620436,0.29936551506331177,0.13446265748994388,0.1763856590900067,0.4204036957426792,0.0840594729157992,0.49027077314421225,0.24401803665267252,0.40621130022841306,0.7750784467739709,0.7037175883079864,0.3619316823394328,0.5003179701839506,0.995907322395164,0.3097446393090323,1.439327981222822,0.49558935221121336,1.1295833419137895,0.0,0.0,0.12152908316854136,0.07047354322814156,0.07047354322814156,0.004966520295128737,0.0,1.0,-0.16102861347413644,-0.15868168868702903,0.15868168868702903,0.0251798783245672,0.0,0.0,0.5849557735882355,0.513594915122251,0.513594915122251,0.2637797368394322
4,0.5245049759055646,0.3380864936809888,1.5513928704897517,0.5245049759055646,0.7729708158215044,1.5513928704897517,2.286310841363758,time_avg,0.7978302058102752,0.3380864936809888,22,0.38823979822713156,strong,0.7935173045068287,0.7944915040431676,0.02653596047842302,0.7760023615302369,0.8127355293592261,0.7463381885273049,0.8359136493454603,0.036733167828989166,0.08957546081815537,0.334724615705226,0.3343444604628034,0.013485434584725595,0.32551171635348536,0.3437659797673717,0.31338769314063986,0.3578299768650193,0.018254263413886362,0.04444228372437942,2.3729501056149784,2.368770003851291,0.09040996528025592,2.3120906698353245,2.4297568567017964,2.2306010008920025,2.527931995097586,0.1176661868664719,0.2973309942055833,0.0,0.0,0.2690123286012641,0.26998652813760304,0.26998652813760304,0.07289272537579672,1.0,1.0,-0.003361877975762817,-0.003742033218185392,0.003742033218185392,1.4002812606002922e-05,0.0,0.0,0.8215572351252267,0.8173771333615392,0.8173771333615392,0.6681053781423274
5,0.1300984607325225,0.4381957165889852,0.2968957837955113,0.1300984607325225,0.16154716238948244,0.2968957837955113,0.3686644033104709,time_avg,0.16158609909810862,0.4381957165889852,26,0.5940291463120111,strong,0.22416598363464774,0.1842573849192598,0.12431765521922425,0.12826563010385977,0.2838036415569269,0.10330868183077184,0.4932180966589233,0.15553801145306712,0.38990941482815145,0.3187759965610736,0.3353057645830688,0.12524607656203904,0.21858418770053506,0.4302549659678782,0.10137283475935928,0.49049606930405676,0.21167077826734315,0.3891232345446975,0.7537229853175647,0.6989879157712309,0.32306670114213915,0.5084279201563988,0.9449496124774288,0.31934836810594586,1.3716319839235778,0.43652169232103,1.0522836158176319,1.0,1.0,0.09406752290212525,0.05415892418673732,0.05415892418673732,0.0029331890690647605,0.0,1.0,-0.11941972002791162,-0.10288995200591639,0.10288995200591639,0.010586342223779778,0.0,0.0,0.45682720152205336,0.4020921319757196,0.4020921319757196,0.1616780825967795
6,0.6524727776556135,0.41858843962137937,1.5587453352648406,0.6524727776556135,0.8379306979914428,1.5587453352648406,2.001800858975862,time_avg,0.8472431619927892,0.41858843962137937,24,0.557909171510276,strong,0.8479235029650406,0.8522893256253288,0.039946032729246364,0.8241901924277427,0.8776506819345795,0.7734835188003107,0.9030399573533138,0.053460489506836795,0.12955643855300303,0.441528905628731,0.4426414250505071,0.022627479903798025,0.42734269308202344,0.457343079893958,0.4024969561000061,0.47662984036454387,0.030000386811934565,0.07413288426453779,1.9223281663412155,1.9151165407524386,0.07709123424307347,1.8705869487860434,1.9665847094099127,1.8095979978790326,2.063718652151564,0.09599776062386933,0.2541206542725314,0.0,0.0,0.1954507253094271,0.19981654796971526,0.19981654796971526,0.03992665284253352,0.0,1.0,0.022940466007351612,0.024052985429127705,0.024052985429127705,0.0005785461080538297,0.0,0.0,0.3635828310763749,0.35637120548759804,0.35637120548759804,0.12700043610068382
7,0.11238312205506887,0.059983752692886874,1.8735593724931408,0.11238312205506887,0.0948880714896703,1.8735593724931408,1.5818962173889217,time_avg,0.1793979112856613,0.059983752692886874,17,0.4340092439615424,strong,0.3225752331033119,0.3216432665516801,0.02187652797314886,0.30798917037710505,0.3369775810650645,0.2874447334817786,0.35966288080789716,0.02898841068795943,0.07221814732611853,0.18974665827503945,0.1891948441690277,0.021832634628362955,0.17459568662104885,0.2049366516170264,0.15495395989136773,0.22549836841637874,0.03034096499597755,0.07054440852501101,1.7153584011235652,1.713501633396004,0.16374715636682335,1.605128385526918,1.8266966554653357,1.4480203878963158,1.9816039895168185,0.2215682699384176,0.5335836016205027,0.0,0.0,0.210192111048243,0.2092601444966112,0.2092601444966112,0.0437898080747426,0.0,0.0,0.1297629055821526,0.12921109147614085,0.12921109147614085,0.016695506160455637,0.0,1.0,-0.15820097136957556,-0.16005773909713672,0.16005773909713672,0.025618479844887087
8,0.5242769534971756,0.19285175782348601,2.7185490006113273,0.5242769534971756,0.8351776878320473,2.7185490006113273,4.330671896682795,time_avg,0.9355674242729045,0.19285175782348601,17,0.33391505112789405,strong,0.9499627234871291,0.9606901824249576,0.03922567068362495,0.9351727784118542,0.9759557747252384,0.8772799902510119,0.9882407466207351,0.04078299631338422,0.11096075636972325,0.19963319588772643,0.19962473480734488,0.009022764383785865,0.1936115453782298,0.20520141395563435,0.1848467427489932,0.21499820779446974,0.011589868577404544,0.030151465045476528,4.766933251864924,4.755997248648955,0.27232754387669245,4.605421638622065,4.9475761946708605,4.334005251856088,5.209886159981236,0.3421545560487953,0.875880908125148,0.0,0.0,0.42568576998995344,0.436413228927782,0.436413228927782,0.19045650638317266,0.0,1.0,0.006781438064240419,0.006772976983858869,0.006772976983858869,4.587321722388199e-05,0.0,0.0,2.048384251253597,2.0374482480376273,2.0374482480376273,4.151195363431596
9,0.4034973460037933,0.16469046328761228,2.4500346768660988,0.4034973460037933,0.5732918584371702,2.4500346768660988,3.4810264479976856,time_avg,0.6327956599466341,0.16469046328761228,24,0.30315846970076854,strong,0.6244940679036756,0.624044385025919,0.01503430463122298,0.6140634042197546,0.6347422427518483,0.6007006276567587,0.6497948195051787,0.020678838532093735,0.04909419184842001,0.1631899358589534,0.16287159285831884,0.006556585243214326,0.15869471643800448,0.16758444046123672,0.1528034829462055,0.1745061704030066,0.008889724023232237,0.021702687456801095,3.8321341174492782,3.8294368493136397,0.1610944374039515,3.722379115487355,3.938253899702455,3.5745948508786936,4.0969627316752275,0.2158747842151003,0.522367880796534,0.0,0.0,0.2209967218998823,0.2205470390221257,0.2205470390221257,0.04864099642142703,1.0,1.0,-0.0015005274286588877,-0.0018188704292934343,0.0018188704292934343,3.308289638558082e-06,0.0,0.0,1.3820994405831795,1.379402172447541,1.379402172447541,1.9027503533529955
