group,x,y,pearson_corr
pooled,eta,R0_err_median,0.2865498790352604
pooled,eta,gamma_err_median,-0.17182531568693
pooled,eta,R0_covered90,0.2897314903252382
pooled,tau,R0_err_median,0.15662840762722205
pooled,tau,R0_covered90,0.26294947250456085
pooled,tau,gamma_err_median,-0.21264736004832738
mild,eta,R0_err_median,0.10137994662038256
mild,eta,gamma_err_median,0.07914381027697664
mild,eta,R0_covered90,0.08249105648099878
mild,tau,R0_err_median,0.1344984513845514
mild,tau,R0_covered90,0.15782396966397955
mild,tau,gamma_err_median,-0.10514355321262554
medium,eta,R0_err_median,0.11660828507908935
medium,eta,gamma_err_median,0.04142624705601556
medium,eta,R0_covered90,0.1199710527294597
medium,tau,R0_err_median,0.19457141124955268
medium,tau,R0_covered90,0.3380235638716983
medium,tau,gamma_err_median,-0.20896324216864126
strong,eta,R0_err_median,0.08942974692171496
strong,eta,gamma_err_median,0.01750389991095149
strong,eta,R0_covered90,0.13494703621608095
strong,tau,R0_err_median,0.18801663555834752
strong,tau,R0_covered90,0.3011538822986803
strong,tau,gamma_err_median,-0.3138913679266418
