case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,rho0,tau,eta,severity
0,0.68,0.94,-0.006789218459598487,0.013308614769630366,0.01821331234963118,-0.009233214867126662,0.01710840766056208,0.02230492514584358,-0.004345222052070313,0.009508821878698654,0.01288176260178591,-0.00942316254405767,-0.007599585781863425,fraction,25,0.4566771936963121,0.4127357396477173,1.1064638940308396,1.0,10,0.6933718986674462,medium
1,0.64,0.94,-0.009179533324204386,0.014659197232685984,0.01894747505466514,-0.008239155225455761,0.01246259056031704,0.01625404140397443,-0.01011991142295301,0.016855803905054926,0.021303045790032,0.005049004386057571,0.004393213344737886,fraction,25,0.18295573780841445,0.14518482813557965,1.2601574156051814,1.0,22,0.6314019638522971,medium
2,0.62,0.92,-0.006238356557150837,0.014099102363397833,0.01807619046348059,-0.0027331219147890807,0.015223796060308815,0.018428844590340998,-0.009743591199512593,0.012974408666486852,0.017716518010295154,-0.0007123265800458439,-0.002249387393821963,fraction,25,0.8345342860455536,0.4220421393580388,1.9773719451686735,1.0,21,0.6824505498275166,medium
3,0.56,1.0,-0.00369181897433009,0.01255460492859129,0.016218752344148633,-0.0017692464962601661,0.01654785830527544,0.019670001838292855,-0.005614391452400014,0.008561351551907136,0.01179774906002028,-0.007872252778272575,-0.007986506753368303,fraction,25,0.8501116962209567,0.4583619801192538,1.854673234459324,1.0,23,0.7039730404531669,medium
4,0.76,0.98,-0.005474826678037062,0.010349387374808429,0.014759372870121404,-0.0059330458007752895,0.013077214639633895,0.01760109196930032,-0.005016607555298833,0.007621560109982966,0.01121961392057602,-0.0063814780487243,-0.005455654529650929,fraction,25,0.8313285427499186,0.2983111229708836,2.7867835918108215,1.0,23,0.774992830707896,medium
5,0.66,0.9,-0.009308010145759908,0.013689216667116852,0.01925176109756311,-0.005932951597496867,0.011464286958798767,0.017061766231440186,-0.012683068694022949,0.015914146375434937,0.02121689760023779,0.004155131368797603,0.0044498594166361705,fraction,25,0.3044680757056297,0.261330790078016,1.1650677503968658,1.0,24,0.6771298081504517,medium
6,0.24,0.7,0.04305327740265057,0.049846760414075104,0.06289559197820194,0.003436409919522703,0.017023375942371785,0.019800717634409735,0.08267014488577842,0.08267014488577842,0.08671587260553452,0.0669151549711248,0.06564676894340664,fraction,25,0.1568127666068461,0.0640246415355364,2.4492564557321,1.0,10,0.8302867135017789,medium
7,0.54,0.98,-0.0033474193599249704,0.014316869065369246,0.017015593186209474,-0.006140985721722245,0.01603296653367579,0.018462447140166878,-0.0005538529981276952,0.012600771597062703,0.015433692641545652,-0.0030287544986212257,-0.003432194936613087,fraction,25,0.6669035811787141,0.16329833899605328,4.08395814237175,1.0,26,0.8407844816296844,medium
8,0.78,1.0,-0.0039030725572956728,0.008291576699703,0.011351163510211128,-0.004598900408018381,0.00894183463184163,0.011408386919393708,-0.003207244706572965,0.007641318767564371,0.011293650161418306,-0.00011473675797540189,-0.0013005158642772595,fraction,25,0.3086158676379387,0.37311377693075043,0.8271360821265453,1.0,24,0.614429401424872,medium
9,0.8,0.98,-0.005345030822936679,0.010626776786375558,0.014575897444142415,-0.006153460158966482,0.012039188514463603,0.016310922279004096,-0.0045366014869068745,0.009214365058287512,0.012604260669019922,-0.0037066616099841743,-0.0028248234561760906,fraction,25,0.36862410906447185,0.35114585092795686,1.0497749242667285,1.0,14,0.7972879720775432,medium
10,0.56,0.9,-0.004942547621758422,0.017076577994594118,0.023121738961188527,-0.002339973170310259,0.02237509870901704,0.02860256605961053,-0.0075451220732065845,0.011778057280171197,0.01584685583907112,-0.01275571022053941,-0.010597041428845842,fraction,25,0.9912574734229149,0.20883918757345377,4.746510867718569,1.0,11,0.796118286705262,medium
11,0.64,0.92,-0.004304174164426513,0.01430331799259875,0.018754484192242196,-0.0012587764486670493,0.015260601677000522,0.01828125317680857,-0.007349571880185976,0.013346034308196976,0.019216064553376985,0.000934811376568416,-0.0019145673688035457,fraction,25,0.6895324752588008,0.4188623152534029,1.646203179776744,1.0,20,0.6330278300756423,medium
