case_id,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_first,curve_mae_first,curve_rmse_first,curve_bias_second,curve_mae_second,curve_rmse_second,second_minus_first_rmse,second_minus_first_mae,split_mode,split_idx,true_beta,true_gamma,true_R0,rho0,tau,eta,severity
0,0.7,0.94,-0.005855310814804397,0.01426246787479613,0.018457234801689985,-0.008400397688383236,0.017908531635766847,0.022397795238007216,-0.0033102239412255586,0.01061640411382541,0.01340439485861757,-0.008993400379389647,-0.007292127521941437,fraction,25,0.4566771936963121,0.4127357396477173,1.1064638940308396,1.0,10,0.9060231392004677,mild
1,0.58,0.94,-0.011587538104504348,0.016027446612715723,0.02113702638195827,-0.008944068811833858,0.012561486698687077,0.016697454581971402,-0.014231007397174835,0.019493406526744365,0.02479400691752347,0.008096552335552069,0.006931919828057288,fraction,25,0.18295573780841445,0.14518482813557965,1.2601574156051814,1.0,22,0.8688411783113782,mild
2,0.64,0.92,-0.006445071237976663,0.013986595065216535,0.01803843736441268,-0.003169336086139083,0.014788959054276346,0.018192168310489934,-0.009720806389814242,0.013184231076156721,0.017883384949793066,-0.0003087833606968682,-0.0016047279781196255,fraction,25,0.8345342860455536,0.4220421393580388,1.9773719451686735,1.0,21,0.89947032989651,mild
3,0.56,0.98,-0.00328692803348531,0.012309369864087785,0.016067119886108257,-0.0008396485447883606,0.015980865210294723,0.019382367114628977,-0.00573420752218226,0.008637874517880846,0.011858689974145542,-0.007523677140483435,-0.007342990692413877,fraction,25,0.8501116962209567,0.4583619801192538,1.854673234459324,1.0,23,0.9123838242719001,mild
4,0.72,0.98,-0.005847734094786574,0.010610066831213771,0.015009123872666414,-0.0062641936354339125,0.013491302859038115,0.017845810907508492,-0.005431274554139236,0.007728830803389428,0.011492372770822415,-0.006353438136686077,-0.005762472055648687,fraction,25,0.8313285427499186,0.2983111229708836,2.7867835918108215,1.0,23,0.9549956984247376,mild
5,0.68,0.94,-0.006188837297959254,0.013820982185425237,0.01825864245547593,-0.0026667426130734385,0.011751267986837774,0.0162960930373171,-0.009710931982845068,0.0158906963840127,0.02002981278876368,0.003733719751446582,0.0041394283971749254,fraction,25,0.3044680757056297,0.261330790078016,1.1650677503968658,1.0,24,0.896277884890271,mild
6,0.3,1.0,0.038683149719145146,0.04602637629723176,0.0581668758218416,0.0017982375202700495,0.01648469067644328,0.019013969102270364,0.07556806191802025,0.07556806191802025,0.0800327424541043,0.061018773351833935,0.05908337124157697,fraction,25,0.1568127666068461,0.0640246415355364,2.4492564557321,1.0,10,0.9881720281010673,mild
7,0.52,1.0,-0.001487286208794103,0.015336272443310008,0.017545342091882438,-0.0011458090413361789,0.01693926197476685,0.018852818239211967,-0.0018287633762520273,0.013733282911853167,0.01613224419234967,-0.002720574046862295,-0.003205979062913684,fraction,25,0.6669035811787141,0.16329833899605328,4.08395814237175,1.0,26,0.9944706889778107,mild
8,0.76,0.96,-0.004974850409780629,0.008418558225675951,0.011671285643144291,-0.005919377957179677,0.009435701382753904,0.01208967183609074,-0.004030322862381581,0.0074014150685979985,0.011237332958641322,-0.000852338877449418,-0.002034286314155906,fraction,25,0.3086158676379387,0.37311377693075043,0.8271360821265453,1.0,24,0.8586576408549232,mild
9,0.74,0.98,-0.0067891611461527645,0.011082118975464255,0.015096118580547954,-0.008026871057227254,0.012609877390787005,0.01679570679069089,-0.005551451235078275,0.009554360560141504,0.013179143591184914,-0.003616563199505974,-0.0030555168306455015,fraction,25,0.36862410906447185,0.35114585092795686,1.0497749242667285,1.0,14,0.968372783246526,mild
