case_id,tau,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_pre,curve_mae_pre,curve_rmse_pre,curve_bias_post,curve_mae_post,curve_rmse_post,post_minus_pre_rmse,post_minus_pre_mae,true_beta,true_gamma,true_R0,rho0,eta,severity
0,16,0.54,0.92,-0.004789267414162168,0.015491714490490267,0.020198648004488107,-0.0028251318726688623,0.014298481750302017,0.017923274728625063,-0.005713566492511959,0.01605323577999062,0.02118501733918701,0.0032617426105619463,0.001754754029688603,0.5650614270108133,0.3255189204331112,1.735878904547191,1.0,0.8480041321046039,medium
1,23,0.76,1.0,-0.004607278302428313,0.010712828224641271,0.014056067489129152,-0.0053136015118545165,0.011996880978467349,0.0149044647367637,-0.004005595568472658,0.009619005508419057,0.013290711144882107,-0.001613753591881593,-0.0023778754700482917,0.5389384606581041,0.4773576545860584,1.1290034955560642,1.0,0.7191848981673499,medium
2,24,0.62,0.92,-0.0013414030568674206,0.016235337848775087,0.019819506640578764,-0.001387833869860818,0.015100859784676382,0.018265311112676517,-0.0012985438448735154,0.017282548369481586,0.021153035800282213,0.002887724687605696,0.0021816885848052036,0.375080798071755,0.26891659508153753,1.394784869851664,1.0,0.8419755295356823,medium
3,12,0.76,0.94,-0.007814622596488335,0.011995979351340794,0.0175794284077018,-0.008240046348267546,0.01199192563459898,0.017684057201579163,-0.007680278253821215,0.011997259472417155,0.017546258116439232,-0.00013779908513993078,5.333837818175674e-06,0.17702895941441005,0.19935498935306872,0.8880086723130965,1.0,0.7184693567693012,medium
4,11,0.68,0.9,-0.004978435657249065,0.013043151526508154,0.017434928743954345,-0.007161961402744055,0.013631821483034979,0.016048493365194722,-0.0043625694213402216,0.01287711641056469,0.01780646776985649,0.0017579744046617683,-0.0007547050724702881,0.5963382412155094,0.4148743603516578,1.437394783109851,1.0,0.7594474798874671,medium
5,20,0.64,0.98,-0.004180642044302658,0.011295868035158491,0.015599472532642784,-0.0015579823637381196,0.015046884561888874,0.01904812027885394,-0.005929081831345684,0.008795190350671571,0.012793956179488418,-0.006254164099365524,-0.006251694211217303,0.8148099211254433,0.39274431095424056,2.0746574766308417,1.0,0.6700512157976534,medium
6,10,0.72,0.98,-0.005672269507485907,0.010939551394840237,0.014669167414150351,-0.0025307178031653164,0.01047770818695426,0.013009820483173735,-0.006457657433566055,0.011055012196811731,0.015055455274728872,0.0020456347915551367,0.0005773040098574714,0.3611362233828389,0.49756590535856227,0.7258058068158676,1.0,0.6270996989564891,medium
7,27,0.72,0.94,-0.005216614499804564,0.011197284251102247,0.015464791476344683,-0.005103071684802503,0.01264529635685634,0.017244945135362646,-0.005349903891328722,0.009497443953043094,0.013069229022961312,-0.004175716112401334,-0.0031478524038132463,0.10605818902829224,0.27434968172210084,0.3865803246519622,1.0,0.778308479490706,medium
8,12,0.54,0.9,0.0014378328900784255,0.018156972639262678,0.024115763473502083,-0.00607003946788609,0.021033361786976457,0.026035144092945616,0.0038087399504882725,0.017248639224195166,0.023477064765543305,-0.0025580793274023114,-0.003784722562781291,0.878259734855593,0.12330948251018886,7.122402243339428,1.0,0.8452338526265714,medium
9,29,0.46,0.94,-0.0014946307917125523,0.015565086512360722,0.01972071236644507,-0.0032212224885307507,0.012803102554432276,0.01785035935308545,0.0008897101229411506,0.01937925483521429,0.022044219920540994,0.004193860567455545,0.006576152280782012,0.5680310445921657,0.14831641668182327,3.829859548257142,1.0,0.7195332107012515,medium
