metric,mean,std,median,q05,q95
pointwise_empirical_50,0.6182,0.13526166186956737,0.62,0.42,0.84
pointwise_empirical_90,0.9174,0.06700851747458239,0.94,0.819,1.0
curve_bias_full,-0.002854764317389936,0.005407466936303693,-0.004233512784303457,-0.006967824277220643,0.006103813468944276
curve_mae_full,0.01529353051542935,0.005346544126636873,0.01412440329193487,0.008495938780066353,0.02447908906661541
curve_rmse_full,0.01991443720840031,0.006373796853925814,0.018497274897811278,0.011179846488242577,0.032428266650094996
curve_bias_pre,-0.007721058164220138,0.006848377821726557,-0.006756988579343835,-0.01819844194929357,0.0011775660546845756
curve_mae_pre,0.01644598587637741,0.005324468458634885,0.015362520652673283,0.009233888736363915,0.02442593362615702
curve_rmse_pre,0.020719390759316794,0.006560627282643049,0.01972126720962672,0.011681520450866652,0.03188540468577044
curve_bias_post,0.0005894178378849156,0.010072796643512127,-0.0029121802910193257,-0.0075624570302244,0.023492634763242676
curve_mae_post,0.014628722027314113,0.007323933227933827,0.01284707015840486,0.006959265728199146,0.025712059653929566
curve_rmse_post,0.018977239171468905,0.00814896787632083,0.017459353488702582,0.009612513350500115,0.03533497682289922
post_minus_pre_rmse,-0.0017421515878478927,0.007526601185888402,-0.002152639950139071,-0.01157719928309943,0.008147000582515058
post_minus_pre_mae,-0.0018172638490632942,0.0067445302225917405,-0.0018967046754239294,-0.01111972741170272,0.007464316344859542
