case_id,tau,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_pre,curve_mae_pre,curve_rmse_pre,curve_bias_post,curve_mae_post,curve_rmse_post,post_minus_pre_rmse,post_minus_pre_mae,true_beta,true_gamma,true_R0,rho0,eta,severity
0,16,0.5,0.9,-0.004211290673702024,0.01593178956361953,0.020446353888529986,-0.0013085300743114203,0.01464949783985503,0.01863562004264239,-0.005577295661650543,0.01653522096303812,0.02124512955726594,0.002609509514623548,0.001885723123183091,0.5650614270108133,0.3255189204331112,1.735878904547191,1.0,0.9988024792627623,mild
1,23,0.74,0.98,-0.0056942766846623276,0.010938228402519599,0.014622500423681883,-0.005449464411788579,0.01183214317121462,0.014786950034066186,-0.0059028204726658895,0.010176745451409024,0.01448094077143846,-0.0003060092626277263,-0.0016553977198055965,0.5389384606581041,0.4773576545860584,1.1290034955560642,1.0,0.9215109389004099,mild
2,24,0.56,0.94,-0.0026825401606038212,0.01647466916125268,0.02004242198164722,-0.0024454634015758834,0.015286599363510808,0.01832642247997049,-0.0029013802458603796,0.017571348974552866,0.021505229849232164,0.0031788073692616756,0.002284749611042058,0.375080798071755,0.26891659508153753,1.394784869851664,1.0,0.9951853177214094,mild
3,12,0.78,0.94,-0.007211327952391002,0.012619602424965706,0.01792026055854545,-0.008371973138613006,0.01203216395030419,0.017446767217526592,-0.006844808419899843,0.01280510931170092,0.018067206908619692,0.0006204396910930998,0.0007729453613967308,0.17702895941441005,0.19935498935306872,0.8880086723130965,1.0,0.9210816140615807,mild
4,11,0.68,0.92,-0.00416494359029457,0.01235304256901145,0.01694982513482114,-0.004322064828804948,0.011630128264765848,0.014326109676100837,-0.004120627343535232,0.012556941475337133,0.017619349068335507,0.00329323939223467,0.0009268132105712847,0.5963382412155094,0.4148743603516578,1.437394783109851,1.0,0.9456684879324803,mild
5,20,0.66,0.92,-0.0046036605144036,0.011689152988546994,0.016517357965141876,-0.0011849611299112439,0.0154929414158687,0.019902147748795382,-0.0068827934373985045,0.00915329403699919,0.01380730001018081,-0.006094847738614571,-0.006339647378869511,0.8148099211254433,0.39274431095424056,2.0746574766308417,1.0,0.892030729478592,mild
6,10,0.72,0.98,-0.005892080464400351,0.011173483235761523,0.014865681219635796,-0.002933363325428218,0.010428035107906908,0.013138697152366777,-0.006631759749143385,0.011359845267725177,0.015266933449104566,0.0021282362967377892,0.0009318101598182697,0.3611362233828389,0.49756590535856227,0.7258058068158676,1.0,0.8662598193738934,mild
7,27,0.76,0.96,-0.004689476204075618,0.01108546196759562,0.01520143535368489,-0.005041789375590505,0.012569012939585027,0.017290559488017925,-0.004275891176645097,0.009343902130912402,0.012304415539320946,-0.004986143948696979,-0.003225110808672625,0.10605818902829224,0.27434968172210084,0.3865803246519622,1.0,0.9569850876944236,mild
8,12,0.5,0.94,0.001743382611311972,0.018680668915621937,0.02300518913671946,-0.004166620861118038,0.0249544286634773,0.029908472557253964,0.003609699497342502,0.016699481626825507,0.02034423207558219,-0.009564240481671774,-0.008254947036651795,0.878259734855593,0.12330948251018886,7.122402243339428,1.0,0.9971403115759429,mild
9,29,0.5,0.9,-8.840638678520917e-05,0.016285569644533097,0.01985451245288845,0.0010501988521166917,0.01459164331378094,0.018683266184575022,-0.0016607660024116437,0.01862480124414322,0.02136665694900782,0.002683390764432799,0.004033157930362279,0.5680310445921657,0.14831641668182327,3.829859548257142,1.0,0.921719926420751,mild
