case_id,tau,pointwise_empirical_50,pointwise_empirical_90,curve_bias_full,curve_mae_full,curve_rmse_full,curve_bias_pre,curve_mae_pre,curve_rmse_pre,curve_bias_post,curve_mae_post,curve_rmse_post,post_minus_pre_rmse,post_minus_pre_mae,true_beta,true_gamma,true_R0,rho0,eta,severity
0,16,0.54,0.92,-0.005986528048597392,0.015117941988355596,0.020088282582521357,-0.005702805821783841,0.015080674085766077,0.01888678518514453,-0.0061200443906272994,0.015135479824868311,0.02062949372199968,0.0017427085368551497,5.480573910223406e-05,0.5650614270108133,0.3255189204331112,1.735878904547191,1.0,0.5976049585255248,strong
1,23,0.8,0.96,-0.004888885238824514,0.009838440313551473,0.0135416845931326,-0.005756144639631005,0.01208719353535739,0.014872208867206978,-0.0041501087122115775,0.007922835717198285,0.012295228462366345,-0.002576980404840633,-0.004164357818159105,0.5389384606581041,0.4773576545860584,1.1290034955560642,1.0,0.4430218778008199,strong
2,24,0.52,0.94,-0.009518420691601932,0.016822021063417195,0.02019289759624972,-0.009047286468558013,0.015463095585194727,0.018834198247840644,-0.00995331382056555,0.01807641381254563,0.02137054685893312,0.002536348611092476,0.0026133182273509036,0.375080798071755,0.26891659508153753,1.394784869851664,1.0,0.5903706354428188,strong
3,12,0.78,0.92,-0.0069737137877382335,0.01187650091247633,0.017198865722859173,-0.009129297589727988,0.01254353643162176,0.0178198848368174,-0.00629300311342568,0.011665858116956722,0.01699804134264468,-0.0008218434941727228,-0.0008776783146650386,0.17702895941441005,0.19935498935306872,0.8880086723130965,1.0,0.44216322812316144,strong
4,11,0.74,0.94,-0.005055148339597509,0.012773496416630224,0.017264127246026745,-0.00975184536285021,0.01463470205833966,0.017923728365296834,-0.0037304389227826437,0.012248540979224997,0.017073479250300887,-0.0008502491149959476,-0.002386161079114664,0.5963382412155094,0.4148743603516578,1.437394783109851,1.0,0.4913369758649606,strong
5,20,0.64,0.98,-0.004014127386180916,0.011375179033057065,0.015471639686943373,-0.0030283409170806406,0.015786379063501953,0.01921057684407323,-0.004671318365581101,0.008434379012760474,0.012366158762915839,-0.006844418081157393,-0.00735200005074148,0.8148099211254433,0.39274431095424056,2.0746574766308417,1.0,0.384061458957184,strong
6,10,0.74,1.0,-0.005080849183141254,0.011144664085586556,0.014554293625708387,-0.0025363259832374752,0.010469272744376212,0.013053797281848158,-0.005716979983117198,0.011313511920889141,0.014905835193315172,0.0018520379114670138,0.0008442391765129294,0.3611362233828389,0.49756590535856227,0.7258058068158676,1.0,0.3325196387477869,strong
7,27,0.76,0.96,-0.005844254515250213,0.011023778183734977,0.015572872479142508,-0.005898019613663631,0.012551094323431176,0.017593875660576165,-0.005781138964938809,0.00923084184583074,0.012799486100530888,-0.004794389560045277,-0.003320252477600436,0.10605818902829224,0.27434968172210084,0.3865803246519622,1.0,0.5139701753888473,strong
8,12,0.38,0.78,0.00032529512769542636,0.024894192084902896,0.03494376297149005,-0.016764335877572496,0.03497731336392462,0.042547332942097164,0.00572202070830635,0.021710048523106564,0.03217142490036607,-0.010375908041731094,-0.013267264840818058,0.878259734855593,0.12330948251018886,7.122402243339428,1.0,0.5942806231518856,strong
9,29,0.54,0.9,-0.0024405746627599,0.01707488958723843,0.02186524250036271,-0.008224008299795717,0.014279726394933873,0.019251232167494116,0.005546071788384801,0.02093487685280187,0.025030222894340145,0.005778990726846029,0.0066551504578679956,0.5680310445921657,0.14831641668182327,3.829859548257142,1.0,0.4434398528415019,strong
