case_id,true_beta,true_gamma,true_R0,rho0,tau,eta,severity,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.8462315570641726,medium,0.4400204990261149,0.4395632124729196,0.05073046169728269,0.4045931220241109,0.4744155179035463,0.3561494582970416,0.5243369293232666,0.0698223958794354,0.168187471026225,0.3337004745339381,0.3356970996620948,0.04984906677490066,0.2993502589462061,0.3693138333942644,0.2491591985255628,0.4112601281471998,0.06996357444805829,0.16210092962163702,1.3341740517757066,1.319015732443422,0.15517251806560134,1.2348100320310147,1.4194300211020714,1.1046063313239463,1.5991388977026775,0.1846199890710567,0.4945325663787312,1.0,1.0,-0.008056584680944778,-0.008513871234140102,0.008513871234140102,7.24860033915183e-05,1.0,1.0,0.01704994875991722,0.01904657388807396,0.01904657388807396,0.00036277197687386073,1.0,1.0,-0.08087833953733359,-0.09603665886961821,0.09603665886961821,0.009223039846839417
1,0.8656992231773614,0.3773758848611094,2.2939971998899082,1.0,25,0.7393734722972859,medium,0.8555608273373357,0.8585600563183774,0.03241341310541394,0.8355662893891406,0.8781366948849527,0.7979500219885414,0.9032758317437609,0.04257040549581215,0.10532580975521955,0.3875151622578267,0.38757830717102437,0.017993435475259605,0.3750586889633075,0.39967754954770635,0.35767099609645137,0.41730888354064055,0.024618860584398827,0.059637887444189186,2.2102413520259323,2.202561918952945,0.08604164995537678,2.149731605836262,2.262007953056371,2.0839264422219403,2.3628533805923477,0.11227634722010871,0.2789269383704074,1.0,1.0,-0.010138395840025627,-0.00713916685898397,0.00713916685898397,5.0967703440415037e-05,1.0,1.0,0.010139277396717272,0.010202422309914971,0.010202422309914971,0.00010408942098985074,0.0,1.0,-0.08375584786397594,-0.09143528093696318,0.09143528093696318,0.008360410600021382
2,0.13040313045335356,0.31647758845704255,0.41204538712874444,1.0,13,0.6211076569933409,medium,0.17938792849587407,0.1425096156065928,0.09673617567348147,0.11331091756287984,0.2061106698109924,0.10104255657037675,0.39243502361692006,0.09279975224811257,0.2913924670465433,0.28912984338849934,0.28945571023089967,0.13006084250298744,0.17495020316582513,0.4050920192481732,0.08380680825138373,0.4824623965983163,0.23014181608234804,0.3986555883469326,0.7047720509046029,0.6463554210669636,0.3236667015370953,0.45350448383899006,0.8761174355800581,0.29297338814545715,1.3562928065330158,0.422612951741068,1.0633194183875587,1.0,1.0,0.04898479804252051,0.012106485153239255,0.012106485153239255,0.0001465669827656025,1.0,1.0,-0.027347745068543206,-0.02702187822614288,0.02702187822614288,0.0007301819028684948,0.0,1.0,0.2927266637758585,0.2343100339382192,0.2343100339382192,0.054901192004129434
3,0.5228990509942999,0.18446438505338342,2.8346883917075623,1.0,24,0.633751907469575,medium,0.5409977424660041,0.5412260771270021,0.012458693187114322,0.5324332092616909,0.549211437276566,0.520982688599995,0.561215993814351,0.016778228014875052,0.040233305214356085,0.2078938906569265,0.20787866335572444,0.0067146749305034975,0.20330856748906145,0.21222275688546616,0.1969157784705627,0.21872320387613914,0.008914189396404704,0.021807425405576425,2.604203661831212,2.600812343381787,0.08108125172762476,2.54797212784063,2.656988066361785,2.476325829892863,2.7407008252828033,0.10901593852115488,0.26437499538994036,0.0,1.0,0.018098691471704176,0.018327026132702207,0.018327026132702207,0.0003358798868687496,0.0,0.0,0.023429505603543094,0.023414278302341024,0.023414278302341024,0.0005482284284194776,0.0,0.0,-0.23048472987635016,-0.23387604832577535,0.23387604832577535,0.054698005980480406
4,0.2585507973881067,0.20910862294995536,1.2364425423526606,1.0,21,0.7020113862791201,medium,0.3038120012962717,0.29550094720656706,0.08631434321204964,0.23841595421772951,0.3572076133484927,0.17473715222951058,0.46049130910810443,0.1187916591307632,0.28575415687859385,0.2959581705864178,0.3013846716384201,0.09507387300434507,0.22612548784201153,0.3729690276874829,0.1337518932818382,0.4407369269586372,0.14684353984547138,0.30698503367679897,1.0901243706658141,1.065743880113991,0.302035523030632,0.8894793801304273,1.2563019420794674,0.6465901746703191,1.6593697696162286,0.36682256194904017,1.0127795949459095,1.0,1.0,0.045261203908165015,0.03695014981846034,0.03695014981846034,0.001365313571606665,0.0,1.0,0.08684954763646247,0.09227604868846473,0.09227604868846473,0.008514869161555914,1.0,1.0,-0.14631817168684647,-0.1706986622386697,0.1706986622386697,0.02913803329007144
5,0.25998328631298845,0.3833953303326222,0.6781075974176181,1.0,17,0.8470428607838605,medium,0.23636210379220218,0.19530088054332595,0.12780052023175772,0.13671861163791338,0.3039759122294555,0.10643382668537647,0.5058848810571503,0.16725730059154215,0.39945105437177386,0.3321614733121531,0.3529530998824214,0.12164199800849977,0.23374668852242447,0.44126293630887203,0.11378192024462175,0.4892673967526785,0.20751624778644756,0.37548547650805675,0.7502978281602849,0.7121608321721689,0.3076843414653643,0.5125165856857035,0.9499273612756571,0.3160563868329121,1.2967715498782955,0.43741077558995367,0.9807151630453834,1.0,1.0,-0.023621182520786266,-0.0646824057696625,0.0646824057696625,0.004183813616151269,1.0,1.0,-0.051233857020469065,-0.03044223045020078,0.03044223045020078,0.0009267293947831316,1.0,1.0,0.07219023074266684,0.0340532347545508,0.0340532347545508,0.0011596227972485464
6,0.5043321096504052,0.40230191813470506,1.2536159707832584,1.0,17,0.8420568370154368,medium,0.4186936416203176,0.41520593092490055,0.09485575854195684,0.3525362301289475,0.4848808437951875,0.2653176614957849,0.5790072009301653,0.13234461366623995,0.31368953943438044,0.3770198834952759,0.3907516175601625,0.07619868846609874,0.3316607981440699,0.4362266002092848,0.23105181741247754,0.4761809318204675,0.10456580206521487,0.24512911440798996,1.129496302533929,1.127813716900393,0.21988884789605054,0.9952573442376313,1.248294767985056,0.7868118807268422,1.4827548742428276,0.25303742374742466,0.6959429935159854,0.0,1.0,-0.08563846803008762,-0.08912617872550466,0.08912617872550466,0.007943475734210599,1.0,1.0,-0.025282034639429185,-0.011550300574542538,0.011550300574542538,0.0001334094433622777,0.0,1.0,-0.1241196682493293,-0.12580225388286537,0.12580225388286537,0.015826207082008915
7,0.1782680912766364,0.4099814796292761,0.4348198641505331,1.0,11,0.6072109114401727,medium,0.21663061713593368,0.17288989568969973,0.12420663625516208,0.12225699309800928,0.2721458085435171,0.10229375194197907,0.47602191301487295,0.14988881544550783,0.37372816107289386,0.31272857032702384,0.3305362682033347,0.13137798736967363,0.20173437848124148,0.4332478726150978,0.0888100617112609,0.4920472521653461,0.2315134941338563,0.40323719045408524,0.7523147775286261,0.6997472073658385,0.32683865316798594,0.4981196643005375,0.9593290819702329,0.3008713350857218,1.3617023495351541,0.4612094176696954,1.0608310144494324,1.0,1.0,0.03836252585929728,-0.005378195586936668,0.005378195586936668,2.8924987771345054e-05,1.0,1.0,-0.09725290930225228,-0.07944521142594141,0.07944521142594141,0.0063115416185125315,0.0,1.0,0.317494913378093,0.2649273432153054,0.2649273432153054,0.07018649718312024
8,0.8610039871024447,0.1770050362455169,4.864290900221501,1.0,22,0.7593743032507705,medium,0.8640620144697223,0.8665601421776192,0.03214064732113148,0.8439353230103591,0.8875461009182853,0.8063865982482148,0.9116688059525972,0.043610777907926224,0.10528220770438246,0.18288205665810442,0.18247411346333078,0.008231733247078413,0.17720446989358113,0.188107034413669,0.16995786313513173,0.19710152733407965,0.010902564520087865,0.027143664198947925,4.733237240376411,4.716923108849221,0.25990182711898,4.552565177750336,4.901806889687722,4.32476049811309,5.17953720632505,0.3492417119373865,0.8547767082119604,1.0,1.0,0.0030580273672775604,0.005556155075174485,0.005556155075174485,3.087085921938718e-05,0.0,1.0,0.00587702041258753,0.005469077217813895,0.005469077217813895,2.991080561441097e-05,1.0,1.0,-0.1310536598450902,-0.14736779137228062,0.14736779137228062,0.021717265933944026
9,0.5472010893876081,0.102793267143065,5.323316444704767,1.0,11,0.7931012780910176,medium,0.5409459047612472,0.5408801703950632,0.01440916883144455,0.5310254255894241,0.5506984860603622,0.5178674238796241,0.5649808243514779,0.019673060470938086,0.04711340047185375,0.12321730775445186,0.12291756694528358,0.005233681621294322,0.11970992667261397,0.1267279004339335,0.11473498992075729,0.13185801045959814,0.007017973761319532,0.01712302053884085,4.397137244850745,4.387706863754099,0.2009702412117451,4.254978522712771,4.526720735587025,4.08606929064687,4.7415859013342105,0.27174221287425393,0.6555166106873402,1.0,1.0,-0.006255184626360988,-0.006320918992544944,0.006320918992544944,3.995401691031539e-05,0.0,0.0,0.020424040611386862,0.02012429980221858,0.02012429980221858,0.0004049874425295748,0.0,0.0,-0.9261791998540225,-0.9356095809506684,0.9356095809506684,0.8753652879666852
