case_id,feature,observed_value,pred_mean,pred_median,pred_std,pred_ci50_low,pred_ci50_high,pred_ci90_low,pred_ci90_high,pred_width50,pred_width90,covered50,covered90,err_mean,err_median,abs_err_median,sq_err_median,true_beta,true_gamma,true_R0,rho0,tau,eta,severity
0,peak_time,23.0,23.75,23.0,8.634409667315438,20.0,28.25,10.9,43.0,8.25,32.1,1.0,1.0,0.75,0.0,0.0,0.0,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.8462315570641726,medium
0,peak_height,0.0892791897058487,0.07844894636422396,0.07753608003258705,0.018252554895205046,0.06356565840542316,0.08895078115165234,0.05367606282234192,0.1143143132328987,0.025385122746229172,0.06063825041055678,0.0,1.0,-0.010830243341624732,-0.011743109673261642,0.011743109673261642,0.00013790062479825116,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.8462315570641726,medium
0,cumulative_infected,1.5575185175403021,1.3769753031140863,1.3234032787149772,0.480950900657813,1.026600223092828,1.6683314830297604,0.6552803924394539,2.17248816206702,0.6417312599369325,1.5172077696275659,1.0,1.0,-0.1805432144262158,-0.23411523882532492,0.23411523882532492,0.05480994505023892,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.8462315570641726,medium
0,early_growth_slope,0.003596071988188972,0.001180359977054953,0.001165748392287199,0.00238694942747308,-0.00015700393331436637,0.0026928009195086944,-0.0028900866769531364,0.004867130374935055,0.002849804852823061,0.007757217051888192,0.0,1.0,-0.0024157120111340186,-0.002430323595901773,0.002430323595901773,5.906472780796925e-06,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.8462315570641726,medium
1,peak_time,8.0,22.79,18.5,15.837109597525693,8.75,38.0,1.0,47.099999999999994,29.25,46.099999999999994,0.0,1.0,14.79,10.5,10.5,110.25,0.1866456667520135,0.38828976758558686,0.48068654477451056,1.0,25,0.8086099926731041,medium
1,peak_height,0.046858932822942734,0.05318969776853919,0.05005019158124924,0.018553105744811237,0.042776492424309254,0.05995502881705761,0.03477983120828867,0.07432872913777828,0.017178536392748356,0.03954889792948962,1.0,1.0,0.006330764945596458,0.0031912587583065033,0.0031912587583065033,1.0184132462467965e-05,0.1866456667520135,0.38828976758558686,0.48068654477451056,1.0,25,0.8086099926731041,medium
1,cumulative_infected,0.41249186964705586,0.603982594852987,0.4697199751608423,0.43442656940012847,0.3896038955790573,0.6262998311285628,0.30444069542281793,1.286476505742757,0.23669593554950552,0.982035810319939,1.0,1.0,0.19149072520593113,0.05722810551378643,0.05722810551378643,0.003275056060697073,0.1866456667520135,0.38828976758558686,0.48068654477451056,1.0,25,0.8086099926731041,medium
1,early_growth_slope,0.0010769966944021037,-0.0004986801832510096,-0.0008402205837358316,0.002559592671136638,-0.0021210836909761237,0.001214649363429912,-0.004203122393560727,0.00360552144231319,0.0033357330544060357,0.007808643835873917,1.0,1.0,-0.0015756768776531132,-0.0019172172781379353,0.0019172172781379353,3.6757220915906335e-06,0.1866456667520135,0.38828976758558686,0.48068654477451056,1.0,25,0.8086099926731041,medium
2,peak_time,18.0,19.17,19.0,2.756278416102174,17.0,21.0,15.0,24.0,4.0,9.0,1.0,1.0,1.1700000000000017,1.0,1.0,1.0,0.4046595524780089,0.19856560441531607,2.037913633982805,1.0,19,0.6021929950544105,medium
2,peak_height,0.18001534044742584,0.15405916325747968,0.15357764065265656,0.014781065557564881,0.144071813672781,0.16212226077914238,0.13250769153237343,0.17845902442932127,0.01805044710636139,0.04595133289694783,0.0,0.0,-0.025956177189946167,-0.026437699794769287,0.026437699794769287,0.000698951970438344,0.4046595524780089,0.19856560441531607,2.037913633982805,1.0,19,0.6021929950544105,medium
2,cumulative_infected,2.889781615231186,2.8555138955544317,2.894884221808752,0.1923622305273106,2.6938749006012586,2.9755571369096288,2.5029896789394117,3.157725820239284,0.2816822363083702,0.6547361412998725,1.0,1.0,-0.03426771967675446,0.0051026065775658935,0.0051026065775658935,2.603659388541872e-05,0.4046595524780089,0.19856560441531607,2.037913633982805,1.0,19,0.6021929950544105,medium
2,early_growth_slope,0.0005373686352478624,0.004055255833629329,0.004106491371723158,0.0029949378265303824,0.0019571786438713646,0.006444850857709144,-0.0008455061068248335,0.00863616540231132,0.00448767221383778,0.009481671509136152,0.0,1.0,0.003517887198381467,0.0035691227364752953,0.0035691227364752953,1.27386371080249e-05,0.4046595524780089,0.19856560441531607,2.037913633982805,1.0,19,0.6021929950544105,medium
3,peak_time,11.0,10.2,10.0,0.8528028654224418,10.0,11.0,9.0,11.0,1.0,2.0,1.0,1.0,-0.8000000000000007,-1.0,1.0,1.0,0.7638096098690871,0.19724140342496155,3.872460835332023,1.0,21,0.7368224493444889,medium
3,peak_height,0.3998451232910156,0.3763620516657829,0.37671707570552826,0.020942423893759225,0.35987886786460876,0.3921027034521103,0.3437474951148033,0.4110242992639542,0.032223835587501526,0.06727680414915088,0.0,1.0,-0.02348307162523272,-0.023128047585487366,0.023128047585487366,0.000534906585116568,0.7638096098690871,0.19724140342496155,3.872460835332023,1.0,21,0.7368224493444889,medium
