case_id,true_beta,true_gamma,true_R0,rho0,tau,eta,severity,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.4480770837070597,0.31665052577402086,1.4150523913130402,1.0,14,0.9977389342385036,mild,0.43010211676569415,0.4296676686229446,0.03811443469296309,0.4034870978090478,0.4558548185785069,0.3686212715478295,0.4934465674508269,0.052367720769459114,0.1248252959029974,0.3096247812581323,0.3103220939990057,0.038038526845204736,0.2841584348242307,0.3354571582712645,0.24602858774753608,0.3711590363444183,0.05129872344703379,0.12513044859688224,1.4011680727031393,1.3968060837099125,0.1383336580609304,1.3084409099200025,1.4830079906683027,1.1910630492651053,1.6318482189926944,0.17456708074830019,0.4407851697275891,1.0,1.0,-0.017974966941365522,-0.01840941508411509,0.01840941508411509,0.0003389065637392441,1.0,1.0,-0.0070257445158885545,-0.006328431775015186,0.006328431775015186,4.0049048731021865e-05,1.0,1.0,-0.013884318609900914,-0.01824630760312762,0.01824630760312762,0.0003329277411479528
1,0.8656992231773614,0.3773758848611094,2.2939971998899082,1.0,25,0.9336240833783715,mild,0.8538395871614134,0.8574728750573549,0.03255426997128289,0.8333190097785363,0.8769895803127542,0.7977984761961124,0.9011964217073488,0.043670570534217856,0.10339794551123638,0.3875800637152863,0.3872532467080857,0.017379830937398658,0.37544766022051945,0.3990431704892461,0.3593357112902081,0.41630644872035705,0.023595510268726638,0.056970737430148966,2.2051687581687194,2.1967516781658047,0.08393359677830318,2.1474049378493554,2.2575199186452988,2.082005644253793,2.3513028751397607,0.1101149807959434,0.2692972308859676,1.0,1.0,-0.011859636015947972,-0.008226348120006444,0.008226348120006444,6.767280339153355e-05,1.0,1.0,0.010204178854176904,0.009877361846976296,0.009877361846976296,9.756227705610298e-05,0.0,1.0,-0.08882844172118887,-0.0972455217241035,0.0972455217241035,0.009456691495393086
2,0.13040313045335356,0.31647758845704255,0.41204538712874444,1.0,13,0.8626645941960045,mild,0.1828773238028866,0.14382491736526815,0.10037650018216954,0.11333250006159726,0.21353917212149234,0.10093380478943009,0.4078465516095102,0.10020667205989509,0.30691274682008013,0.283817832639969,0.28544076387585704,0.1296407439450885,0.1691186423509048,0.399338522069838,0.08143908739095881,0.48202811633654774,0.2302198797189332,0.4005890289455889,0.7289654807187834,0.6640564768359569,0.329328890885377,0.4778153639433378,0.9222077992950367,0.3057717015376851,1.3821935221385118,0.4443924353516989,1.0764218206008267,1.0,1.0,0.052474193349533044,0.01342178691191459,0.01342178691191459,0.0001801443639088418,1.0,1.0,-0.03265975581707353,-0.031036824581185507,0.031036824581185507,0.0009632844800832809,0.0,1.0,0.316920093590039,0.2520110897072125,0.2520110897072125,0.0635095893354167
3,0.5228990509942999,0.18446438505338342,2.8346883917075623,1.0,24,0.870251144481745,mild,0.5226927291435286,0.5223256318636929,0.012768497389712542,0.5140562666108665,0.530997799106574,0.5014664428079323,0.5446446757545833,0.016941532495707512,0.04317823294665102,0.19625672517439266,0.1961537914626456,0.006458769277563399,0.1919021724466661,0.20044782841872297,0.1859404137686617,0.20713288908739028,0.008545655972056865,0.021192475318728587,2.665404966068738,2.6624164827978944,0.08794690987315956,2.6054891448811652,2.7215096175670737,2.527762229140582,2.813768286066441,0.11602047268590843,0.2860060569258587,1.0,1.0,-0.00020632185077129606,-0.0005734191306070446,0.0005734191306070446,3.2880949934613893e-07,0.0,0.0,0.011792340121009243,0.011689406409262193,0.011689406409262193,0.00013664222220090004,0.0,0.0,-0.16928342563882426,-0.17227190890966781,0.17227190890966781,0.029677610599380885
4,0.2585507973881067,0.20910862294995536,1.2364425423526606,1.0,21,0.9112068317674721,mild,0.2936537804615955,0.28742465887854735,0.07414688997553222,0.24078066326076153,0.3433030116860938,0.18407891318426248,0.42405892329953354,0.10252234842533225,0.23998001011527106,0.2742922677338482,0.27790905059974624,0.09053878047401935,0.20621622226672853,0.34559771354036894,0.12359195999058091,0.42023927764636426,0.1393814912736404,0.29664731765578334,1.1466187304287159,1.1125039737404487,0.31008462849670776,0.9392956994060714,1.3259280033196528,0.6844669136333441,1.7311969661491613,0.3866323039135814,1.0467300525158172,1.0,1.0,0.0351029830734888,0.028873861490440633,0.028873861490440633,0.0008336998773691506,1.0,1.0,0.06518364478389282,0.06880042764979089,0.06880042764979089,0.00473349884479411,1.0,1.0,-0.08982381192394473,-0.12393856861221186,0.12393856861221186,0.015360768789643948
5,0.25998328631298845,0.3833953303326222,0.6781075974176181,1.0,17,0.9982257164703163,mild,0.2405358224029027,0.1990528511108316,0.1302366885366072,0.13756479245594985,0.30780042072395675,0.10521507278624331,0.5101817273553363,0.1702356282680069,0.404966654569093,0.33170633255894527,0.3511813134324973,0.1236804186140283,0.23607046497002396,0.4409509979178403,0.10551278046541694,0.49212892919763435,0.20488053294781636,0.3866161487322174,0.764216445557921,0.7293757536552377,0.3104922545275025,0.5226093401123929,0.9680774256244316,0.3313646437181299,1.3239693459635666,0.44546808551203865,0.9926047022454367,1.0,1.0,-0.019447463910085755,-0.06093043520215685,0.06093043520215685,0.003712517933924235,1.0,1.0,-0.051688997773676915,-0.032214016900124876,0.032214016900124876,0.0010377428848415311,1.0,1.0,0.08610884814030295,0.0512681562376196,0.0512681562376196,0.0026284238440049735
6,0.5043321096504052,0.40230191813470506,1.2536159707832584,1.0,17,0.9952341022092621,mild,0.42290969126446154,0.4232643271341698,0.08261186972997318,0.36447471342784105,0.4781101332185299,0.29273138116750386,0.5658057687122393,0.11363541979068886,0.27307438754473545,0.3706949442528208,0.3825609345161376,0.06955610001345422,0.3261885980727218,0.4231622112797409,0.24026194467739595,0.46563188997909893,0.09697361320701908,0.22536994530170298,1.1590414325990424,1.153081054036511,0.19958888439436456,1.037227274373184,1.272168693444201,0.8353890699689223,1.500409119588979,0.23494141907101684,0.6650200496200568,0.0,1.0,-0.08142241838594366,-0.08106778251623542,0.08106778251623542,0.006571985362099645,1.0,1.0,-0.03160697388188427,-0.019740983618567465,0.019740983618567465,0.000389706434228549,1.0,1.0,-0.09457453818421602,-0.1005349167467473,0.1005349167467473,0.010107269485275412
7,0.1782680912766364,0.4099814796292761,0.4348198641505331,1.0,11,0.8543265468641036,mild,0.22027255855513353,0.1755063533815892,0.130463619670461,0.12155708924754621,0.27264357628145675,0.10232410239165539,0.5121004857944867,0.15108648703391053,0.40977638340283135,0.31424490918683634,0.3285688888127772,0.13081722941243776,0.2043256675106036,0.43471937224042795,0.09226004411230708,0.4916929088786539,0.23039370472982434,0.3994328647663468,0.7579911826476041,0.6922684526646253,0.3403498827037546,0.49978434052164805,0.9691559255223777,0.30733649442240996,1.3885853173029827,0.4693715850007297,1.0812488228805728,1.0,1.0,0.04200446727849713,-0.0027617378950471894,0.0027617378950471894,7.62719620093968e-06,1.0,1.0,-0.09573657044243977,-0.08141259081649893,0.08141259081649893,0.006628009943454686,0.0,1.0,0.32317131849707104,0.25744858851409225,0.25744858851409225,0.0662797757278984
8,0.8610039871024447,0.1770050362455169,4.864290900221501,1.0,22,0.9456245819504623,mild,0.8581678193807888,0.8601966054267229,0.031410667963257886,0.8390653408180313,0.8805595844964424,0.8023769242360727,0.9065523552370898,0.04149424367841115,0.10417543100101712,0.17955827892290419,0.1792270396147678,0.008078118916438717,0.17410365282331328,0.18484781979938425,0.16633934732321912,0.1933594630204792,0.010744166976070973,0.027020115697260094,4.788071038525682,4.7774641066332,0.2628231484260339,4.604213976581159,4.95429132182111,4.374200348478059,5.238021269242836,0.35007734523995104,0.8638209207647769,1.0,1.0,-0.0028361677216559578,-0.0008073816757218077,0.0008073816757218077,6.518651702913543e-07,1.0,1.0,0.0025532426773872963,0.002222003369250908,0.002222003369250908,4.937298972962386e-06,1.0,1.0,-0.07621986169581962,-0.08682679358830114,0.08682679358830114,0.007538892084825452
9,0.5472010893876081,0.102793267143065,5.323316444704767,1.0,11,0.9658607668546105,mild,0.5316112804266585,0.531758594915875,0.014729973140847457,0.521908887198489,0.5415229949621088,0.5068017748169086,0.5553768603303861,0.019614107763619715,0.048575085513477556,0.1047445721277401,0.10455487130317452,0.004765078204457059,0.10146079475180018,0.10783407488596493,0.0973905119474707,0.1130061754276261,0.006373280134164744,0.015615663480155403,5.08492064735799,5.074086598157112,0.2542018869999781,4.911565630790605,5.252727713146697,4.690478845608432,5.515337835882345,0.34116208235609236,0.8248589902739134,0.0,1.0,-0.015589808960949636,-0.015442494471733181,0.015442494471733181,0.00023847063550950986,1.0,1.0,0.0019513049846751063,0.0017616041601095228,0.0017616041601095228,3.103249216915177e-06,0.0,1.0,-0.23839579734677763,-0.24922984654765568,0.24922984654765568,0.06211551641016799
10,0.2517689382898641,0.4954444867079704,0.5081678069782702,1.0,16,0.972870262003961,mild,0.21208732285678025,0.1722495358612996,0.11321947516627669,0.12726228037071408,0.2612735398929332,0.10358173429487696,0.45043818826723214,0.13401125952221915,0.3468564539723552,0.2980756977574965,0.30817138144073264,0.1273580795635315,0.1871664204218752,0.4070026129985667,0.08800956073120275,0.4857350202170492,0.2198361925766915,0.3977254594858464,0.7830858608520525,0.7412038516655228,0.33225837805528924,0.5315172060371752,0.9757324380837656,0.32592918532578047,1.401002113689729,0.4442152320465904,1.0750729283639486,1.0,1.0,-0.03968161543308382,-0.07951940242856448,0.07951940242856448,0.0063233353625959865,0.0,0.0,-0.19736878895047394,-0.18727310526723778,0.18727310526723778,0.03507121595643392,0.0,1.0,0.2749180538737822,0.23303604468725259,0.23303604468725259,0.05430579812347919
