case_id,true_beta,true_gamma,true_R0,beta_mean,beta_median,beta_std,beta_ci50_low,beta_ci50_high,beta_ci90_low,beta_ci90_high,beta_width50,beta_width90,gamma_mean,gamma_median,gamma_std,gamma_ci50_low,gamma_ci50_high,gamma_ci90_low,gamma_ci90_high,gamma_width50,gamma_width90,R0_mean,R0_median,R0_std,R0_ci50_low,R0_ci50_high,R0_ci90_low,R0_ci90_high,R0_width50,R0_width90,beta_covered50,beta_covered90,beta_err_mean,beta_err_median,beta_abs_err_median,beta_sq_err_median,gamma_covered50,gamma_covered90,gamma_err_mean,gamma_err_median,gamma_abs_err_median,gamma_sq_err_median,R0_covered50,R0_covered90,R0_err_mean,R0_err_median,R0_abs_err_median,R0_sq_err_median
0,0.26104133230789256,0.33796092457181953,0.7724009296004251,0.14936634402585156,0.11790113732511029,0.07724158740562043,0.10388661867885404,0.15993317474835117,0.10016282442243103,0.31934244265831135,0.05604655606949713,0.21917961823588034,0.20308114810431563,0.16826320296222214,0.12563534620271755,0.09365291352367891,0.2930635652676067,0.05835770503778811,0.44916486663799554,0.19941065174392777,0.39080716160020745,0.9396631499116589,0.8572067006978765,0.45139680698324997,0.5660997652498585,1.276468914403646,0.3298168389900178,1.761212024034759,0.7103691491537876,1.4313951850447413,0.0,1.0,-0.111674988282041,-0.14314019498278227,0.14314019498278227,0.020489115419708926,0.0,1.0,-0.1348797764675039,-0.1696977216095974,0.1696977216095974,0.02879731671948842,1.0,1.0,0.16726222031123383,0.08480577109745147,0.08480577109745147,0.007192018811433334
1,0.7080753005646607,0.30972987702328963,2.2861059041824956,0.6984930901034324,0.6987913706243165,0.01875536615059929,0.6861530978442939,0.711835370491873,0.6671558292138104,0.7286108625462031,0.025682272647579052,0.06145503333239266,0.32594814903706376,0.32573454732213614,0.011797021232348997,0.3178743466387306,0.3336548180142379,0.30662410082613306,0.3452092192373818,0.01578047137550731,0.03858511841124873,2.1446794609377546,2.142219745955636,0.06860800325870337,2.0977568420824926,2.1885726467555484,2.036301096146478,2.2648573332059434,0.09081580467305583,0.2285562370594656,1.0,1.0,-0.009582210461228313,-0.009283929940344215,0.009283929940344215,8.619135513721975e-05,0.0,1.0,0.016218272013774127,0.0160046702988465,0.0160046702988465,0.0002561494713747794,0.0,0.0,-0.14142644324474096,-0.1438861582268598,0.1438861582268598,0.020703226529284934
2,0.4043375584624097,0.35086675478454055,1.152396324099456,0.38533676304536574,0.3817836637834013,0.10604256142558265,0.30684206203027126,0.4616337616309982,0.2152292632219108,0.5624872542632503,0.15479169960072692,0.3472579910413395,0.36984935160698934,0.3870945499600827,0.086969953032267,0.3148116772259718,0.43919532994604626,0.19332035157716007,0.4808955962176091,0.12438365272007446,0.28757524464044903,1.0654560689668573,1.0609760746694836,0.24561823469065913,0.9195507746594929,1.2012968529477108,0.6785496393863836,1.4497408461875727,0.28174607828821796,0.7711912068011891,1.0,1.0,-0.01900079541704397,-0.022553894679008424,0.022553894679008424,0.0005086781651918045,1.0,1.0,0.018982596822448794,0.03622779517554214,0.03622779517554214,0.0013124531432810347,1.0,1.0,-0.08694025513259862,-0.09142024942997229,0.09142024942997229,0.008357662005838349
3,0.8032293038752459,0.21437827551655725,3.7467849852780883,0.799761315441177,0.8006265931132777,0.02414242965476449,0.7833064672198744,0.8165609279081059,0.758571013577236,0.8378247827318316,0.03325446068823146,0.07925376915459559,0.2118010418032037,0.21164242414979942,0.008460614817677577,0.2059295121947411,0.2175244569506876,0.19817718923878017,0.22568990963320038,0.011594944755946496,0.02751272039442021,3.7810906632534595,3.77060641015858,0.17040042808348313,3.665035907744767,3.8828402032851614,3.5145986398637574,4.081125098748078,0.2178042955403945,0.5665264588843208,1.0,1.0,-0.003467988434068925,-0.0026027107619682743,0.0026027107619682743,6.7741033104654755e-06,1.0,1.0,-0.002577233713353555,-0.00273585136675783,0.00273585136675783,7.484882700990686e-06,1.0,1.0,0.03430567797537121,0.02382142488049155,0.02382142488049155,0.0005674602833369018
4,0.5436425459709586,0.3368120528417254,1.6140828137953454,0.4817893208403892,0.4811101897757716,0.021384727941398347,0.46706799534937227,0.4954798123641537,0.4469828084599034,0.5179629307971346,0.02841181701478146,0.07098012233723122,0.3095036906478755,0.3095106735899903,0.01792789081361237,0.2977366275580138,0.32126437009813574,0.27988469701191315,0.33913909582873397,0.023527742540121965,0.05925439881682082,1.5594184631687635,1.5564899960254586,0.07250512941194522,1.5097845111565629,1.6067115791664075,1.4479613368074686,1.6817755924028104,0.09692706800984463,0.23381425559534175,0.0,0.0,-0.0618532251305694,-0.06253235619518704,0.06253235619518704,0.003910295571321747,0.0,1.0,-0.02730836219384991,-0.02730137925173509,0.02730137925173509,0.0007453653090470714,0.0,1.0,-0.054664350626581815,-0.057592817769886784,0.057592817769886784,0.003316932658675387
5,0.10920871194100312,0.09880219535572132,1.1053267748536844,0.30399469578793653,0.2930138770434767,0.10008852790762662,0.22810767061379592,0.36666877896027383,0.16006559113092914,0.4847022048733652,0.13856110834647792,0.324636613742436,0.3162838716595912,0.32629974101425274,0.10377608939106384,0.23919620282430354,0.4037664538815119,0.13567166419366294,0.46629004345831954,0.16457025105720835,0.3306183792646566,1.0172453050582022,0.9936883009232655,0.2953564465159999,0.830142126454135,1.1878016230230646,0.5615603022704688,1.5625241704010793,0.3576594965689296,1.0009638681306106,0.0,0.0,0.1947859838469334,0.18380516510247358,0.18380516510247358,0.03378433871834757,0.0,0.0,0.2174816763038699,0.22749754565853142,0.22749754565853142,0.05175513328065559,1.0,1.0,-0.08808146979548215,-0.11163847393041881,0.11163847393041881,0.0124631488615128
6,0.37896737965408156,0.4467969863817401,0.8481869645608903,0.16990413012997244,0.13679524507249877,0.08574708105361625,0.11117222292222188,0.19680274143453894,0.10073017456173666,0.361217617091539,0.08563051851231705,0.2604874425298023,0.25696771991125983,0.24594089810035577,0.1291439578297017,0.14233382956286975,0.3681681383313724,0.07231543826478921,0.471854931788807,0.22583430876850266,0.3995394935240178,0.7809364868665192,0.6976605029339216,0.3596573220814185,0.5031861181342423,0.9923790204670512,0.3238435723772069,1.4937779586766493,0.4891929023328089,1.1699343862994425,0.0,0.0,-0.20906324952410912,-0.2421721345815828,0.2421721345815828,0.058647342767800245,0.0,1.0,-0.18982926647048026,-0.20085608828138432,0.20085608828138432,0.04034316819969925,1.0,1.0,-0.06725047769437109,-0.1505264616269687,0.1505264616269687,0.02265821564993528
7,0.5262446692595236,0.07182730966195344,7.326526243795439,0.5115182333016015,0.5112874177424578,0.017653801777711028,0.50000396209073,0.5230473906302183,0.48269420935979435,0.5405580170877107,0.023043428539488375,0.05786380772791633,0.06853798754983584,0.0682018103238344,0.004188746861143831,0.06553741556143138,0.07105979344302345,0.06239948799971543,0.07588260304143424,0.005522377881592072,0.013483115041718806,7.489465670645101,7.47398365975227,0.5033116014541561,7.156441576598231,7.832559540605593,6.687850478281986,8.331672793305183,0.6761179640073616,1.643822315023197,0.0,1.0,-0.014726435957922113,-0.01495725151706584,0.01495725151706584,0.00022371937294476835,0.0,1.0,-0.003289322112117604,-0.003625499338119037,0.003625499338119037,1.3144245450701576e-05,1.0,1.0,0.162939426849662,0.14745741595683093,0.14745741595683093,0.021743689520665858
8,0.21249960279154578,0.11555093383464594,1.8390124228302123,0.21207235968808263,0.21159627309271545,0.017303302108905315,0.20037384582826362,0.22245503722421794,0.1842865651055805,0.24209515288799274,0.022081191395954325,0.05780858778241224,0.0969822837387484,0.09303616179914166,0.024039728023568612,0.08052586087790234,0.1092520187775806,0.06611556941853802,0.14158014783576367,0.028726157899678265,0.07546457841722565,2.2808513392232497,2.3043200026469055,0.41055377343076377,2.00078777328502,2.572933689910724,1.5572220293430696,2.9340755552136213,0.5721459166257041,1.3768535258705517,1.0,1.0,-0.00042724310346314853,-0.0009033296988303352,0.0009033296988303352,8.160045447889041e-07,0.0,1.0,-0.018568650095897546,-0.022514772035504282,0.022514772035504282,0.0005069149598107256,0.0,1.0,0.4418389163930374,0.46530757981669324,0.46530757981669324,0.21651114383486836
9,0.11169695047783852,0.27346826495133936,0.4084457496291709,0.21048463425524971,0.16759893216966365,0.11637453485731786,0.12476362542365393,0.25914265260020397,0.10337939766386528,0.4602282654467737,0.13437902717655004,0.3568488677829084,0.2965254863822747,0.30710013137133996,0.1289714947213774,0.18527354023425635,0.412564575291259,0.08667372924760754,0.48445451455704264,0.22729103505700265,0.3977807853094351,0.7800501080764043,0.7401981227399501,0.33139053276558866,0.5199236981483718,0.988839871898551,0.3314977427819547,1.398410910695731,0.46891617375017924,1.0669131679137762,0.0,1.0,0.09878768377741119,0.05590198169182513,0.05590198169182513,0.003125031557073152,1.0,1.0,0.02305722143093536,0.0336318664200006,0.0336318664200006,0.001131102438892764,0.0,1.0,0.3716043584472334,0.3317523731107792,0.3317523731107792,0.11005963706463366
